 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 05, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Nitrogen (gas).txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.1480E-03 g/cm3 = 4.9356E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = -1.55%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    3.564E-03  1.934E-02    2116 A      2593 A      1804 A   
    1.2 eV    3.564E-03  2.028E-02    2210 A      2593 A      1964 A   
    1.3 eV    3.709E-03  2.119E-02    2298 A      2699 A      2046 A   
    1.4 eV    3.849E-03  2.206E-02    2381 A      2802 A      2124 A   
    1.5 eV    3.984E-03  2.289E-02    2460 A      2901 A      2199 A   
    1.6 eV    4.115E-03  2.369E-02    2536 A      2997 A      2271 A   
    1.7 eV    4.241E-03  2.447E-02    2609 A      3090 A      2341 A   
    1.8 eV    4.364E-03  2.522E-02    2680 A      3179 A      2409 A   
      2 eV    4.600E-03  2.666E-02    2817 A      3351 A      2538 A   
   2.25 eV    4.880E-03  2.834E-02    2980 A      3552 A      2690 A   
2.49999 eV    5.143E-03  2.991E-02    3134 A      3741 A      2832 A   
2.74999 eV    5.395E-03  3.140E-02    3281 A      3920 A      2968 A   
2.99999 eV    5.634E-03  3.280E-02    3423 A      4091 A      3097 A   
3.24999 eV    5.864E-03  3.414E-02    3560 A      4254 A      3220 A   
3.49999 eV    6.086E-03  3.541E-02    3692 A      4411 A      3339 A   
3.74999 eV    6.299E-03  3.663E-02    3821 A      4562 A      3453 A   
3.99999 eV    6.506E-03  3.779E-02    3947 A      4708 A      3563 A   
4.49999 eV    6.901E-03  3.999E-02    4190 A      4986 A      3775 A   
