 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.21023     
   2.5307      0.21004     
   5.0614      0.21010     
   7.5921      0.21038     
   10.123      0.21046     
   12.653      0.21025     
   15.184      0.21032     
   17.715      0.21046     
   20.246      0.21029     
   22.776      0.21013     
   25.307      0.21019     
   27.838      0.21034     
   30.368      0.21005     
   32.899      0.20989     
   35.430      0.21002     
   37.960      0.21006     
   40.491      0.20975     
   43.022      0.20965     
   45.553      0.20974     
   48.083      0.20963     
   50.614      0.20937     
   53.145      0.20935     
   55.675      0.20947     
   58.206      0.20922     
   60.737      0.20893     
   63.267      0.20888     
   65.798      0.20900     
   68.329      0.20868     
   70.859      0.20838     
   73.390      0.20833     
   75.921      0.20840     
   78.452      0.20813     
   80.982      0.20788     
   83.513      0.20780     
   86.044      0.20791     
   88.574      0.20761     
   91.105      0.20730     
   93.636      0.20721     
   96.166      0.20721     
   98.697      0.20689     
   101.23      0.20662     
   103.76      0.20651     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   106.29      0.20646     
   108.82      0.20616     
   111.35      0.20584     
   113.88      0.20571     
   116.41      0.20556     
   118.94      0.20527     
   121.47      0.20497     
   124.00      0.20483     
   126.53      0.20466     
   129.07      0.20434     
   131.60      0.20400     
   134.13      0.20385     
   136.66      0.20357     
   139.19      0.20330     
   141.72      0.20293     
   144.25      0.20276     
   146.78      0.20250     
   149.31      0.20213     
   151.84      0.20176     
   154.37      0.20154     
   156.90      0.20122     
   159.43      0.20086     
   161.96      0.20048     
   164.50      0.20025     
   167.03      0.19994     
   169.56      0.19947     
   172.09      0.19909     
   174.62      0.19879     
   177.15      0.19848     
   179.68      0.19797     
   182.21      0.19759     
   184.74      0.19731     
   187.27      0.19692     
   189.80      0.19637     
   192.33      0.19600     
   194.86      0.19563     
   197.39      0.19519     
   199.92      0.19464     
   202.46      0.19427     
   204.99      0.19390     
   207.52      0.19332     
   210.05      0.19279     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   212.58      0.19239     
   215.11      0.19198     
   217.64      0.19134     
   220.17      0.19082     
   222.70      0.19043     
   225.23      0.18989     
   227.76      0.18923     
   230.29      0.18873     
   232.82      0.18826     
   235.35      0.18763     
   237.89      0.18698     
   240.42      0.18651     
   242.95      0.18600     
   245.48      0.18522     
   248.01      0.18461     
   250.54      0.18409     
   253.07      0.18343     
   255.60      0.18269     
   258.13      0.18211     
   260.66      0.18155     
   263.19      0.18071     
   265.72      0.18000     
   268.25      0.17941     
   270.78      0.17869     
   273.32      0.17784     
   275.85      0.17716     
   278.38      0.17654     
   280.91      0.17562     
   283.44      0.17480     
   285.97      0.17413     
   288.50      0.17333     
   291.03      0.17238     
   293.56      0.17158     
   296.09      0.17087     
   298.62      0.16988     
   301.15      0.16901     
   303.68      0.16816     
   306.21      0.16716     
   308.74      0.16631     
   311.28      0.16529     
   313.81      0.16433     
   316.34      0.16337     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   318.87      0.16232     
   321.40      0.16142     
   323.93      0.16029     
   326.46      0.15927     
   328.99      0.15821     
   331.52      0.15707     
   334.05      0.15607     
   336.58      0.15486     
   339.11      0.15380     
   341.64      0.15255     
   344.17      0.15135     
   346.71      0.15020     
   349.24      0.14894     
   351.77      0.14768     
   354.30      0.14639     
   356.83      0.14503     
   359.36      0.14373     
   361.89      0.14230     
   364.42      0.14088     
   366.95      0.13946     
   369.48      0.13792     
   372.01      0.13643     
   374.54      0.13485     
   377.07      0.13322     
   379.60      0.13160     
   382.13      0.12988     
   384.67      0.12812     
   387.20      0.12631     
   389.73      0.12447     
   392.26      0.12256     
   394.79      0.12058     
   397.32      0.11854     
   399.85      0.11642     
   402.38      0.11421     
   404.91      0.11193     
   407.44      0.10955     
   409.97      0.10707     
   412.50      0.10449     
   415.03      0.10178     
   417.56      0.98896E-001
   420.10      0.95879E-001
   422.63      0.92658E-001
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   425.16      0.89245E-001
   427.69      0.85583E-001
   430.22      0.81638E-001
   432.75      0.77367E-001
   435.28      0.72665E-001
   437.81      0.67492E-001
   440.34      0.61731E-001
   442.87      0.55286E-001
   445.40      0.48193E-001
   447.93      0.41195E-001
   450.46      0.39497E-001
   452.99     
   455.53     
