 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       860.09     
  0.43633E-001  858.46     
  0.87265E-001  857.79     
  0.13090       858.72     
  0.17453       859.43     
  0.21816       858.12     
  0.26180       857.60     
  0.30543       857.87     
  0.34906       857.86     
  0.39269       856.69     
  0.43633       857.01     
  0.47996       858.35     
  0.52359       858.71     
  0.56722       857.78     
  0.61086       857.71     
  0.65449       858.43     
  0.69812       859.93     
  0.74176       859.01     
  0.78539       858.36     
  0.82902       858.44     
  0.87265       859.12     
  0.91629       858.92     
  0.95992       857.73     
   1.0036       857.30     
   1.0472       857.63     
   1.0908       858.25     
   1.1344       856.57     
   1.1781       856.25     
   1.2217       856.76     
   1.2653       858.10     
   1.3090       859.29     
   1.3526       858.36     
   1.3962       857.60     
   1.4399       857.65     
   1.4835       858.49     
   1.5271       860.12     
   1.5708       861.75     
   1.6144       858.79     
   1.6580       857.15     
   1.7017       857.33     
   1.7453       858.25     
   1.7889       859.93     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   1.8326       862.35     
   1.8762       859.99     
   1.9198       858.39     
   1.9635       857.57     
   2.0071       857.52     
   2.0507       858.07     
   2.0944       856.86     
   2.1380       857.15     
   2.1816       858.26     
   2.2253       860.17     
   2.2689       860.93     
   2.3125       859.45     
   2.3562       858.89     
   2.3998       859.67     
   2.4434       860.88     
   2.4871       858.73     
   2.5307       857.32     
   2.5743       856.66     
   2.6180       857.87     
   2.6616       857.57     
   2.7052       858.18     
   2.7489       859.57     
   2.7925       861.12     
   2.8361       860.13     
   2.8798       860.07     
   2.9234       860.78     
   2.9670       861.02     
   3.0107       859.87     
   3.0543       859.53     
   3.0979       859.93     
   3.1416       859.55     
   3.1852       858.23     
   3.2288       857.64     
   3.2725       857.80     
   3.3161       856.83     
   3.3597       855.60     
   3.4033       855.46     
   3.4470       857.35     
   3.4906       856.91     
   3.5342       856.78     
   3.5779       857.45     
   3.6215       858.70     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   3.6651       858.01     
   3.7088       857.53     
   3.7524       857.86     
   3.7960       858.76     
   3.8397       857.98     
   3.8833       857.35     
   3.9269       857.51     
   3.9706       858.16     
   4.0142       857.03     
   4.0578       856.70     
   4.1015       857.17     
   4.1451       856.66     
   4.1887       855.72     
   4.2324       855.59     
   4.2760       856.20     
   4.3196       855.60     
   4.3633       855.89     
   4.4069       856.85     
   4.4505       856.97     
   4.4942       857.12     
   4.5378       857.95     
   4.5814       858.08     
   4.6251       858.16     
   4.6687       858.99     
   4.7123       858.90     
   4.7560       858.87     
   4.7996       859.75     
   4.8432       858.37     
   4.8869       858.25     
   4.9305       857.75     
   4.9741       855.55     
   5.0178       856.29     
   5.0614       857.21     
   5.1050       857.93     
   5.1487       857.41     
   5.1923       857.65     
   5.2359       855.58     
   5.2796       855.68     
   5.3232       856.47     
   5.3668       855.82     
   5.4105       854.48     
   5.4541       854.61     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   5.4977       855.40     
   5.5414       856.15     
   5.5850       854.22     
   5.6286       853.71     
   5.6722       854.03     
   5.7159       854.50     
   5.7595       852.77     
   5.8031       853.36     
   5.8468       852.20     
   5.8904       851.94     
   5.9340       852.54     
   5.9777       851.99     
   6.0213       852.15     
   6.0649       851.64     
   6.1086       851.58     
   6.1522       851.05     
   6.1958       851.02     
   6.2395       851.76     
   6.2831       851.53     
   6.3267       852.67     
   6.3704       852.69     
   6.4140       853.76     
   6.4576       855.00     
   6.5013       856.40     
   6.5449       858.40     
   6.5885       860.93     
   6.6322       864.11     
   6.6758       867.91     
   6.7194       872.91     
   6.7631       878.67     
   6.8067       886.06     
   6.8503       894.99     
   6.8940       905.86     
   6.9376       919.12     
   6.9812       934.83     
   7.0249       954.32     
   7.0685       977.59     
   7.1121       1005.9     
   7.1558       1040.5     
   7.1994       1081.5     
   7.2430       1133.1     
   7.2867       1194.0     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       1270.8     
   7.3739       1365.5     
   7.4176       1479.3     
   7.4612       1626.5     
   7.5048       1817.8     
   7.5485       2066.8     
   7.5921       1950.6     
   7.6357       903.06     
   7.6794       1100.6     
   7.7230       1586.4     
   7.7666       1780.8     
   7.8102     
   7.8539     
