 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       269.32     
  0.43633E-001  268.84     
  0.87265E-001  268.62     
  0.13090       269.05     
  0.17453       268.97     
  0.21816       268.63     
  0.26180       268.54     
  0.30543       268.80     
  0.34906       268.37     
  0.39269       268.14     
  0.43633       268.30     
  0.47996       268.83     
  0.52359       268.54     
  0.56722       268.46     
  0.61086       268.63     
  0.65449       269.04     
  0.69812       268.98     
  0.74176       268.81     
  0.78539       268.73     
  0.82902       268.89     
  0.87265       269.19     
  0.91629       268.91     
  0.95992       268.85     
   1.0036       268.78     
   1.0472       268.94     
   1.0908       269.09     
   1.1344       269.01     
   1.1781       269.19     
   1.2217       268.89     
   1.2653       268.85     
   1.3090       269.05     
   1.3526       269.13     
   1.3962       268.97     
   1.4399       268.64     
   1.4835       268.55     
   1.5271       268.71     
   1.5708       269.13     
   1.6144       269.53     
   1.6580       269.17     
   1.7017       269.07     
   1.7453       269.01     
   1.7889       268.99     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   1.8326       269.22     
   1.8762       269.68     
   1.9198       269.38     
   1.9635       268.94     
   2.0071       268.75     
   2.0507       268.81     
   2.0944       269.04     
   2.1380       269.37     
   2.1816       269.22     
   2.2253       268.59     
   2.2689       268.18     
   2.3125       267.99     
   2.3562       268.04     
   2.3998       268.66     
   2.4434       269.16     
   2.4871       268.77     
   2.5307       268.59     
   2.5743       268.66     
   2.6180       268.98     
   2.6616       269.55     
   2.7052       269.79     
   2.7489       269.35     
   2.7925       269.16     
   2.8361       269.22     
   2.8798       269.28     
   2.9234       269.56     
   2.9670       269.64     
   3.0107       269.04     
   3.0543       268.67     
   3.0979       268.54     
   3.1416       268.63     
   3.1852       268.96     
   3.2288       268.91     
   3.2725       268.28     
   3.3161       268.13     
   3.3597       268.23     
   3.4033       268.59     
   3.4470       269.21     
   3.4906       269.58     
   3.5342       269.54     
   3.5779       269.28     
   3.6215       269.17     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   3.6651       269.30     
   3.7088       269.67     
   3.7524       269.67     
   3.7960       269.63     
   3.8397       269.86     
   3.8833       269.63     
   3.9269       269.51     
   3.9706       269.58     
   4.0142       269.47     
   4.0578       269.60     
   4.1015       269.98     
   4.1451       269.53     
   4.1887       269.23     
   4.2324       269.19     
   4.2760       269.43     
   4.3196       269.90     
   4.3633       269.44     
   4.4069       269.05     
   4.4505       268.93     
   4.4942       269.35     
   4.5378       269.75     
   4.5814       269.18     
   4.6251       268.83     
   4.6687       268.69     
   4.7123       269.14     
   4.7560       268.94     
   4.7996       268.47     
   4.8432       268.22     
   4.8869       268.36     
   4.9305       268.51     
   4.9741       268.41     
   5.0178       268.54     
   5.0614       268.89     
   5.1050       269.18     
   5.1487       268.57     
   5.1923       268.23     
   5.2359       268.65     
   5.2796       269.09     
   5.3232       268.41     
   5.3668       267.93     
   5.4105       267.65     
   5.4541       267.67     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   5.4977       267.68     
   5.5414       267.91     
   5.5850       268.32     
   5.6286       268.82     
   5.6722       268.24     
   5.7159       267.83     
   5.7595       267.53     
   5.8031       267.37     
   5.8468       267.37     
   5.8904       267.38     
   5.9340       267.53     
   5.9777       267.39     
   6.0213       267.10     
   6.0649       267.06     
   6.1086       267.25     
   6.1522       267.03     
   6.1958       266.91     
   6.2395       267.14     
   6.2831       267.15     
   6.3267       267.17     
   6.3704       267.58     
   6.4140       267.69     
   6.4576       268.10     
   6.5013       268.59     
   6.5449       269.17     
   6.5885       270.00     
   6.6322       270.94     
   6.6758       272.16     
   6.7194       273.67     
   6.7631       275.48     
   6.8067       277.78     
   6.8503       280.65     
   6.8940       284.04     
   6.9376       288.12     
   6.9812       293.05     
   7.0249       299.18     
   7.0685       306.54     
   7.1121       315.41     
   7.1558       326.09     
   7.1994       339.23     
   7.2430       355.17     
   7.2867       374.52     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       398.47     
   7.3739       428.04     
   7.4176       464.63     
   7.4612       510.77     
   7.5048       570.37     
   7.5485       647.97     
   7.5921       621.30     
   7.6357       283.08     
   7.6794       345.09     
   7.7230       497.52     
   7.7666       558.61     
   7.8102     
   7.8539     
