
 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.46232E-002
   8.7265      0.46208E-002
   17.453      0.46229E-002
   26.180      0.46278E-002
   34.906      0.46270E-002
   43.633      0.46237E-002
   52.359      0.46247E-002
   61.086      0.46291E-002
   69.812      0.46221E-002
   78.539      0.46194E-002
   87.265      0.46215E-002
   95.992      0.46226E-002
   104.72      0.46155E-002
   113.44      0.46127E-002
   122.17      0.46149E-002
   130.90      0.46132E-002
   139.62      0.46059E-002
   148.35      0.46027E-002
   157.08      0.46037E-002
   165.80      0.45995E-002
   174.53      0.45923E-002
   183.26      0.45920E-002
   191.98      0.45980E-002
   200.71      0.45934E-002
   209.44      0.45898E-002
   218.16      0.45906E-002
   226.89      0.45957E-002
   235.62      0.45919E-002
   244.34      0.45819E-002
   253.07      0.45817E-002
   261.80      0.45856E-002
   270.52      0.45867E-002
   279.25      0.45754E-002
   287.98      0.45683E-002
   296.70      0.45661E-002
   305.43      0.45713E-002
   314.16      0.45609E-002
   322.88      0.45515E-002
   331.61      0.45465E-002
   340.33      0.45459E-002
   349.06      0.45429E-002
   357.79      0.45301E-002
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   366.51      0.45226E-002
   375.24      0.45227E-002
   383.97      0.45266E-002
   392.69      0.45181E-002
   401.42      0.45111E-002
   410.15      0.45082E-002
   418.87      0.45092E-002
   427.60      0.45062E-002
   436.33      0.44969E-002
   445.05      0.44909E-002
   453.78      0.44891E-002
   462.51      0.44889E-002
   471.23      0.44804E-002
   479.96      0.44718E-002
   488.69      0.44672E-002
   497.41      0.44668E-002
   506.14      0.44606E-002
   514.87      0.44508E-002
   523.59      0.44439E-002
   532.32      0.44410E-002
   541.05      0.44366E-002
   549.77      0.44277E-002
   558.50      0.44188E-002
   567.22      0.44140E-002
   575.95      0.44104E-002
   584.68      0.44025E-002
   593.40      0.43918E-002
   602.13      0.43852E-002
   610.86      0.43817E-002
   619.58      0.43746E-002
   628.31      0.43624E-002
   637.04      0.43543E-002
   645.76      0.43502E-002
   654.49      0.43442E-002
   663.22      0.43310E-002
   671.94      0.43214E-002
   680.67      0.43157E-002
   689.40      0.43104E-002
   698.12      0.42972E-002
   706.85      0.42862E-002
   715.58      0.42791E-002
   724.30      0.42740E-002
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   733.03      0.42605E-002
   741.76      0.42484E-002
   750.48      0.42401E-002
   759.21      0.42350E-002
   767.94      0.42212E-002
   776.66      0.42079E-002
   785.39      0.41983E-002
   794.11      0.41925E-002
   802.84      0.41784E-002
   811.57      0.41647E-002
   820.29      0.41545E-002
   829.02      0.41496E-002
   837.75      0.41365E-002
   846.47      0.41244E-002
   855.20      0.41164E-002
   863.93      0.41125E-002
   872.65      0.40968E-002
   881.38      0.40856E-002
   890.11      0.40783E-002
   898.83      0.40704E-002
   907.56      0.40531E-002
   916.29      0.40428E-002
   925.01      0.40363E-002
   933.74      0.40217E-002
   942.47      0.40033E-002
   951.19      0.39938E-002
   959.92      0.39859E-002
   968.65      0.39656E-002
   977.37      0.39490E-002
   986.10      0.39390E-002
   994.83      0.39211E-002
   1003.6      0.39032E-002
   1012.3      0.38952E-002
   1021.0      0.38780E-002
   1029.7      0.38654E-002
   1038.5      0.38565E-002
   1047.2      0.38385E-002
   1055.9      0.38188E-002
   1064.6      0.38078E-002
   1073.4      0.37869E-002
   1082.1      0.37734E-002
   1090.8      0.37576E-002
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   1099.5      0.37387E-002
   1108.3      0.37276E-002
   1117.0      0.37059E-002
   1125.7      0.36888E-002
   1134.4      0.36690E-002
   1143.2      0.36541E-002
   1151.9      0.36355E-002
   1160.6      0.36152E-002
   1169.4      0.35952E-002
   1178.1      0.35784E-002
   1186.8      0.35583E-002
   1195.5      0.35389E-002
   1204.3      0.35156E-002
   1213.0      0.34972E-002
   1221.7      0.34757E-002
   1230.4      0.34539E-002
   1239.2      0.34319E-002
   1247.9      0.34079E-002
   1256.6      0.33859E-002
   1265.3      0.33632E-002
   1274.1      0.33387E-002
   1282.8      0.33141E-002
   1291.5      0.32886E-002
   1300.3      0.32630E-002
   1309.0      0.32365E-002
   1317.7      0.32091E-002
   1326.4      0.31814E-002
   1335.2      0.31534E-002
   1343.9      0.31237E-002
   1352.6      0.30930E-002
   1361.3      0.30618E-002
   1370.1      0.30298E-002
   1378.8      0.29969E-002
   1387.5      0.29637E-002
   1396.2      0.29287E-002
   1405.0      0.28926E-002
   1413.7      0.28552E-002
   1422.4      0.28168E-002
   1431.2      0.27772E-002
   1439.9      0.27374E-002
   1448.6      0.26966E-002
   1457.3      0.26552E-002
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   1466.1      0.26137E-002
   1474.8      0.25732E-002
   1483.5      0.25353E-002
   1492.2      0.25027E-002
   1501.0      0.24805E-002
   1509.7      0.24781E-002
   1518.4      0.25126E-002
   1527.1      0.26145E-002
   1535.9      0.28661E-002
   1544.6      0.34125E-002
   1553.3      0.47879E-002
   1562.0      0.84248E-002
   1570.8     

