 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.57483     
  0.87265      0.57229     
   1.7453      0.57068     
   2.6180      0.56976     
   3.4906      0.56940     
   4.3633      0.56961     
   5.2359      0.57039     
   6.1086      0.57174     
   6.9812      0.57366     
   7.8539      0.57614     
   8.7265      0.57560     
   9.5992      0.57345     
   10.472      0.57184     
   11.344      0.57075     
   12.217      0.57020     
   13.090      0.57024     
   13.962      0.57168     
   14.835      0.57379     
   15.708      0.57481     
   16.580      0.57259     
   17.453      0.57091     
   18.326      0.56980     
   19.198      0.56923     
   20.071      0.56922     
   20.944      0.57031     
   21.816      0.57235     
   22.689      0.57130     
   23.562      0.56985     
   24.434      0.56895     
   25.307      0.56861     
   26.180      0.56882     
   27.052      0.56927     
   27.925      0.57002     
   28.798      0.56993     
   29.670      0.56772     
   30.543      0.56606     
   31.416      0.56497     
   32.288      0.56443     
   33.161      0.56444     
   34.033      0.56532     
   34.906      0.56711     
   35.779      0.56502     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   36.651      0.56347     
   37.524      0.56250     
   38.397      0.56209     
   39.269      0.56226     
   40.142      0.56292     
   41.015      0.56279     
   41.887      0.56061     
   42.760      0.55901     
   43.633      0.55799     
   44.505      0.55757     
   45.378      0.55772     
   46.251      0.55822     
   47.123      0.55609     
   47.996      0.55456     
   48.869      0.55363     
   49.741      0.55331     
   50.614      0.55358     
   51.487      0.55449     
   52.359      0.55233     
   53.232      0.55048     
   54.105      0.54984     
   54.977      0.54972     
   55.850      0.55011     
   56.722      0.55101     
   57.595      0.54959     
   58.468      0.54826     
   59.340      0.54751     
   60.213      0.54730     
   61.086      0.54765     
   61.958      0.54854     
   62.831      0.54642     
   63.704      0.54446     
   64.576      0.54330     
   65.449      0.54297     
   66.322      0.54324     
   67.194      0.54365     
   68.067      0.54096     
   68.940      0.53880     
   69.812      0.53718     
   70.685      0.53614     
   71.558      0.53657     
   72.430      0.53598     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   73.303      0.53293     
   74.176      0.53048     
   75.048      0.52862     
   75.921      0.52737     
   76.794      0.52728     
   77.666      0.52729     
   78.539      0.52525     
   79.411      0.52381     
   80.284      0.52292     
   81.157      0.52257     
   82.029      0.52276     
   82.902      0.52107     
   83.775      0.51844     
   84.647      0.51632     
   85.520      0.51545     
   86.393      0.51519     
   87.265      0.51554     
   88.138      0.51347     
   89.011      0.51031     
   89.883      0.50774     
   90.756      0.50574     
   91.629      0.50434     
   92.501      0.50354     
   93.374      0.50107     
   94.247      0.49918     
   95.119      0.49784     
   95.992      0.49707     
   96.865      0.49685     
   97.737      0.49590     
   98.610      0.49258     
   99.483      0.48979     
   100.36      0.48755     
   101.23      0.48644     
   102.10      0.48612     
   102.97      0.48261     
   103.85      0.47924     
   104.72      0.47652     
   105.59      0.47560     
   106.46      0.47524     
   107.34      0.47270     
   108.21      0.46974     
   109.08      0.46789     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   109.95      0.46668     
   110.83      0.46613     
   111.70      0.46293     
   112.57      0.45952     
   113.44      0.45679     
   114.32      0.45473     
   115.19      0.45396     
   116.06      0.45067     
   116.94      0.44835     
   117.81      0.44673     
   118.68      0.44581     
   119.55      0.44475     
   120.43      0.44117     
   121.30      0.43835     
   122.17      0.43631     
   123.04      0.43503     
   123.92      0.43308     
   124.79      0.43114     
   125.66      0.43005     
   126.53      0.42985     
   127.41      0.43013     
   128.28      0.42768     
   129.15      0.42625     
   130.03      0.42585     
   130.90      0.42648     
   131.77      0.42664     
   132.64      0.42774     
   133.52      0.43013     
   134.39      0.43378     
   135.26      0.43654     
   136.13      0.44000     
   137.01      0.44525     
   137.88      0.45204     
   138.75      0.45903     
   139.62      0.46769     
   140.50      0.47922     
   141.37      0.49503     
   142.24      0.51375     
   143.12      0.53448     
   143.99      0.55734     
   144.86      0.58962     
   145.73      0.62749     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   146.61      0.66727     
   147.48      0.70773     
   148.35      0.77425     
   149.22      0.84761     
   150.10      0.93252     
   150.97       1.0962     
   151.84       1.3740     
   152.71       1.6285     
   153.59       1.8859     
   154.46     
   155.33     
   156.20     
   157.08     
