
 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.17724     
   1.7453      0.17708     
   3.4906      0.17709     
   5.2359      0.17727     
   6.9812      0.17734     
   8.7265      0.17712     
   10.472      0.17715     
   12.217      0.17734     
   13.962      0.17722     
   15.708      0.17703     
   17.453      0.17712     
   19.198      0.17737     
   20.944      0.17718     
   22.689      0.17688     
   24.434      0.17700     
   26.180      0.17728     
   27.925      0.17712     
   29.670      0.17669     
   31.416      0.17669     
   33.161      0.17700     
   34.906      0.17683     
   36.651      0.17640     
   38.397      0.17614     
   40.142      0.17624     
   41.887      0.17630     
   43.633      0.17585     
   45.378      0.17555     
   47.123      0.17551     
   48.869      0.17590     
   50.614      0.17528     
   52.359      0.17524     
   54.105      0.17537     
   55.850      0.17566     
   57.595      0.17555     
   59.340      0.17510     
   61.086      0.17481     
   62.831      0.17468     
   64.576      0.17484     
   66.322      0.17465     
   68.067      0.17417     
   69.812      0.17386     
   71.558      0.17373     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   73.303      0.17377     
   75.048      0.17348     
   76.794      0.17301     
   78.539      0.17273     
   80.284      0.17262     
   82.029      0.17270     
   83.775      0.17243     
   85.520      0.17203     
   87.265      0.17179     
   89.011      0.17169     
   90.756      0.17175     
   92.501      0.17142     
   94.247      0.17101     
   95.992      0.17076     
   97.737      0.17068     
   99.483      0.17076     
   101.23      0.17030     
   102.97      0.17000     
   104.72      0.16988     
   106.46      0.16994     
   108.21      0.16971     
   109.95      0.16929     
   111.70      0.16903     
   113.44      0.16895     
   115.19      0.16878     
   116.94      0.16842     
   118.68      0.16813     
   120.43      0.16800     
   122.17      0.16780     
   123.92      0.16735     
   125.66      0.16703     
   127.41      0.16683     
   129.15      0.16651     
   130.90      0.16598     
   132.64      0.16561     
   134.39      0.16539     
   136.13      0.16493     
   137.88      0.16437     
   139.62      0.16396     
   141.37      0.16361     
   143.12      0.16299     
   144.86      0.16272     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   146.61      0.16261     
   148.35      0.16222     
   150.10      0.16178     
   151.84      0.16152     
   153.59      0.16129     
   155.33      0.16062     
   157.08      0.16017     
   158.82      0.15991     
   160.57      0.15928     
   162.31      0.15870     
   164.06      0.15828     
   165.80      0.15774     
   167.55      0.15707     
   169.29      0.15658     
   171.04      0.15627     
   172.79      0.15567     
   174.53      0.15523     
   176.28      0.15495     
   178.02      0.15423     
   179.77      0.15369     
   181.51      0.15331     
   183.26      0.15260     
   185.00      0.15195     
   186.75      0.15148     
   188.49      0.15072     
   190.24      0.15002     
   191.98      0.14947     
   193.73      0.14870     
   195.47      0.14812     
   197.22      0.14768     
   198.97      0.14687     
   200.71      0.14624     
   202.46      0.14574     
   204.20      0.14483     
   205.95      0.14413     
   207.69      0.14330     
   209.44      0.14257     
   211.18      0.14183     
   212.93      0.14109     
   214.67      0.14048     
   216.42      0.13950     
   218.16      0.13874     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   219.91      0.13789     
   221.65      0.13695     
   223.40      0.13610     
   225.14      0.13532     
   226.89      0.13446     
   228.64      0.13351     
   230.38      0.13263     
   232.13      0.13156     
   233.87      0.13061     
   235.62      0.12971     
   237.36      0.12869     
   239.11      0.12766     
   240.85      0.12658     
   242.60      0.12565     
   244.34      0.12445     
   246.09      0.12348     
   247.83      0.12226     
   249.58      0.12111     
   251.32      0.12009     
   253.07      0.11879     
   254.81      0.11757     
   256.56      0.11647     
   258.31      0.11512     
   260.05      0.11385     
   261.80      0.11265     
   263.54      0.11123     
   265.29      0.10992     
   267.03      0.10859     
   268.78      0.10720     
   270.52      0.10585     
   272.27      0.10440     
   274.01      0.10300     
   275.76      0.10163     
   277.50      0.10019     
   279.25      0.98878E-001
   280.99      0.97497E-001
   282.74      0.96162E-001
   284.49      0.94987E-001
   286.23      0.93909E-001
   287.98      0.92979E-001
   289.72      0.92297E-001
   291.47      0.91982E-001
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   293.21      0.92164E-001
   294.96      0.93035E-001
   296.70      0.94894E-001
   298.45      0.98174E-001
   300.19      0.10351     
   301.94      0.11180     
   303.68      0.12447     
   305.43      0.14456     
   307.17      0.17667     
   308.92      0.23187     
   310.66      0.35047     
   312.41     
   314.16     
 
