 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       20.696     
  0.17453       20.598     
  0.34906       20.522     
  0.52359       20.466     
  0.69812       20.431     
  0.87265       20.417     
   1.0472       20.423     
   1.2217       20.450     
   1.3962       20.497     
   1.5708       20.543     
   1.7453       20.482     
   1.9198       20.443     
   2.0944       20.425     
   2.2689       20.428     
   2.4434       20.451     
   2.6180       20.496     
   2.7925       20.561     
   2.9670       20.607     
   3.1416       20.574     
   3.3161       20.560     
   3.4906       20.566     
   3.6651       20.591     
   3.8397       20.635     
   4.0142       20.654     
   4.1887       20.685     
   4.3633       20.692     
   4.5378       20.704     
   4.7123       20.732     
   4.8869       20.698     
   5.0614       20.654     
   5.2359       20.630     
   5.4105       20.627     
   5.5850       20.615     
   5.7595       20.558     
   5.9340       20.518     
   6.1086       20.536     
   6.2831       20.598     
   6.4576       20.654     
   6.6322       20.657     
   6.8067       20.661     
   6.9812       20.685     
   7.1558       20.724     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       20.729     
   7.5048       20.747     
   7.6794       20.739     
   7.8539       20.750     
   8.0284       20.747     
   8.2029       20.749     
   8.3775       20.769     
   8.5520       20.768     
   8.7265       20.756     
   8.9011       20.745     
   9.0756       20.754     
   9.2501       20.754     
   9.4247       20.711     
   9.5992       20.687     
   9.7737       20.681     
   9.9483       20.695     
   10.123       20.727     
   10.297       20.779     
   10.472       20.850     
   10.646       20.881     
   10.821       20.845     
   10.995       20.824     
   11.170       20.821     
   11.344       20.839     
   11.519       20.876     
   11.694       20.934     
   11.868       20.900     
   12.043       20.875     
   12.217       20.869     
   12.392       20.883     
   12.566       20.917     
   12.741       20.971     
   12.915       20.965     
   13.090       20.938     
   13.264       20.930     
   13.439       20.941     
   13.613       20.977     
   13.788       21.058     
   13.962       20.993     
   14.137       20.949     
   14.312       20.928     
   14.486       20.929     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   14.661       20.953     
   14.835       21.000     
   15.010       21.069     
   15.184       21.165     
   15.359       21.136     
   15.533       21.105     
   15.708       21.098     
   15.882       21.114     
   16.057       21.152     
   16.231       21.214     
   16.406       21.223     
   16.580       21.180     
   16.755       21.162     
   16.929       21.168     
   17.104       21.198     
   17.279       21.252     
   17.453       21.310     
   17.628       21.254     
   17.802       21.261     
   17.977       21.289     
   18.151       21.339     
   18.326       21.409     
   18.500       21.412     
   18.675       21.362     
   18.849       21.407     
   19.024       21.478     
   19.198       21.574     
   19.373       21.636     
   19.547       21.550     
   19.722       21.489     
   19.897       21.452     
   20.071       21.441     
   20.246       21.558     
   20.420       21.519     
   20.595       21.510     
   20.769       21.542     
   20.944       21.600     
   21.118       21.624     
   21.293       21.534     
   21.467       21.472     
   21.642       21.530     
   21.816       21.634     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   21.991       21.552     
   22.165       21.506     
   22.340       21.508     
   22.514       21.558     
   22.689       21.464     
   22.864       21.462     
   23.038       21.507     
   23.213       21.589     
   23.387       21.486     
   23.562       21.422     
   23.736       21.415     
   23.911       21.415     
   24.085       21.355     
   24.260       21.372     
   24.434       21.429     
   24.609       21.331     
   24.783       21.337     
   24.958       21.412     
   25.132       21.380     
   25.307       21.345     
   25.481       21.414     
   25.656       21.420     
   25.831       21.432     
   26.005       21.502     
   26.180       21.577     
   26.354       21.726     
   26.529       21.830     
   26.703       22.020     
   26.878       22.231     
   27.052       22.452     
   27.227       22.786     
   27.401       23.137     
   27.576       23.593     
   27.750       24.162     
   27.925       24.786     
   28.099       25.571     
   28.274       26.462     
   28.449       27.554     
   28.623       28.817     
   28.798       30.322     
   28.972       32.118     
   29.147       34.230     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   29.321       36.766     
   29.496       39.833     
   29.670       43.560     
   29.845       48.166     
   30.019       53.945     
   30.194       61.370     
   30.368       71.343     
   30.543     
   30.717     
   30.892       1996.1     
   31.066       2762.7     
   31.241       5267.7     
   31.416     
