 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       14.797     
  0.17453       14.728     
  0.34906       14.673     
  0.52359       14.633     
  0.69812       14.608     
  0.87265       14.598     
   1.0472       14.603     
   1.2217       14.622     
   1.3962       14.655     
   1.5708       14.688     
   1.7453       14.645     
   1.9198       14.617     
   2.0944       14.604     
   2.2689       14.606     
   2.4434       14.623     
   2.6180       14.655     
   2.7925       14.701     
   2.9670       14.734     
   3.1416       14.710     
   3.3161       14.701     
   3.4906       14.705     
   3.6651       14.723     
   3.8397       14.754     
   4.0142       14.767     
   4.1887       14.790     
   4.3633       14.795     
   4.5378       14.803     
   4.7123       14.823     
   4.8869       14.799     
   5.0614       14.768     
   5.2359       14.751     
   5.4105       14.748     
   5.5850       14.740     
   5.7595       14.699     
   5.9340       14.670     
   6.1086       14.683     
   6.2831       14.728     
   6.4576       14.768     
   6.6322       14.770     
   6.8067       14.773     
   6.9812       14.790     
   7.1558       14.818     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       14.821     
   7.5048       14.834     
   7.6794       14.829     
   7.8539       14.836     
   8.0284       14.834     
   8.2029       14.835     
   8.3775       14.850     
   8.5520       14.849     
   8.7265       14.840     
   8.9011       14.833     
   9.0756       14.839     
   9.2501       14.839     
   9.4247       14.808     
   9.5992       14.791     
   9.7737       14.787     
   9.9483       14.797     
   10.123       14.820     
   10.297       14.857     
   10.472       14.908     
   10.646       14.930     
   10.821       14.905     
   10.995       14.889     
   11.170       14.887     
   11.344       14.900     
   11.519       14.927     
   11.694       14.967     
   11.868       14.943     
   12.043       14.925     
   12.217       14.921     
   12.392       14.932     
   12.566       14.956     
   12.741       14.994     
   12.915       14.990     
   13.090       14.970     
   13.264       14.965     
   13.439       14.973     
   13.613       14.998     
   13.788       15.056     
   13.962       15.010     
   14.137       14.978     
   14.312       14.963     
   14.486       14.964     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   14.661       14.981     
   14.835       15.015     
   15.010       15.064     
   15.184       15.133     
   15.359       15.112     
   15.533       15.090     
   15.708       15.085     
   15.882       15.096     
   16.057       15.124     
   16.231       15.168     
   16.406       15.174     
   16.580       15.144     
   16.755       15.131     
   16.929       15.135     
   17.104       15.157     
   17.279       15.195     
   17.453       15.237     
   17.628       15.196     
   17.802       15.202     
   17.977       15.222     
   18.151       15.257     
   18.326       15.307     
   18.500       15.310     
   18.675       15.274     
   18.849       15.306     
   19.024       15.357     
   19.198       15.425     
   19.373       15.470     
   19.547       15.408     
   19.722       15.364     
   19.897       15.338     
   20.071       15.330     
   20.246       15.414     
   20.420       15.386     
   20.595       15.379     
   20.769       15.402     
   20.944       15.444     
   21.118       15.461     
   21.293       15.397     
   21.467       15.352     
   21.642       15.394     
   21.816       15.468     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   21.991       15.410     
   22.165       15.377     
   22.340       15.378     
   22.514       15.414     
   22.689       15.347     
   22.864       15.345     
   23.038       15.378     
   23.213       15.436     
   23.387       15.363     
   23.562       15.317     
   23.736       15.311     
   23.911       15.312     
   24.085       15.269     
   24.260       15.281     
   24.434       15.322     
   24.609       15.252     
   24.783       15.256     
   24.958       15.309     
   25.132       15.287     
   25.307       15.262     
   25.481       15.311     
   25.656       15.315     
   25.831       15.324     
   26.005       15.374     
   26.180       15.428     
   26.354       15.534     
   26.529       15.609     
   26.703       15.745     
   26.878       15.895     
   27.052       16.053     
   27.227       16.292     
   27.401       16.543     
   27.576       16.869     
   27.750       17.276     
   27.925       17.722     
   28.099       18.283     
   28.274       18.920     
   28.449       19.701     
   28.623       20.604     
   28.798       21.680     
   28.972       22.965     
   29.147       24.475     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   29.321       26.288     
   29.496       28.480     
   29.670       31.146     
   29.845       34.439     
   30.019       38.571     
   30.194       43.879     
   30.368       51.010     
   30.543     
   30.717     
   30.892       1427.2     
   31.066       1975.3     
   31.241       3766.4     
   31.416     
