
 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       15.308     
  0.17453       15.197     
  0.34906       15.098     
  0.52359       15.010     
  0.69812       14.932     
  0.87265       14.866     
   1.0472       14.812     
   1.2217       14.768     
   1.3962       14.736     
   1.5708       14.715     
   1.7453       14.707     
   1.9198       14.719     
   2.0944       14.749     
   2.2689       14.795     
   2.4434       14.858     
   2.6180       14.938     
   2.7925       15.035     
   2.9670       15.104     
   3.1416       15.063     
   3.3161       15.034     
   3.4906       15.014     
   3.6651       15.006     
   3.8397       15.008     
   4.0142       14.960     
   4.1887       14.874     
   4.3633       14.802     
   4.5378       14.745     
   4.7123       14.703     
   4.8869       14.677     
   5.0614       14.665     
   5.2359       14.669     
   5.4105       14.688     
   5.5850       14.680     
   5.7595       14.600     
   5.9340       14.531     
   6.1086       14.472     
   6.2831       14.424     
   6.4576       14.447     
   6.6322       14.494     
   6.8067       14.557     
   6.9812       14.635     
   7.1558       14.729     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       14.808     
   7.5048       14.860     
   7.6794       14.815     
   7.8539       14.782     
   8.0284       14.764     
   8.2029       14.759     
   8.3775       14.768     
   8.5520       14.792     
   8.7265       14.829     
   8.9011       14.879     
   9.0756       14.944     
   9.2501       15.030     
   9.4247       15.029     
   9.5992       14.953     
   9.7737       14.890     
   9.9483       14.842     
   10.123       14.809     
   10.297       14.789     
   10.472       14.785     
   10.646       14.794     
   10.821       14.818     
   10.995       14.855     
   11.170       14.930     
   11.344       15.041     
   11.519       15.059     
   11.694       14.984     
   11.868       14.924     
   12.043       14.880     
   12.217       14.851     
   12.392       14.838     
   12.566       14.840     
   12.741       14.858     
   12.915       14.890     
   13.090       14.938     
   13.264       15.061     
   13.439       15.008     
   13.613       14.927     
   13.788       14.864     
   13.962       14.818     
   14.137       14.823     
   14.312       14.850     
   14.486       14.890     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   14.661       14.942     
   14.835       15.007     
   15.010       15.085     
   15.184       15.131     
   15.359       15.067     
   15.533       15.053     
   15.708       15.054     
   15.882       15.071     
   16.057       15.102     
   16.231       15.149     
   16.406       15.211     
   16.580       15.287     
   16.755       15.379     
   16.929       15.385     
   17.104       15.312     
   17.279       15.251     
   17.453       15.217     
   17.628       15.251     
   17.802       15.303     
   17.977       15.374     
   18.151       15.464     
   18.326       15.571     
   18.500       15.576     
   18.675       15.492     
   18.849       15.423     
   19.024       15.371     
   19.198       15.335     
   19.373       15.315     
   19.547       15.372     
   19.722       15.482     
   19.897       15.600     
   20.071       15.491     
   20.246       15.402     
   20.420       15.336     
   20.595       15.291     
   20.769       15.268     
   20.944       15.267     
   21.118       15.314     
   21.293       15.406     
   21.467       15.338     
   21.642       15.317     
   21.816       15.318     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   21.991       15.341     
   22.165       15.387     
   22.340       15.454     
   22.514       15.544     
   22.689       15.597     
   22.864       15.500     
   23.038       15.424     
   23.213       15.369     
   23.387       15.351     
   23.562       15.378     
   23.736       15.440     
   23.911       15.536     
   24.085       15.431     
   24.260       15.342     
   24.434       15.285     
   24.609       15.259     
   24.783       15.264     
   24.958       15.298     
   25.132       15.362     
   25.307       15.264     
   25.481       15.211     
   25.656       15.206     
   25.831       15.251     
   26.005       15.374     
   26.180       15.444     
   26.354       15.483     
   26.529       15.584     
   26.703       15.746     
   26.878       15.969     
   27.052       16.128     
   27.227       16.283     
   27.401       16.572     
   27.576       16.969     
   27.750       17.339     
   27.925       17.764     
   28.099       18.271     
   28.274       18.963     
   28.449       19.766     
   28.623       20.669     
   28.798       21.697     
   28.972       23.048     
   29.147       24.470     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   29.321       26.434     
   29.496       28.569     
   29.670       31.191     
   29.845       34.561     
   30.019       38.223     
   30.194       44.360     
   30.368       50.714     
   30.543     
   30.717     
   30.892       1692.6     
   31.066       2131.2     
   31.241       2855.1     
   31.416     
 
