 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.18886     
   1.7453      0.18842     
   3.4906      0.18820     
   5.2359      0.18821     
   6.9812      0.18843     
   8.7265      0.18877     
   10.472      0.18920     
   12.217      0.18977     
   13.962      0.18960     
   15.708      0.18889     
   17.453      0.18836     
   19.198      0.18802     
   20.944      0.18787     
   22.689      0.18803     
   24.434      0.18854     
   26.180      0.18918     
   27.925      0.18896     
   29.670      0.18815     
   31.416      0.18750     
   33.161      0.18702     
   34.906      0.18672     
   36.651      0.18658     
   38.397      0.18662     
   40.142      0.18706     
   41.887      0.18728     
   43.633      0.18646     
   45.378      0.18580     
   47.123      0.18537     
   48.869      0.18566     
   50.614      0.18614     
   52.359      0.18683     
   54.105      0.18772     
   55.850      0.18881     
   57.595      0.18853     
   59.340      0.18747     
   61.086      0.18660     
   62.831      0.18592     
   64.576      0.18543     
   66.322      0.18514     
   68.067      0.18504     
   69.812      0.18514     
   71.558      0.18542     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   73.303      0.18590     
   75.048      0.18550     
   76.794      0.18458     
   78.539      0.18386     
   80.284      0.18334     
   82.029      0.18311     
   83.775      0.18308     
   85.520      0.18319     
   87.265      0.18345     
   89.011      0.18386     
   90.756      0.18450     
   92.501      0.18425     
   94.247      0.18357     
   95.992      0.18308     
   97.737      0.18280     
   99.483      0.18271     
   101.23      0.18281     
   102.97      0.18312     
   104.72      0.18362     
   106.46      0.18432     
   108.21      0.18442     
   109.95      0.18385     
   111.70      0.18346     
   113.44      0.18325     
   115.19      0.18323     
   116.94      0.18339     
   118.68      0.18373     
   120.43      0.18426     
   122.17      0.18458     
   123.92      0.18409     
   125.66      0.18376     
   127.41      0.18349     
   129.15      0.18339     
   130.90      0.18345     
   132.64      0.18368     
   134.39      0.18408     
   136.13      0.18401     
   137.88      0.18339     
   139.62      0.18297     
   141.37      0.18274     
   143.12      0.18267     
   144.86      0.18276     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   146.61      0.18299     
   148.35      0.18312     
   150.10      0.18240     
   151.84      0.18185     
   153.59      0.18147     
   155.33      0.18125     
   157.08      0.18121     
   158.82      0.18131     
   160.57      0.18109     
   162.31      0.18044     
   164.06      0.17994     
   165.80      0.17958     
   167.55      0.17938     
   169.29      0.17948     
   171.04      0.18015     
   172.79      0.17970     
   174.53      0.17948     
   176.28      0.17942     
   178.02      0.17954     
   179.77      0.17982     
   181.51      0.18028     
   183.26      0.17983     
   185.00      0.17942     
   186.75      0.17922     
   188.49      0.17919     
   190.24      0.17931     
   191.98      0.17933     
   193.73      0.17882     
   195.47      0.17848     
   197.22      0.17830     
   198.97      0.17828     
   200.71      0.17845     
   202.46      0.17815     
   204.20      0.17768     
   205.95      0.17762     
   207.69      0.17801     
   209.44      0.17821     
   211.18      0.17781     
   212.93      0.17776     
   214.67      0.17787     
   216.42      0.17813     
   218.16      0.17812     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   219.91      0.17780     
   221.65      0.17765     
   223.40      0.17781     
   225.14      0.17770     
   226.89      0.17732     
   228.64      0.17709     
   230.38      0.17732     
   232.13      0.17728     
   233.87      0.17732     
   235.62      0.17750     
   237.36      0.17781     
   239.11      0.17748     
   240.85      0.17731     
   242.60      0.17742     
   244.34      0.17742     
   246.09      0.17712     
   247.83      0.17713     
   249.58      0.17718     
   251.32      0.17714     
   253.07      0.17730     
   254.81      0.17743     
   256.56      0.17703     
   258.31      0.17687     
   260.05      0.17680     
   261.80      0.17642     
   263.54      0.17652     
   265.29      0.17608     
   267.03      0.17595     
   268.78      0.17591     
   270.52      0.17521     
   272.27      0.17461     
   274.01      0.17418     
   275.76      0.17386     
   277.50      0.17326     
   279.25      0.17207     
   280.99      0.17178     
   282.74      0.17072     
   284.49      0.16980     
   286.23      0.16877     
   287.98      0.16810     
   289.72      0.16681     
   291.47      0.16646     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   293.21      0.16606     
   294.96      0.16633     
   296.70      0.16753     
   298.45      0.17031     
   300.19      0.17633     
   301.94      0.18567     
   303.68      0.20131     
   305.43      0.22919     
   307.17      0.27647     
   308.92      0.36213     
   310.66      0.54524     
   312.41     
   314.16     
