 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       123.48     
  0.87265E-001  122.66     
  0.17453       121.93     
  0.26180       121.29     
  0.34906       120.75     
  0.43633       120.30     
  0.52359       119.96     
  0.61086       119.84     
  0.69812       119.93     
  0.78539       120.15     
  0.87265       120.50     
  0.95992       120.98     
   1.0472       121.59     
   1.1344       122.33     
   1.2217       123.21     
   1.3090       124.20     
   1.3962       123.73     
   1.4835       122.98     
   1.5708       122.34     
   1.6580       121.82     
   1.7453       121.43     
   1.8326       121.16     
   1.9198       121.00     
   2.0071       120.97     
   2.0944       121.05     
   2.1816       121.25     
   2.2689       121.57     
   2.3562       122.00     
   2.4434       122.57     
   2.5307       122.33     
   2.6180       121.82     
   2.7052       121.42     
   2.7925       121.11     
   2.8798       120.91     
   2.9670       120.81     
   3.0543       120.82     
   3.1416       120.93     
   3.2288       121.15     
   3.3161       121.48     
   3.4033       121.92     
   3.4906       122.46     
   3.5779       123.11     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   3.6651       123.13     
   3.7524       122.71     
   3.8397       122.52     
   3.9269       122.63     
   4.0142       122.85     
   4.1015       123.18     
   4.1887       123.62     
   4.2760       124.17     
   4.3633       124.83     
   4.4505       125.61     
   4.5378       126.49     
   4.6251       126.83     
   4.7123       125.87     
   4.7996       125.01     
   4.8869       124.25     
   4.9741       123.60     
   5.0614       123.04     
   5.1487       122.60     
   5.2359       122.25     
   5.3232       122.01     
   5.4105       121.87     
   5.4977       122.09     
   5.5850       122.90     
   5.6722       122.47     
   5.7595       122.19     
   5.8468       122.03     
   5.9340       121.99     
   6.0213       122.08     
   6.1086       122.29     
   6.1958       122.62     
   6.2831       123.07     
   6.3704       123.65     
   6.4576       124.35     
   6.5449       125.17     
   6.6322       125.57     
   6.7194       125.31     
   6.8067       125.20     
   6.8940       125.24     
   6.9812       125.14     
   7.0685       125.14     
   7.1558       125.23     
   7.2430       125.42     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       125.72     
   7.4176       125.96     
   7.5048       125.86     
   7.5921       125.90     
   7.6794       126.06     
   7.7666       126.35     
   7.8539       126.77     
   7.9411       126.70     
   8.0284       126.66     
   8.1157       126.72     
   8.2029       126.85     
   8.2902       127.09     
   8.3775       127.46     
   8.4647       127.94     
   8.5520       128.55     
   8.6393       128.79     
   8.7265       128.45     
   8.8138       128.21     
   8.9011       128.07     
   8.9883       128.40     
   9.0756       129.25     
   9.1629       130.23     
   9.2501       131.13     
   9.3374       130.70     
   9.4247       130.40     
   9.5119       130.22     
   9.5992       130.16     
   9.6865       130.23     
   9.7737       130.42     
   9.8610       131.00     
   9.9483       131.57     
   10.036       132.50     
   10.123       133.55     
   10.210       134.72     
   10.297       136.00     
   10.385       136.57     
   10.472       136.60     
   10.559       136.75     
   10.646       137.03     
   10.734       137.44     
   10.821       137.99     
   10.908       138.92     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   10.995       140.19     
   11.083       141.59     
   11.170       143.13     
   11.257       144.79     
   11.344       146.25     
   11.432       147.17     
   11.519       148.24     
   11.606       149.45     
   11.694       151.00     
   11.781       152.57     
   11.868       153.90     
   11.955       155.37     
   12.043       157.88     
   12.130       160.57     
   12.217       163.37     
   12.304       166.12     
   12.392       168.68     
   12.479       171.40     
   12.566       174.85     
   12.653       178.85     
   12.741       183.02     
   12.828       186.65     
   12.915       191.71     
   13.003       197.37     
   13.090       203.22     
   13.177       209.24     
   13.264       217.47     
   13.352       226.06     
   13.439       234.84     
   13.526       243.78     
   13.613       256.27     
   13.701       269.58     
   13.788       284.10     
   13.875       302.38     
   13.962       321.70     
   14.050       346.15     
   14.137       373.16     
   14.224       408.55     
   14.312       446.87     
   14.399       495.17     
   14.486       552.84     
   14.573       617.38     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   14.661       701.65     
   14.748       794.77     
   14.835       911.33     
   14.922       1043.7     
   15.010       1204.6     
   15.097       1413.9     
   15.184       1674.5     
   15.271       2031.7     
   15.359       2582.3     
   15.446       2610.5     
   15.533       1685.8     
   15.620       3241.8     
   15.708     
