 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.18769     
   1.7453      0.18725     
   3.4906      0.18703     
   5.2359      0.18703     
   6.9812      0.18726     
   8.7265      0.18760     
   10.472      0.18802     
   12.217      0.18859     
   13.962      0.18842     
   15.708      0.18770     
   17.453      0.18718     
   19.198      0.18684     
   20.944      0.18668     
   22.689      0.18683     
   24.434      0.18734     
   26.180      0.18798     
   27.925      0.18776     
   29.670      0.18694     
   31.416      0.18629     
   33.161      0.18582     
   34.906      0.18551     
   36.651      0.18537     
   38.397      0.18540     
   40.142      0.18583     
   41.887      0.18605     
   43.633      0.18523     
   45.378      0.18456     
   47.123      0.18413     
   48.869      0.18441     
   50.614      0.18488     
   52.359      0.18556     
   54.105      0.18644     
   55.850      0.18752     
   57.595      0.18724     
   59.340      0.18617     
   61.086      0.18529     
   62.831      0.18461     
   64.576      0.18412     
   66.322      0.18382     
   68.067      0.18371     
   69.812      0.18379     
   71.558      0.18407     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   73.303      0.18453     
   75.048      0.18413     
   76.794      0.18319     
   78.539      0.18246     
   80.284      0.18193     
   82.029      0.18170     
   83.775      0.18165     
   85.520      0.18176     
   87.265      0.18200     
   89.011      0.18239     
   90.756      0.18301     
   92.501      0.18275     
   94.247      0.18206     
   95.992      0.18156     
   97.737      0.18126     
   99.483      0.18116     
   101.23      0.18125     
   102.97      0.18154     
   104.72      0.18202     
   106.46      0.18270     
   108.21      0.18278     
   109.95      0.18219     
   111.70      0.18178     
   113.44      0.18156     
   115.19      0.18151     
   116.94      0.18166     
   118.68      0.18198     
   120.43      0.18249     
   122.17      0.18278     
   123.92      0.18226     
   125.66      0.18191     
   127.41      0.18162     
   129.15      0.18149     
   130.90      0.18153     
   132.64      0.18174     
   134.39      0.18211     
   136.13      0.18201     
   137.88      0.18136     
   139.62      0.18090     
   141.37      0.18064     
   143.12      0.18055     
   144.86      0.18061     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   146.61      0.18081     
   148.35      0.18091     
   150.10      0.18016     
   151.84      0.17957     
   153.59      0.17915     
   155.33      0.17889     
   157.08      0.17881     
   158.82      0.17887     
   160.57      0.17862     
   162.31      0.17793     
   164.06      0.17739     
   165.80      0.17699     
   167.55      0.17674     
   169.29      0.17679     
   171.04      0.17742     
   172.79      0.17691     
   174.53      0.17664     
   176.28      0.17653     
   178.02      0.17659     
   179.77      0.17683     
   181.51      0.17722     
   183.26      0.17671     
   185.00      0.17623     
   186.75      0.17597     
   188.49      0.17588     
   190.24      0.17595     
   191.98      0.17590     
   193.73      0.17532     
   195.47      0.17490     
   197.22      0.17464     
   198.97      0.17454     
   200.71      0.17464     
   202.46      0.17426     
   204.20      0.17370     
   205.95      0.17356     
   207.69      0.17386     
   209.44      0.17396     
   211.18      0.17345     
   212.93      0.17331     
   214.67      0.17332     
   216.42      0.17348     
   218.16      0.17336     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   219.91      0.17292     
   221.65      0.17265     
   223.40      0.17270     
   225.14      0.17247     
   226.89      0.17196     
   228.64      0.17159     
   230.38      0.17169     
   232.13      0.17150     
   233.87      0.17139     
   235.62      0.17142     
   237.36      0.17159     
   239.11      0.17109     
   240.85      0.17074     
   242.60      0.17069     
   244.34      0.17051     
   246.09      0.17002     
   247.83      0.16984     
   249.58      0.16968     
   251.32      0.16943     
   253.07      0.16938     
   254.81      0.16929     
   256.56      0.16865     
   258.31      0.16825     
   260.05      0.16793     
   261.80      0.16728     
   263.54      0.16711     
   265.29      0.16638     
   267.03      0.16594     
   268.78      0.16558     
   270.52      0.16453     
   272.27      0.16358     
   274.01      0.16274     
   275.76      0.16198     
   277.50      0.16093     
   279.25      0.15923     
   280.99      0.15838     
   282.74      0.15662     
   284.49      0.15500     
   286.23      0.15305     
   287.98      0.15140     
   289.72      0.14881     
   291.47      0.14689     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   293.21      0.14455     
   294.96      0.14228     
   296.70      0.14033     
   298.45      0.13892     
   300.19      0.13910     
   301.94      0.14091     
   303.68      0.14674     
   305.43      0.16005     
   307.17      0.18691     
   308.92      0.24018     
   310.66      0.35949     
   312.41     
   314.16     
