 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       364.30     
  0.34906E-001  361.64     
  0.69812E-001  359.35     
  0.10472       357.41     
  0.13962       355.83     
  0.17453       354.62     
  0.20944       354.22     
  0.24434       354.09     
  0.27925       354.25     
  0.31416       354.68     
  0.34906       355.39     
  0.38397       356.39     
  0.41887       357.66     
  0.45378       359.22     
  0.48869       359.81     
  0.52359       358.28     
  0.55850       356.99     
  0.59340       355.97     
  0.62831       355.23     
  0.66322       354.77     
  0.69812       354.60     
  0.73303       354.71     
  0.76794       355.11     
  0.80284       355.80     
  0.83775       357.16     
  0.87265       359.18     
  0.90756       358.11     
  0.94247       356.53     
  0.97737       355.31     
   1.0123       354.67     
   1.0472       354.34     
   1.0821       354.28     
   1.1170       354.52     
   1.1519       355.03     
   1.1868       355.83     
   1.2217       356.92     
   1.2566       358.38     
   1.2915       357.89     
   1.3264       357.26     
   1.3613       356.92     
   1.3962       356.88     
   1.4312       357.13     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   1.4661       357.68     
   1.5010       358.52     
   1.5359       359.67     
   1.5708       360.12     
   1.6057       358.27     
   1.6406       357.52     
   1.6755       357.80     
   1.7104       358.42     
   1.7453       359.36     
   1.7802       360.64     
   1.8151       362.24     
   1.8500       362.16     
   1.8849       360.31     
   1.9198       358.75     
   1.9547       357.47     
   1.9897       356.49     
   2.0246       356.82     
   2.0595       359.49     
   2.0944       360.43     
   2.1293       359.20     
   2.1642       358.37     
   2.1991       358.64     
   2.2340       359.23     
   2.2689       360.11     
   2.3038       361.26     
   2.3387       362.70     
   2.3736       362.11     
   2.4085       359.77     
   2.4434       357.71     
   2.4783       355.92     
   2.5132       354.40     
   2.5481       353.16     
   2.5831       352.19     
   2.6180       354.68     
   2.6529       357.66     
   2.6878       357.85     
   2.7227       355.97     
   2.7576       354.45     
   2.7925       353.53     
   2.8274       354.45     
   2.8623       355.61     
   2.8972       357.03     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   2.9321       358.70     
   2.9670       357.31     
   3.0019       355.50     
   3.0368       354.87     
   3.0717       355.65     
   3.1066       356.75     
   3.1416       358.17     
   3.1765       359.91     
   3.2114       361.97     
   3.2463       362.40     
   3.2812       360.68     
   3.3161       359.24     
   3.3510       358.08     
   3.3859       357.19     
   3.4208       356.59     
   3.4557       357.23     
   3.4906       356.85     
   3.5255       356.80     
   3.5604       357.04     
   3.5953       357.56     
   3.6302       358.37     
   3.6651       359.46     
   3.7001       360.83     
   3.7350       360.91     
   3.7699       360.23     
   3.8048       359.84     
   3.8397       359.67     
   3.8746       359.67     
   3.9095       359.90     
   3.9444       360.36     
   3.9793       360.26     
   4.0142       360.21     
   4.0491       360.41     
   4.0840       360.87     
   4.1189       360.70     
   4.1538       360.52     
   4.1887       360.54     
   4.2236       360.71     
   4.2585       361.04     
   4.2935       361.60     
   4.3284       362.40     
   4.3633       362.23     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   4.3982       362.00     
   4.4331       361.97     
   4.4680       362.12     
   4.5029       362.62     
   4.5378       363.39     
   4.5727       363.84     
   4.6076       363.95     
   4.6425       364.25     
   4.6774       364.73     
   4.7123       365.40     
   4.7472       366.14     
   4.7821       366.82     
   4.8170       367.62     
   4.8520       368.59     
   4.8869       369.74     
   4.9218       371.43     
   4.9567       373.41     
   4.9916       375.76     
   5.0265       378.34     
   5.0614       381.06     
   5.0963       383.90     
   5.1312       386.87     
   5.1661       390.66     
   5.2010       394.83     
   5.2359       399.08     
   5.2708       403.68     
   5.3057       409.59     
   5.3406       415.90     
   5.3755       423.22     
   5.4105       431.93     
   5.4454       440.72     
   5.4803       451.73     
   5.5152       463.85     
   5.5501       477.66     
   5.5850       493.85     
   5.6199       512.10     
   5.6548       532.81     
   5.6897       557.76     
   5.7246       584.52     
   5.7595       618.41     
   5.7944       654.66     
   5.8293       700.91     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   5.8642       753.04     
   5.8991       817.41     
   5.9340       895.88     
   5.9690       988.76     
   6.0039       954.39     
   6.0388       857.69     
   6.0737       461.39     
   6.1086       539.30     
   6.1435       744.93     
   6.1784       814.84     
   6.2133     
   6.2482     
   6.2831     
