 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       123.97     
  0.87265E-001  123.08     
  0.17453       122.27     
  0.26180       121.56     
  0.34906       120.93     
  0.43633       120.52     
  0.52359       120.34     
  0.61086       120.29     
  0.69812       120.37     
  0.78539       120.57     
  0.87265       120.90     
  0.95992       121.35     
   1.0472       121.94     
   1.1344       122.65     
   1.2217       123.49     
   1.3090       124.46     
   1.3962       125.22     
   1.4835       124.37     
   1.5708       123.63     
   1.6580       122.99     
   1.7453       122.46     
   1.8326       122.03     
   1.9198       121.70     
   2.0071       121.48     
   2.0944       121.36     
   2.1816       121.34     
   2.2689       121.82     
   2.3562       122.71     
   2.4434       123.76     
   2.5307       124.97     
   2.6180       124.83     
   2.7052       123.99     
   2.7925       123.26     
   2.8798       122.66     
   2.9670       122.18     
   3.0543       121.82     
   3.1416       121.58     
   3.2288       121.46     
   3.3161       121.46     
   3.4033       121.57     
   3.4906       121.80     
   3.5779       122.15     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   3.6651       122.79     
   3.7524       122.21     
   3.8397       122.04     
   3.9269       121.97     
   4.0142       122.00     
   4.1015       122.15     
   4.1887       122.40     
   4.2760       122.75     
   4.3633       123.22     
   4.4505       123.79     
   4.5378       124.47     
   4.6251       125.25     
   4.7123       126.14     
   4.7996       126.15     
   4.8869       125.29     
   4.9741       124.53     
   5.0614       123.87     
   5.1487       123.31     
   5.2359       122.86     
   5.3232       122.52     
   5.4105       122.28     
   5.4977       122.14     
   5.5850       122.11     
   5.6722       122.25     
   5.7595       123.40     
   5.8468       123.08     
   5.9340       122.91     
   6.0213       122.86     
   6.1086       122.93     
   6.1958       123.12     
   6.2831       123.43     
   6.3704       123.85     
   6.4576       124.40     
   6.5449       125.06     
   6.6322       125.74     
   6.7194       125.55     
   6.8067       125.50     
   6.8940       125.60     
   6.9812       125.73     
   7.0685       125.62     
   7.1558       125.61     
   7.2430       125.70     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       125.89     
   7.4176       126.17     
   7.5048       126.18     
   7.5921       126.15     
   7.6794       126.24     
   7.7666       126.46     
   7.8539       126.80     
   7.9411       127.05     
   8.0284       126.94     
   8.1157       126.92     
   8.2029       126.97     
   8.2902       127.09     
   8.3775       127.32     
   8.4647       127.67     
   8.5520       128.15     
   8.6393       128.74     
   8.7265       128.85     
   8.8138       128.56     
   8.9011       128.36     
   8.9883       128.43     
   9.0756       129.13     
   9.1629       129.96     
   9.2501       130.92     
   9.3374       131.70     
   9.4247       131.32     
   9.5119       131.05     
   9.5992       130.91     
   9.6865       130.88     
   9.7737       130.97     
   9.8610       131.55     
   9.9483       131.92     
   10.036       132.77     
   10.123       133.74     
   10.210       134.82     
   10.297       136.01     
   10.385       137.01     
   10.472       136.98     
   10.559       137.08     
   10.646       137.29     
   10.734       137.62     
   10.821       138.70     
   10.908       139.81     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   10.995       141.00     
   11.083       142.33     
   11.170       143.78     
   11.257       145.35     
   11.344       146.88     
   11.432       147.75     
   11.519       148.76     
   11.606       149.91     
   11.694       151.21     
   11.781       152.67     
   11.868       153.94     
   11.955       156.12     
   12.043       158.54     
   12.130       161.10     
   12.217       163.80     
   12.304       166.67     
   12.392       169.25     
   12.479       171.84     
   12.566       175.27     
   12.653       179.08     
   12.741       183.05     
   12.828       187.06     
   12.915       192.30     
   13.003       197.72     
   13.090       203.32     
   13.177       209.84     
   13.264       217.95     
   13.352       226.20     
   13.439       234.63     
   13.526       244.28     
   13.613       256.74     
   13.701       269.39     
   13.788       283.96     
   13.875       302.34     
   13.962       322.01     
   14.050       345.76     
   14.137       373.02     
   14.224       408.70     
   14.312       446.83     
   14.399       494.81     
   14.486       552.22     
   14.573       617.39     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   14.661       700.99     
   14.748       795.39     
   14.835       910.70     
   14.922       1043.9     
   15.010       1204.1     
   15.097       1413.3     
   15.184       1674.5     
   15.271       2034.3     
   15.359       2584.6     
   15.446       2614.5     
   15.533       1686.5     
   15.620       3243.2     
   15.708     
