 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.83476E-001
   2.5307      0.83261E-001
   5.0614      0.83219E-001
   7.5921      0.83298E-001
   10.123      0.83405E-001
   12.653      0.83540E-001
   15.184      0.83704E-001
   17.715      0.83895E-001
   20.246      0.83774E-001
   22.776      0.83526E-001
   25.307      0.83542E-001
   27.838      0.83601E-001
   30.368      0.83666E-001
   32.899      0.83734E-001
   35.430      0.83806E-001
   37.960      0.83843E-001
   40.491      0.83515E-001
   43.022      0.83324E-001
   45.553      0.83343E-001
   48.083      0.83384E-001
   50.614      0.83449E-001
   53.145      0.83537E-001
   55.675      0.83648E-001
   58.206      0.83460E-001
   60.737      0.83114E-001
   63.267      0.82941E-001
   65.798      0.82959E-001
   68.329      0.82983E-001
   70.859      0.83011E-001
   73.390      0.83040E-001
   75.921      0.83069E-001
   78.452      0.82928E-001
   80.982      0.82788E-001
   83.513      0.82672E-001
   86.044      0.82580E-001
   88.574      0.82511E-001
   91.105      0.82509E-001
   93.636      0.82629E-001
   96.166      0.82766E-001
   98.697      0.82629E-001
   101.23      0.82492E-001
   103.76      0.82355E-001
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   106.29      0.82220E-001
   108.82      0.82088E-001
   111.35      0.82013E-001
   113.88      0.82051E-001
   116.41      0.82015E-001
   118.94      0.81852E-001
   121.47      0.81709E-001
   124.00      0.81588E-001
   126.53      0.81489E-001
   129.07      0.81411E-001
   131.60      0.81314E-001
   134.13      0.81302E-001
   136.66      0.81200E-001
   139.19      0.81078E-001
   141.72      0.80957E-001
   144.25      0.80837E-001
   146.78      0.80720E-001
   149.31      0.80588E-001
   151.84      0.80441E-001
   154.37      0.80353E-001
   156.90      0.80188E-001
   159.43      0.80044E-001
   161.96      0.79922E-001
   164.50      0.79820E-001
   167.03      0.79740E-001
   169.56      0.79563E-001
   172.09      0.79383E-001
   174.62      0.79260E-001
   177.15      0.79132E-001
   179.68      0.79003E-001
   182.21      0.78875E-001
   184.74      0.78747E-001
   187.27      0.78611E-001
   189.80      0.78337E-001
   192.33      0.78153E-001
   194.86      0.77967E-001
   197.39      0.77799E-001
   199.92      0.77652E-001
   202.46      0.77526E-001
   204.99      0.77420E-001
   207.52      0.77197E-001
   210.05      0.76914E-001
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   212.58      0.76722E-001
   215.11      0.76564E-001
   217.64      0.76403E-001
   220.17      0.76241E-001
   222.70      0.76076E-001
   225.23      0.75895E-001
   227.76      0.75553E-001
   230.29      0.75294E-001
   232.82      0.75071E-001
   235.35      0.74862E-001
   237.89      0.74673E-001
   240.42      0.74505E-001
   242.95      0.74356E-001
   245.48      0.73996E-001
   248.01      0.73680E-001
   250.54      0.73456E-001
   253.07      0.73250E-001
   255.60      0.73039E-001
   258.13      0.72822E-001
   260.66      0.72601E-001
   263.19      0.72221E-001
   265.72      0.71872E-001
   268.25      0.71584E-001
   270.78      0.71310E-001
   273.32      0.71054E-001
   275.85      0.70817E-001
   278.38      0.70600E-001
   280.91      0.70216E-001
   283.44      0.69832E-001
   285.97      0.69526E-001
   288.50      0.69244E-001
   291.03      0.68953E-001
   293.56      0.68653E-001
   296.09      0.68346E-001
   298.62      0.67918E-001
   301.15      0.67524E-001
   303.68      0.67182E-001
   306.21      0.66852E-001
   308.74      0.66539E-001
   311.28      0.66111E-001
   313.81      0.65654E-001
   316.34      0.65286E-001
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   318.87      0.64947E-001
   321.40      0.64592E-001
   323.93      0.64098E-001
   326.46      0.63628E-001
   328.99      0.63218E-001
   331.52      0.62832E-001
   334.05      0.62441E-001
   336.58      0.61895E-001
   339.11      0.61410E-001
   341.64      0.60989E-001
   344.17      0.60561E-001
   346.71      0.60068E-001
   349.24      0.59499E-001
   351.77      0.58991E-001
   354.30      0.58527E-001
   356.83      0.57948E-001
   359.36      0.57362E-001
   361.89      0.56860E-001
   364.42      0.56293E-001
   366.95      0.55652E-001
   369.48      0.55074E-001
   372.01      0.54515E-001
   374.54      0.53818E-001
   377.07      0.53173E-001
   379.60      0.52576E-001
   382.13      0.51835E-001
   384.67      0.51145E-001
   387.20      0.50432E-001
   389.73      0.49668E-001
   392.26      0.48941E-001
   394.79      0.48111E-001
   397.32      0.47330E-001
   399.85      0.46440E-001
   402.38      0.45605E-001
   404.91      0.44668E-001
   407.44      0.43743E-001
   409.97      0.42752E-001
   412.50      0.41712E-001
   415.03      0.40658E-001
   417.56      0.39505E-001
   420.10      0.38280E-001
   422.63      0.37002E-001
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   425.16      0.35636E-001
   427.69      0.34170E-001
   430.22      0.32598E-001
   432.75      0.30899E-001
   435.28      0.29019E-001
   437.81      0.26964E-001
   440.34      0.24662E-001
   442.87      0.22079E-001
   445.40      0.19240E-001
   447.93      0.16451E-001
   450.46      0.15766E-001
   452.99     
   455.53     
