 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       328.41     
  0.43633E-001  326.13     
  0.87265E-001  324.16     
  0.13090       322.50     
  0.17453       321.16     
  0.21816       320.13     
  0.26180       319.41     
  0.30543       319.01     
  0.34906       318.92     
  0.39269       319.13     
  0.43633       319.65     
  0.47996       320.47     
  0.52359       321.59     
  0.56722       323.00     
  0.61086       324.71     
  0.65449       325.40     
  0.69812       323.77     
  0.74176       322.44     
  0.78539       321.42     
  0.82902       320.70     
  0.87265       320.30     
  0.91629       320.22     
  0.95992       320.43     
   1.0036       320.96     
   1.0472       321.80     
   1.0908       322.93     
   1.1344       324.10     
   1.1781       325.30     
   1.2217       326.90     
   1.2653       326.74     
   1.3090       325.34     
   1.3526       324.22     
   1.3962       323.36     
   1.4399       322.78     
   1.4835       322.47     
   1.5271       322.42     
   1.5708       322.65     
   1.6144       323.74     
   1.6580       325.32     
   1.7017       327.27     
   1.7453       327.81     
   1.7889       326.54     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   1.8326       325.54     
   1.8762       324.80     
   1.9198       324.33     
   1.9635       324.13     
   2.0071       324.29     
   2.0507       325.50     
   2.0944       327.10     
   2.1380       328.59     
   2.1816       327.06     
   2.2253       325.81     
   2.2689       324.84     
   2.3125       324.14     
   2.3562       323.72     
   2.3998       323.56     
   2.4434       324.11     
   2.4871       326.57     
   2.5307       327.02     
   2.5743       325.58     
   2.6180       324.46     
   2.6616       323.66     
   2.7052       323.18     
   2.7489       323.61     
   2.7925       324.62     
   2.8361       325.85     
   2.8798       324.72     
   2.9234       323.97     
   2.9670       324.62     
   3.0107       325.57     
   3.0543       326.80     
   3.0979       328.33     
   3.1416       330.15     
   3.1852       332.26     
   3.2288       331.61     
   3.2725       329.80     
   3.3161       328.26     
   3.3597       326.97     
   3.4033       325.95     
   3.4470       325.19     
   3.4906       324.70     
   3.5342       325.73     
   3.5779       327.93     
   3.6215       326.32     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   3.6651       326.23     
   3.7088       327.03     
   3.7524       328.07     
   3.7960       329.36     
   3.8397       330.91     
   3.8833       332.69     
   3.9269       333.15     
   3.9706       331.67     
   4.0142       330.41     
   4.0578       329.37     
   4.1015       328.73     
   4.1451       331.04     
   4.1887       333.68     
   4.2324       336.64     
   4.2760       335.64     
   4.3196       334.50     
   4.3633       333.67     
   4.4069       333.91     
   4.4505       334.53     
   4.4942       335.37     
   4.5378       336.45     
   4.5814       337.75     
   4.6251       339.16     
   4.6687       338.46     
   4.7123       337.98     
   4.7560       337.71     
   4.7996       337.66     
   4.8432       337.83     
   4.8869       338.21     
   4.9305       338.80     
   4.9741       339.61     
   5.0178       340.64     
   5.0614       341.87     
   5.1050       343.26     
   5.1487       344.37     
   5.1923       345.06     
   5.2359       345.92     
   5.2796       346.95     
   5.3232       348.15     
   5.3668       349.53     
   5.4105       351.08     
   5.4541       352.79     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   5.4977       354.68     
   5.5414       355.74     
   5.5850       357.27     
   5.6286       359.56     
   5.6722       362.04     
   5.7159       364.68     
   5.7595       367.51     
   5.8031       370.50     
   5.8468       372.73     
   5.8904       375.11     
   5.9340       377.65     
   5.9777       380.34     
   6.0213       383.51     
   6.0649       387.12     
   6.1086       390.95     
   6.1522       395.05     
   6.1958       399.31     
   6.2395       403.73     
   6.2831       408.32     
   6.3267       413.07     
   6.3704       418.62     
   6.4140       426.16     
   6.4576       434.51     
   6.5013       443.02     
   6.5449       451.69     
   6.5885       460.51     
   6.6322       469.49     
   6.6758       479.11     
   6.7194       492.81     
   6.7631       507.58     
   6.8067       524.29     
   6.8503       541.28     
   6.8940       558.29     
   6.9376       576.17     
   6.9812       601.10     
   7.0249       627.68     
   7.0685       655.83     
   7.1121       690.30     
   7.1558       727.48     
   7.1994       773.96     
   7.2430       823.16     
   7.2867       880.42     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       953.14     
   7.3739       1033.4     
   7.4176       1136.8     
   7.4612       1259.9     
   7.5048       1409.7     
   7.5485       1611.8     
   7.5921       1477.1     
   7.6357       838.72     
   7.6794       890.26     
   7.7230       1287.5     
   7.7666       1607.3     
   7.8102     
   7.8539     
