 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.26548     
   1.7453      0.26503     
   3.4906      0.26485     
   5.2359      0.26495     
   6.9812      0.26533     
   8.7265      0.26598     
   10.472      0.26665     
   12.217      0.26733     
   13.962      0.26709     
   15.708      0.26625     
   17.453      0.26565     
   19.198      0.26530     
   20.944      0.26519     
   22.689      0.26533     
   24.434      0.26579     
   26.180      0.26660     
   27.925      0.26629     
   29.670      0.26529     
   31.416      0.26451     
   33.161      0.26397     
   34.906      0.26366     
   36.651      0.26357     
   38.397      0.26372     
   40.142      0.26408     
   41.887      0.26393     
   43.633      0.26292     
   45.378      0.26268     
   47.123      0.26271     
   48.869      0.26302     
   50.614      0.26359     
   52.359      0.26445     
   54.105      0.26558     
   55.850      0.26698     
   57.595      0.26609     
   59.340      0.26467     
   61.086      0.26351     
   62.831      0.26262     
   64.576      0.26200     
   66.322      0.26165     
   68.067      0.26156     
   69.812      0.26175     
   71.558      0.26220     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   73.303      0.26294     
   75.048      0.26310     
   76.794      0.26197     
   78.539      0.26111     
   80.284      0.26053     
   82.029      0.26022     
   83.775      0.26020     
   85.520      0.26045     
   87.265      0.26097     
   89.011      0.26177     
   90.756      0.26242     
   92.501      0.26212     
   94.247      0.26100     
   95.992      0.26014     
   97.737      0.25955     
   99.483      0.25922     
   101.23      0.25917     
   102.97      0.25938     
   104.72      0.25985     
   106.46      0.26059     
   108.21      0.26081     
   109.95      0.26053     
   111.70      0.26011     
   113.44      0.25994     
   115.19      0.26001     
   116.94      0.26033     
   118.68      0.26090     
   120.43      0.26171     
   122.17      0.26057     
   123.92      0.25968     
   125.66      0.25910     
   127.41      0.25864     
   129.15      0.25840     
   130.90      0.25838     
   132.64      0.25858     
   134.39      0.25901     
   136.13      0.25833     
   137.88      0.25766     
   139.62      0.25725     
   141.37      0.25710     
   143.12      0.25699     
   144.86      0.25705     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   146.61      0.25732     
   148.35      0.25679     
   150.10      0.25574     
   151.84      0.25492     
   153.59      0.25432     
   155.33      0.25395     
   157.08      0.25382     
   158.82      0.25391     
   160.57      0.25315     
   162.31      0.25229     
   164.06      0.25163     
   165.80      0.25117     
   167.55      0.25120     
   169.29      0.25177     
   171.04      0.25231     
   172.79      0.25165     
   174.53      0.25128     
   176.28      0.25114     
   178.02      0.25123     
   179.77      0.25155     
   181.51      0.25210     
   183.26      0.25148     
   185.00      0.25083     
   186.75      0.25049     
   188.49      0.25046     
   190.24      0.25063     
   191.98      0.25101     
   193.73      0.25034     
   195.47      0.24972     
   197.22      0.24931     
   198.97      0.24911     
   200.71      0.24921     
   202.46      0.24911     
   204.20      0.24849     
   205.95      0.24820     
   207.69      0.24863     
   209.44      0.24928     
   211.18      0.24906     
   212.93      0.24872     
   214.67      0.24886     
   216.42      0.24920     
   218.16      0.24972     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   219.91      0.24962     
   221.65      0.24941     
   223.40      0.24939     
   225.14      0.24981     
   226.89      0.24994     
   228.64      0.24986     
   230.38      0.25024     
   232.13      0.25101     
   233.87      0.25139     
   235.62      0.25160     
   237.36      0.25234     
   239.11      0.25320     
   240.85      0.25364     
   242.60      0.25424     
   244.34      0.25498     
   246.09      0.25598     
   247.83      0.25722     
   249.58      0.25861     
   251.32      0.25994     
   253.07      0.26120     
   254.81      0.26260     
   256.56      0.26441     
   258.31      0.26652     
   260.05      0.26876     
   261.80      0.27125     
   263.54      0.27388     
   265.29      0.27684     
   267.03      0.28053     
   268.78      0.28433     
   270.52      0.28874     
   272.27      0.29361     
   274.01      0.29906     
   275.76      0.30602     
   277.50      0.31286     
   279.25      0.32147     
   280.99      0.33109     
   282.74      0.34232     
   284.49      0.35613     
   286.23      0.37050     
   287.98      0.38979     
   289.72      0.41075     
   291.47      0.43803     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   293.21      0.46958     
   294.96      0.50817     
   296.70      0.55797     
   298.45      0.61786     
   300.19      0.69509     
   301.94      0.80129     
   303.68      0.94007     
   305.43       1.1332     
   307.17       1.4273     
   308.92       1.9181     
   310.66       2.9112     
   312.41      0.93538E-012
   314.16     
