 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       492.81     
  0.43633E-001  490.04     
  0.87265E-001  487.89     
  0.13090       487.88     
  0.17453       488.31     
  0.21816       489.16     
  0.26180       490.45     
  0.30543       492.18     
  0.34906       493.86     
  0.39269       491.91     
  0.43633       490.42     
  0.47996       489.41     
  0.52359       488.87     
  0.56722       488.81     
  0.61086       489.44     
  0.65449       490.56     
  0.69812       492.06     
  0.74176       490.10     
  0.78539       488.30     
  0.82902       486.90     
  0.87265       485.89     
  0.91629       485.27     
  0.95992       486.34     
   1.0036       488.41     
   1.0472       490.99     
   1.0908       491.32     
   1.1344       490.05     
   1.1781       488.52     
   1.2217       487.47     
   1.2653       486.88     
   1.3090       486.77     
   1.3526       487.13     
   1.3962       487.96     
   1.4399       489.26     
   1.4835       491.23     
   1.5271       494.08     
   1.5708       493.11     
   1.6144       489.87     
   1.6580       487.55     
   1.7017       487.34     
   1.7453       487.55     
   1.7889       488.18     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   1.8326       489.23     
   1.8762       490.70     
   1.9198       492.59     
   1.9635       494.90     
   2.0071       497.63     
   2.0507       495.24     
   2.0944       492.89     
   2.1380       490.99     
   2.1816       489.55     
   2.2253       488.56     
   2.2689       488.02     
   2.3125       487.94     
   2.3562       488.92     
   2.3998       489.48     
   2.4434       486.89     
   2.4871       484.66     
   2.5307       482.78     
   2.5743       481.94     
   2.6180       483.53     
   2.6616       485.63     
   2.7052       488.27     
   2.7489       491.42     
   2.7925       490.69     
   2.8361       489.81     
   2.8798       489.69     
   2.9234       490.02     
   2.9670       490.79     
   3.0107       492.00     
   3.0543       493.65     
   3.0979       495.75     
   3.1416       494.58     
   3.1852       493.37     
   3.2288       492.74     
   3.2725       492.59     
   3.3161       492.84     
   3.3597       493.48     
   3.4033       494.51     
   3.4470       495.93     
   3.4906       494.86     
   3.5342       493.97     
   3.5779       493.59     
   3.6215       493.65     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   3.6651       493.39     
   3.7088       493.48     
   3.7524       493.93     
   3.7960       493.91     
   3.8397       493.19     
   3.8833       492.96     
   3.9269       493.21     
   3.9706       493.25     
   4.0142       492.87     
   4.0578       492.84     
   4.1015       493.02     
   4.1451       492.92     
   4.1887       493.30     
   4.2324       494.15     
   4.2760       494.02     
   4.3196       493.04     
   4.3633       492.41     
   4.4069       492.33     
   4.4505       493.09     
   4.4942       494.34     
   4.5378       494.28     
   4.5814       492.82     
   4.6251       491.73     
   4.6687       491.02     
   4.7123       492.23     
   4.7560       493.76     
   4.7996       490.49     
   4.8432       487.64     
   4.8869       485.22     
   4.9305       485.45     
   4.9741       485.92     
   5.0178       487.24     
   5.0614       488.95     
   5.1050       491.03     
   5.1487       491.64     
   5.1923       489.50     
   5.2359       487.70     
   5.2796       486.93     
   5.3232       488.39     
   5.3668       485.19     
   5.4105       485.77     
   5.4541       487.55     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   5.4977       489.65     
   5.5414       489.16     
   5.5850       487.50     
   5.6286       486.13     
   5.6722       487.32     
   5.7159       485.58     
   5.7595       485.71     
   5.8031       486.91     
   5.8468       488.41     
   5.8904       487.62     
   5.9340       486.08     
   5.9777       484.82     
   6.0213       486.12     
   6.0649       485.64     
   6.1086       485.02     
   6.1522       484.63     
   6.1958       484.54     
   6.2395       484.89     
   6.2831       485.46     
   6.3267       486.25     
   6.3704       485.68     
   6.4140       486.49     
   6.4576       487.68     
   6.5013       488.62     
   6.5449       488.88     
   6.5885       491.03     
   6.6322       492.99     
   6.6758       494.96     
   6.7194       497.37     
   6.7631       501.13     
   6.8067       505.12     
   6.8503       510.27     
   6.8940       516.42     
   6.9376       523.59     
   6.9812       532.93     
   7.0249       543.92     
   7.0685       557.85     
   7.1121       572.37     
   7.1558       593.08     
   7.1994       616.89     
   7.2430       645.98     
   7.2867       679.35     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       725.78     
   7.3739       778.00     
   7.4176       838.92     
   7.4612       933.14     
   7.5048       1031.3     
   7.5485       1044.5     
   7.5921       996.19     
   7.6357       515.22     
   7.6794       620.25     
   7.7230       901.74     
   7.7666       1005.6     
   7.8102     
   7.8539     
