 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.12793     
   2.5307      0.12762     
   5.0614      0.12755     
   7.5921      0.12767     
   10.123      0.12783     
   12.653      0.12803     
   15.184      0.12828     
   17.715      0.12856     
   20.246      0.12839     
   22.776      0.12805     
   25.307      0.12807     
   27.838      0.12818     
   30.368      0.12829     
   32.899      0.12841     
   35.430      0.12853     
   37.960      0.12860     
   40.491      0.12815     
   43.022      0.12789     
   45.553      0.12794     
   48.083      0.12803     
   50.614      0.12815     
   53.145      0.12831     
   55.675      0.12851     
   58.206      0.12827     
   60.737      0.12780     
   63.267      0.12757     
   65.798      0.12764     
   68.329      0.12772     
   70.859      0.12781     
   73.390      0.12789     
   75.921      0.12797     
   78.452      0.12781     
   80.982      0.12764     
   83.513      0.12751     
   86.044      0.12742     
   88.574      0.12737     
   91.105      0.12744     
   93.636      0.12770     
   96.166      0.12799     
   98.697      0.12784     
   101.23      0.12769     
   103.76      0.12754     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   106.29      0.12740     
   108.82      0.12726     
   111.35      0.12725     
   113.88      0.12743     
   116.41      0.12747     
   118.94      0.12730     
   121.47      0.12716     
   124.00      0.12706     
   126.53      0.12699     
   129.07      0.12695     
   131.60      0.12693     
   134.13      0.12704     
   136.66      0.12700     
   139.19      0.12691     
   141.72      0.12683     
   144.25      0.12674     
   146.78      0.12666     
   149.31      0.12657     
   151.84      0.12653     
   154.37      0.12656     
   156.90      0.12642     
   159.43      0.12632     
   161.96      0.12625     
   164.50      0.12622     
   167.03      0.12621     
   169.56      0.12613     
   172.09      0.12610     
   174.62      0.12609     
   177.15      0.12603     
   179.68      0.12598     
   182.21      0.12593     
   184.74      0.12587     
   187.27      0.12581     
   189.80      0.12567     
   192.33      0.12567     
   194.86      0.12555     
   197.39      0.12547     
   199.92      0.12542     
   202.46      0.12540     
   204.99      0.12542     
   207.52      0.12533     
   210.05      0.12525     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   212.58      0.12525     
   215.11      0.12522     
   217.64      0.12518     
   220.17      0.12515     
   222.70      0.12511     
   225.23      0.12505     
   227.76      0.12493     
   230.29      0.12495     
   232.82      0.12486     
   235.35      0.12480     
   237.89      0.12478     
   240.42      0.12479     
   242.95      0.12483     
   245.48      0.12470     
   248.01      0.12469     
   250.54      0.12472     
   253.07      0.12472     
   255.60      0.12472     
   258.13      0.12471     
   260.66      0.12469     
   263.19      0.12460     
   265.72      0.12461     
   268.25      0.12463     
   270.78      0.12459     
   273.32      0.12459     
   275.85      0.12462     
   278.38      0.12469     
   280.91      0.12466     
   283.44      0.12472     
   285.97      0.12483     
   288.50      0.12487     
   291.03      0.12490     
   293.56      0.12491     
   296.09      0.12491     
   298.62      0.12495     
   301.15      0.12511     
   303.68      0.12520     
   306.21      0.12524     
   308.74      0.12532     
   311.28      0.12536     
   313.81      0.12550     
   316.34      0.12566     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   318.87      0.12577     
   321.40      0.12584     
   323.93      0.12593     
   326.46      0.12613     
   328.99      0.12630     
   331.52      0.12642     
   334.05      0.12656     
   336.58      0.12671     
   339.11      0.12697     
   341.64      0.12719     
   344.17      0.12733     
   346.71      0.12746     
   349.24      0.12771     
   351.77      0.12802     
   354.30      0.12819     
   356.83      0.12837     
   359.36      0.12866     
   361.89      0.12893     
   364.42      0.12909     
   366.95      0.12935     
   369.48      0.12967     
   372.01      0.12985     
   374.54      0.13009     
   377.07      0.13045     
   379.60      0.13064     
   382.13      0.13083     
   384.67      0.13113     
   387.20      0.13124     
   389.73      0.13143     
   392.26      0.13155     
   394.79      0.13161     
   397.32      0.13170     
   399.85      0.13160     
   402.38      0.13165     
   404.91      0.13136     
   407.44      0.13116     
   409.97      0.13064     
   412.50      0.12999     
   415.03      0.12918     
   417.56      0.12804     
   420.10      0.12657     
   422.63      0.12471     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   425.16      0.12237     
   427.69      0.11947     
   430.22      0.11600     
   432.75      0.11184     
   435.28      0.10660     
   437.81      0.10035     
   440.34      0.92907E-001
   442.87      0.83966E-001
   445.40      0.73715E-001
   447.93      0.63325E-001
   450.46      0.60704E-001
   452.99     
   455.53     
