 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.12702     
   2.5307      0.12672     
   5.0614      0.12665     
   7.5921      0.12676     
   10.123      0.12692     
   12.653      0.12712     
   15.184      0.12737     
   17.715      0.12765     
   20.246      0.12748     
   22.776      0.12714     
   25.307      0.12716     
   27.838      0.12726     
   30.368      0.12737     
   32.899      0.12749     
   35.430      0.12760     
   37.960      0.12767     
   40.491      0.12722     
   43.022      0.12696     
   45.553      0.12701     
   48.083      0.12709     
   50.614      0.12721     
   53.145      0.12737     
   55.675      0.12756     
   58.206      0.12731     
   60.737      0.12684     
   63.267      0.12661     
   65.798      0.12668     
   68.329      0.12675     
   70.859      0.12683     
   73.390      0.12691     
   75.921      0.12699     
   78.452      0.12682     
   80.982      0.12665     
   83.513      0.12651     
   86.044      0.12642     
   88.574      0.12636     
   91.105      0.12642     
   93.636      0.12667     
   96.166      0.12695     
   98.697      0.12679     
   101.23      0.12664     
   103.76      0.12648     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   106.29      0.12633     
   108.82      0.12619     
   111.35      0.12617     
   113.88      0.12634     
   116.41      0.12637     
   118.94      0.12619     
   121.47      0.12604     
   124.00      0.12593     
   126.53      0.12585     
   129.07      0.12580     
   131.60      0.12576     
   134.13      0.12586     
   136.66      0.12581     
   139.19      0.12571     
   141.72      0.12562     
   144.25      0.12552     
   146.78      0.12543     
   149.31      0.12533     
   151.84      0.12526     
   154.37      0.12528     
   156.90      0.12513     
   159.43      0.12501     
   161.96      0.12493     
   164.50      0.12488     
   167.03      0.12486     
   169.56      0.12476     
   172.09      0.12470     
   174.62      0.12468     
   177.15      0.12461     
   179.68      0.12453     
   182.21      0.12446     
   184.74      0.12440     
   187.27      0.12432     
   189.80      0.12415     
   192.33      0.12412     
   194.86      0.12398     
   197.39      0.12388     
   199.92      0.12381     
   202.46      0.12377     
   204.99      0.12377     
   207.52      0.12365     
   210.05      0.12353     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   212.58      0.12350     
   215.11      0.12345     
   217.64      0.12339     
   220.17      0.12333     
   222.70      0.12327     
   225.23      0.12318     
   227.76      0.12302     
   230.29      0.12299     
   232.82      0.12288     
   235.35      0.12279     
   237.89      0.12274     
   240.42      0.12271     
   242.95      0.12272     
   245.48      0.12255     
   248.01      0.12249     
   250.54      0.12248     
   253.07      0.12244     
   255.60      0.12240     
   258.13      0.12236     
   260.66      0.12230     
   263.19      0.12216     
   265.72      0.12211     
   268.25      0.12207     
   270.78      0.12200     
   273.32      0.12195     
   275.85      0.12194     
   278.38      0.12196     
   280.91      0.12187     
   283.44      0.12186     
   285.97      0.12191     
   288.50      0.12189     
   291.03      0.12186     
   293.56      0.12182     
   296.09      0.12177     
   298.62      0.12172     
   301.15      0.12180     
   303.68      0.12183     
   306.21      0.12180     
   308.74      0.12181     
   311.28      0.12178     
   313.81      0.12182     
   316.34      0.12190     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   318.87      0.12193     
   321.40      0.12194     
   323.93      0.12192     
   326.46      0.12202     
   328.99      0.12210     
   331.52      0.12213     
   334.05      0.12219     
   336.58      0.12222     
   339.11      0.12237     
   341.64      0.12249     
   344.17      0.12253     
   346.71      0.12255     
   349.24      0.12267     
   351.77      0.12286     
   354.30      0.12292     
   356.83      0.12298     
   359.36      0.12313     
   361.89      0.12327     
   364.42      0.12331     
   366.95      0.12342     
   369.48      0.12359     
   372.01      0.12365     
   374.54      0.12373     
   377.07      0.12393     
   379.60      0.12398     
   382.13      0.12401     
   384.67      0.12415     
   387.20      0.12411     
   389.73      0.12414     
   392.26      0.12410     
   394.79      0.12400     
   397.32      0.12393     
   399.85      0.12367     
   402.38      0.12356     
   404.91      0.12313     
   407.44      0.12278     
   409.97      0.12213     
   412.50      0.12137     
   415.03      0.12045     
   417.56      0.11924     
   420.10      0.11772     
   422.63      0.11585     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   425.16      0.11354     
   427.69      0.11073     
   430.22      0.10740     
   432.75      0.10345     
   435.28      0.98514E-001
   437.81      0.92668E-001
   440.34      0.85735E-001
   442.87      0.77443E-001
   445.40      0.67961E-001
   447.93      0.58367E-001
   450.46      0.55947E-001
   452.99     
   455.53     
