 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       491.84     
  0.43633E-001  489.20     
  0.87265E-001  487.80     
  0.13090       488.19     
  0.17453       489.03     
  0.21816       490.34     
  0.26180       492.10     
  0.30543       494.31     
  0.34906       494.63     
  0.39269       492.18     
  0.43633       490.24     
  0.47996       488.83     
  0.52359       488.39     
  0.56722       488.65     
  0.61086       489.31     
  0.65449       490.39     
  0.69812       491.88     
  0.74176       493.78     
  0.78539       492.89     
  0.82902       491.12     
  0.87265       489.79     
  0.91629       488.89     
  0.95992       488.44     
   1.0036       488.42     
   1.0472       488.84     
   1.0908       489.69     
   1.1344       490.44     
   1.1781       488.77     
   1.2217       486.76     
   1.2653       485.13     
   1.3090       483.88     
   1.3526       483.01     
   1.3962       482.53     
   1.4399       482.78     
   1.4835       484.29     
   1.5271       486.32     
   1.5708       488.85     
   1.6144       491.33     
   1.6580       487.97     
   1.7017       486.74     
   1.7453       485.96     
   1.7889       485.64     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   1.8326       485.77     
   1.8762       486.36     
   1.9198       487.41     
   1.9635       488.93     
   2.0071       490.90     
   2.0507       493.32     
   2.0944       496.21     
   2.1380       495.52     
   2.1816       493.25     
   2.2253       491.48     
   2.2689       490.20     
   2.3125       489.41     
   2.3562       489.24     
   2.3998       490.08     
   2.4434       491.27     
   2.4871       492.81     
   2.5307       490.16     
   2.5743       487.77     
   2.6180       485.75     
   2.6616       484.12     
   2.7052       482.87     
   2.7489       485.04     
   2.7925       488.45     
   2.8361       489.61     
   2.8798       488.36     
   2.9234       488.10     
   2.9670       488.28     
   3.0107       488.91     
   3.0543       490.00     
   3.0979       491.53     
   3.1416       493.50     
   3.1852       494.27     
   3.2288       493.34     
   3.2725       493.00     
   3.3161       492.96     
   3.3597       492.96     
   3.4033       493.34     
   3.4470       494.12     
   3.4906       495.28     
   3.5342       494.94     
   3.5779       493.80     
   3.6215       493.17     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   3.6651       493.06     
   3.7088       492.89     
   3.7524       492.88     
   3.7960       493.21     
   3.8397       493.34     
   3.8833       492.61     
   3.9269       492.36     
   3.9706       492.58     
   4.0142       493.24     
   4.0578       492.59     
   4.1015       492.27     
   4.1451       492.29     
   4.1887       492.11     
   4.2324       492.38     
   4.2760       493.12     
   4.3196       493.77     
   4.3633       492.69     
   4.4069       491.94     
   4.4505       491.70     
   4.4942       492.40     
   4.5378       493.57     
   4.5814       494.23     
   4.6251       492.61     
   4.6687       491.36     
   4.7123       490.48     
   4.7560       492.00     
   4.7996       493.07     
   4.8432       490.30     
   4.8869       487.94     
   4.9305       486.00     
   4.9741       484.47     
   5.0178       485.18     
   5.0614       486.45     
   5.1050       488.08     
   5.1487       490.07     
   5.1923       489.35     
   5.2359       487.68     
   5.2796       487.64     
   5.3232       489.42     
   5.3668       487.71     
   5.4105       485.33     
   5.4541       485.67     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   5.4977       487.53     
   5.5414       488.11     
   5.5850       486.62     
   5.6286       486.31     
   5.6722       487.63     
   5.7159       486.84     
   5.7595       485.30     
   5.8031       486.44     
   5.8468       487.86     
   5.8904       487.37     
   5.9340       485.93     
   5.9777       484.77     
   6.0213       486.01     
   6.0649       485.41     
   6.1086       484.75     
   6.1522       484.31     
   6.1958       484.26     
   6.2395       484.76     
   6.2831       485.48     
   6.3267       486.42     
   6.3704       485.38     
   6.4140       486.43     
   6.4576       487.66     
   6.5013       488.04     
   6.5449       488.85     
   6.5885       490.87     
   6.6322       492.67     
   6.6758       494.60     
   6.7194       497.21     
   6.7631       500.94     
   6.8067       504.88     
   6.8503       510.07     
   6.8940       516.28     
   6.9376       523.33     
   6.9812       532.68     
   7.0249       543.35     
   7.0685       557.69     
   7.1121       572.11     
   7.1558       592.91     
   7.1994       616.07     
   7.2430       645.56     
   7.2867       679.30     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       725.83     
   7.3739       776.30     
   7.4176       840.95     
   7.4612       934.10     
   7.5048       1029.6     
   7.5485       1054.5     
   7.5921       1002.6     
   7.6357       514.95     
   7.6794       620.01     
   7.7230       901.39     
   7.7666       1005.2     
   7.8102     
   7.8539     
