Cathode,Cathode,ionIoni,1.00028e+09,ionIoni,15.4734,3.27765e-05
Cathode,Cathode,compt,22,compt,15.6964,5.849e-05
Cathode,Cathode,phot,22,phot,15.7235,1.291e-05
Cathode,Cathode,phot,22,phot,15.7235,3.856e-05
Cathode,Cathode,phot,22,phot,15.7235,1.283e-05
Cathode,Cathode,phot,22,phot,15.7235,1.466e-05
Cathode,Cathode,phot,22,phot,15.7235,3.839e-05
Cathode,Cathode,phot,22,phot,15.7235,1.274e-05
Cathode,Cathode,phot,22,phot,15.7235,1.291e-05
Cathode,Cathode,phot,22,phot,15.7234,1.274e-05
Cathode,Cathode,phot,22,phot,15.7235,6.421e-05
Cathode,Cathode,phot,22,phot,15.7235,1.274e-05
Cathode,Cathode,phot,22,phot,15.7235,1.291e-05
Cathode,Cathode,phot,22,phot,15.7235,1.274e-05
Cathode,Cathode,phot,22,phot,15.7235,2.027e-05
Cathode,Cathode,phot,22,phot,15.7235,1.274e-05
Cathode,Cathode,phot,22,phot,15.7235,1.291e-05
Cathode,Cathode,phot,22,phot,15.7235,5.849e-05
Cathode,Cathode,phot,22,phot,15.7235,2.548e-05
Cathode,Cathode,phot,22,phot,15.7235,6.46e-06
Cathode,Cathode,phot,22,phot,15.7235,2.565e-05
Cathode,Cathode,phot,22,phot,15.7235,1.274e-05
Cathode,Cathode,phot,22,phot,15.7235,2.565e-05
Cathode,Cathode,phot,22,phot,15.7236,3.79e-05
Cathode,Cathode,phot,22,phot,15.7236,1.291e-05
Cathode,Cathode,phot,22,phot,15.7236,1.291e-05
Cathode,Cathode,phot,22,phot,15.7236,6.46e-06
Cathode,Cathode,phot,22,phot,15.7236,1.283e-05
Cathode,Cathode,phot,22,phot,15.7251,1.92e-05
Cathode,Cathode,phot,22,phot,15.7251,2.582e-05
Cathode,Cathode,phot,22,phot,15.7251,2.548e-05
Cathode,Cathode,phot,22,phot,15.7243,2.548e-05
Cathode,Cathode,phot,22,phot,15.7243,2.548e-05
Cathode,Cathode,phot,22,phot,15.7243,4.609e-05
Cathode,Cathode,phot,22,phot,15.7243,2.044e-05
Cathode,Cathode,phot,22,phot,15.7243,3.839e-05
Cathode,Cathode,phot,22,phot,15.7243,1.291e-05
Cathode,Cathode,phot,22,phot,15.7244,2.548e-05
Cathode,Cathode,phot,22,phot,15.7245,6.37e-06
Cathode,Cathode,phot,22,phot,15.7245,2.565e-05
Cathode,Cathode,phot,22,phot,15.7245,1.291e-05
Cathode,Cathode,phot,22,phot,15.7245,2.548e-05
Cathode,Cathode,phot,22,phot,15.7245,1.929e-05
Cathode,Cathode,phot,22,phot,15.7245,6.37e-06
Cathode,Cathode,phot,22,phot,15.7245,2.565e-05
Cathode,Cathode,phot,22,phot,15.7245,1.274e-05
Cathode,Cathode,phot,22,phot,15.7245,1.274e-05
Cathode,Cathode,phot,22,phot,15.7244,1.274e-05
Cathode,Cathode,phot,22,phot,15.7244,2.548e-05
Cathode,Cathode,phot,22,phot,15.7244,1.274e-05
Cathode,Cathode,phot,22,phot,15.7244,1.274e-05
Cathode,Cathode,phot,22,phot,15.7244,1.274e-05
Cathode,Cathode,phot,22,phot,15.7246,1.291e-05
Cathode,Cathode,phot,22,phot,15.7246,4.424e-05
Cathode,Cathode,phot,22,phot,15.7246,2.565e-05
Cathode,Cathode,phot,22,phot,15.7248,1.274e-05
Cathode,Cathode,phot,22,phot,15.7248,1.274e-05
Cathode,Cathode,phot,22,phot,15.7248,1.274e-05
Cathode,Cathode,phot,22,phot,15.7258,3.194e-05
Cathode,Cathode,phot,22,phot,15.7258,1.274e-05
Cathode,Cathode,phot,22,phot,15.7258,1.291e-05
Cathode,Cathode,phot,22,phot,15.7259,1.466e-05
Cathode,Cathode,phot,22,phot,15.7259,1.291e-05
Cathode,Cathode,phot,22,phot,15.7259,6.37e-06
Cathode,Cathode,phot,22,phot,15.7259,1.274e-05
Cathode,Cathode,phot,22,phot,15.7259,5.866e-05
Cathode,Cathode,phot,22,phot,15.7259,1.274e-05
Cathode,Cathode,phot,22,phot,15.7259,1.274e-05
Cathode,Cathode,phot,22,phot,15.7259,2.565e-05
Cathode,Cathode,phot,22,phot,15.726,1.274e-05
Cathode,Cathode,phot,22,phot,15.726,1.291e-05
Cathode,Cathode,phot,22,phot,15.726,2.548e-05
Cathode,Cathode,phot,22,phot,15.7257,2.565e-05
Cathode,Cathode,phot,22,phot,15.7257,2.548e-05
Cathode,Cathode,phot,22,phot,15.7257,1.274e-05
Cathode,Cathode,phot,22,phot,15.7257,1.466e-05
Cathode,Cathode,phot,22,phot,15.7257,1.283e-05
Cathode,Cathode,phot,22,phot,15.7257,1.466e-05
Cathode,Cathode,phot,22,phot,15.7257,1.274e-05
Cathode,Cathode,phot,22,phot,15.7259,3.839e-05
Cathode,Cathode,phot,22,phot,15.7259,3.856e-05
Cathode,Cathode,phot,22,phot,15.7259,1.492e-05
Cathode,Cathode,phot,22,phot,15.7259,2.584e-05
Cathode,Cathode,phot,22,phot,15.7259,1.274e-05
Cathode,Cathode,phot,22,phot,15.7259,1.274e-05
Cathode,Cathode,phot,22,phot,15.7259,1.492e-05
Cathode,Cathode,phot,22,phot,15.7259,2.565e-05
Cathode,Cathode,phot,22,phot,15.7259,2.565e-05
Cathode,Cathode,phot,22,phot,15.7259,4.424e-05
Cathode,Cathode,phot,22,phot,15.7256,2.565e-05
Cathode,Cathode,phot,22,phot,15.7256,1.466e-05
Cathode,Cathode,phot,22,phot,15.726,2.565e-05
Cathode,Cathode,phot,22,phot,15.726,1.291e-05
Cathode,Cathode,phot,22,phot,15.726,1.233e-05
Cathode,Cathode,phot,22,phot,15.7259,2.565e-05
Cathode,Cathode,phot,22,phot,15.726,3.318e-05
Cathode,Cathode,phot,22,phot,15.726,1.274e-05
Cathode,Cathode,phot,22,phot,15.726,6.37e-06
Cathode,Cathode,phot,22,phot,15.7293,2.984e-05
Cathode,Cathode,phot,22,phot,15.7293,2.565e-05
Cathode,Cathode,phot,22,phot,15.7293,3.301e-05
Cathode,Cathode,phot,22,phot,15.7293,2.548e-05
Cathode,Cathode,phot,22,phot,15.7299,2.932e-05
Cathode,Cathode,phot,22,phot,15.7299,1.291e-05
Cathode,Cathode,phot,22,phot,15.7298,5.147e-05
Cathode,Cathode,phot,22,phot,15.7298,4.424e-05
Cathode,Cathode,phot,22,phot,15.7298,6.46e-06
Cathode,Cathode,phot,22,phot,15.7298,3.822e-05
Cathode,Cathode,phot,22,phot,15.7298,2.027e-05
Cathode,Cathode,phot,22,phot,15.7298,2.548e-05
Cathode,Cathode,phot,22,phot,15.7298,2.565e-05
Cathode,Cathode,phot,22,phot,15.7299,2.565e-05
Cathode,Cathode,phot,22,phot,15.7298,2.565e-05
Cathode,Cathode,phot,22,phot,15.7298,1.291e-05
Cathode,Cathode,phot,22,phot,15.7301,2.566e-05
Cathode,Cathode,phot,22,phot,15.7301,1.274e-05
Cathode,Cathode,phot,22,phot,15.7301,1.274e-05
Cathode,Cathode,phot,22,phot,15.7301,1.291e-05
Cathode,Cathode,phot,22,phot,15.7301,6.37e-06
Cathode,Cathode,phot,22,phot,15.7301,1.274e-05
Cathode,Cathode,phot,22,phot,15.7301,1.291e-05
Cathode,Cathode,phot,22,phot,15.7302,2.565e-05
Cathode,Cathode,phot,22,phot,15.7302,2.565e-05
Cathode,Cathode,phot,22,phot,15.7302,1.291e-05
Cathode,Cathode,phot,22,phot,15.7302,5.096e-05
Cathode,Cathode,phot,22,phot,15.7302,0
Cathode,Cathode,phot,22,phot,15.7302,1.274e-05
Cathode,Cathode,phot,22,phot,15.7302,2.565e-05
Cathode,Cathode,phot,22,phot,15.7302,1.283e-05
Cathode,Cathode,phot,22,phot,15.7302,2.027e-05
Cathode,Cathode,phot,22,phot,15.7302,2.565e-05
Cathode,Cathode,phot,22,phot,15.7303,1.291e-05
Cathode,Cathode,phot,22,phot,15.7303,1.274e-05
Cathode,Cathode,phot,22,phot,15.7303,1.274e-05
Cathode,Cathode,phot,22,phot,15.7303,4.592e-05
Cathode,Cathode,phot,22,phot,15.7303,2.565e-05
Cathode,Cathode,phot,22,phot,15.7303,1.911e-05
Cathode,Cathode,phot,22,phot,15.7303,6.37e-06
Cathode,Cathode,phot,22,phot,15.7303,1.274e-05
Cathode,Cathode,phot,22,phot,15.7306,2.565e-05
Cathode,Cathode,phot,22,phot,15.7301,2.565e-05
Cathode,Cathode,phot,22,phot,15.7301,1.274e-05
Cathode,Cathode,phot,22,phot,15.7301,1.274e-05
Cathode,Cathode,phot,22,phot,15.73,2.958e-05
Cathode,Cathode,phot,22,phot,15.73,2.566e-05
Cathode,Cathode,phot,22,phot,15.73,1.274e-05
Cathode,Cathode,phot,22,phot,15.73,1.291e-05
Cathode,Cathode,phot,22,phot,15.7301,2.565e-05
Cathode,Cathode,phot,22,phot,15.7301,1.274e-05
Cathode,Cathode,phot,22,phot,15.7302,3.84e-05
Cathode,Cathode,phot,22,phot,15.7302,2.565e-05
Cathode,Cathode,phot,22,phot,15.7297,5.89e-05
Cathode,Cathode,phot,22,phot,15.7297,2.565e-05
Cathode,Cathode,phot,22,phot,15.7297,2.565e-05
Cathode,Cathode,phot,22,phot,15.7297,1.274e-05
Cathode,Cathode,phot,22,phot,15.7297,1.274e-05
Cathode,Cathode,phot,22,phot,15.7297,5.096e-05
Cathode,Cathode,phot,22,phot,15.7297,6.37e-06
Cathode,Cathode,phot,22,phot,15.7297,1.283e-05
Cathode,Cathode,phot,22,phot,15.7297,1.274e-05
Cathode,Cathode,phot,22,phot,15.7297,1.291e-05
Cathode,Cathode,phot,22,phot,15.7297,1.291e-05
Cathode,Cathode,phot,22,phot,15.7297,2.565e-05
Cathode,Cathode,phot,22,phot,15.7297,2.565e-05
Cathode,Cathode,phot,22,phot,15.7297,6.387e-05
Cathode,Cathode,phot,22,phot,15.7297,1.274e-05
Cathode,Cathode,phot,22,phot,15.7297,6.46e-06
Cathode,Cathode,phot,22,phot,15.7297,1.274e-05
Cathode,Cathode,phot,22,phot,15.7297,1.929e-05
Cathode,Cathode,phot,22,phot,15.7297,1.283e-05
Cathode,Cathode,phot,22,phot,15.7296,3.856e-05
