Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
Primary SupportRod,nCapture,2112.000000,4.170523,-0.999585,-1.809468,0.000000,0.000000
Secondary SupportRod,ionIoni,1000290640.000000,4.170523,-0.999585,-1.809460,1.000000,0.000531
Secondary SupportRod,eIoni,-11.000000,4.170493,-0.999586,-1.809435,9.000000,0.000020
Secondary SupportRod,eIoni,-11.000000,4.170408,-0.999586,-1.809333,9.000000,0.000591
Secondary SupportRod,eIoni,-11.000000,4.170407,-0.999586,-1.809331,9.000000,0.000032
Secondary SupportRod,eIoni,-11.000000,4.170388,-0.999587,-1.809280,9.000000,0.000138
Secondary SupportRod,eIoni,-11.000000,4.170377,-0.999587,-1.809240,9.000000,0.000058
Secondary SupportRod,eIoni,-11.000000,4.170283,-0.999588,-1.808929,9.000000,0.000416
Secondary SupportRod,eIoni,-11.000000,4.170279,-0.999588,-1.808923,9.000000,0.000152
Secondary SupportRod,eIoni,-11.000000,4.170271,-0.999588,-1.808914,9.000000,0.000050
Secondary SupportRod,eIoni,-11.000000,4.170262,-0.999588,-1.808905,9.000000,0.000098
Secondary SupportRod,eIoni,-11.000000,4.170121,-0.999589,-1.808763,9.000000,0.000808
Secondary SupportRod,eIoni,-11.000000,4.170089,-0.999589,-1.808620,9.000000,0.000283
Secondary SupportRod,eIoni,-11.000000,4.170053,-0.999590,-1.808561,9.000000,0.000238
Secondary SupportRod,eIoni,-11.000000,4.170030,-0.999590,-1.808527,9.000000,0.000059
Secondary SupportRod,eIoni,-11.000000,4.170025,-0.999590,-1.808523,9.000000,0.000081
Secondary SupportRod,eIoni,-11.000000,4.170019,-0.999590,-1.808517,9.000000,0.000066
Secondary SupportRod,eIoni,-11.000000,4.169929,-0.999591,-1.808463,9.000000,0.000615
Secondary SupportRod,eIoni,-11.000000,4.169874,-0.999591,-1.808503,9.000000,0.000418
Secondary SupportRod,eIoni,-11.000000,4.169874,-0.999591,-1.808503,9.000000,0.000011
Secondary SupportRod,eIoni,-11.000000,4.169872,-0.999591,-1.808498,9.000000,0.000010
Secondary SupportRod,eIoni,-11.000000,4.169839,-0.999592,-1.808448,9.000000,0.000239
Secondary SupportRod,eIoni,-11.000000,4.169804,-0.999592,-1.808381,9.000000,0.000136
Secondary SupportRod,eIoni,-11.000000,4.169776,-0.999592,-1.808315,9.000000,0.000053
Secondary SupportRod,eIoni,-11.000000,4.169720,-0.999593,-1.808169,9.000000,0.000298
Secondary SupportRod,eIoni,-11.000000,4.169605,-0.999593,-1.807957,9.000000,0.000429
