Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Primary SupportRod,nCapture,2112.000000,13.729068,-0.999908,-0.158996,0.000000,0.000000
Secondary SupportRod,ionIoni,1000290640.000000,13.729068,-0.999908,-0.158996,1.000000,0.001369
Secondary SupportRod,ionIoni,1000280640.000000,13.729068,-0.999908,-0.158995,15.000000,0.000023
Secondary SupportRod,phot,22.000000,13.729002,-0.999908,-0.158455,22.000000,0.000030
Secondary SupportRod,phot,22.000000,13.729003,-0.999908,-0.158457,33.000000,0.000010
Secondary SupportRod,phot,22.000000,13.729002,-0.999908,-0.158453,33.000000,0.000010
Secondary SupportRod,phot,22.000000,13.729129,-0.999908,-0.158306,22.000000,0.000020
Secondary SupportRod,phot,22.000000,13.729129,-0.999908,-0.158305,40.000000,0.000010
Secondary SupportRod,phot,22.000000,13.729132,-0.999908,-0.158306,40.000000,0.000010
Secondary SupportRod,phot,22.000000,13.729130,-0.999908,-0.158310,40.000000,0.000020
Secondary SupportRod,phot,22.000000,13.729129,-0.999908,-0.158300,40.000000,0.000010
Secondary SupportRod,phot,22.000000,13.728912,-0.999908,-0.157649,22.000000,0.000010
Secondary SupportRod,phot,22.000000,13.728925,-0.999908,-0.157562,22.000000,0.000010
Secondary SupportRod,phot,22.000000,13.729059,-0.999908,-0.157510,22.000000,0.000020
Secondary SupportRod,phot,22.000000,13.729059,-0.999908,-0.157509,53.000000,0.000010
Secondary SupportRod,phot,22.000000,13.729030,-0.999908,-0.158815,22.000000,0.000020
Secondary SupportRod,phot,22.000000,13.729090,-0.999908,-0.159137,57.000000,0.000030
Secondary SupportRod,phot,22.000000,13.729089,-0.999908,-0.159136,60.000000,0.000010
Secondary SupportRod,phot,22.000000,13.729095,-0.999908,-0.159128,60.000000,0.000010
Secondary SupportRod,phot,22.000000,13.729199,-0.999908,-0.158271,22.000000,0.000020
Secondary SupportRod,phot,22.000000,13.729244,-0.999908,-0.157990,67.000000,0.000010
Secondary SupportRod,phot,22.000000,13.729246,-0.999908,-0.157990,67.000000,0.000030
Secondary SupportRod,phot,22.000000,13.729237,-0.999908,-0.157961,74.000000,0.000010
Secondary SupportRod,phot,22.000000,13.729238,-0.999908,-0.157918,74.000000,0.000010
Secondary SupportRod,phot,22.000000,13.729201,-0.999907,-0.157679,74.000000,0.000020
Secondary SupportRod,phot,22.000000,13.729202,-0.999907,-0.157686,82.000000,0.000000
Secondary SupportRod,phot,22.000000,13.729202,-0.999907,-0.157683,82.000000,0.000020
Secondary SupportRod,phot,22.000000,13.729313,-0.999908,-0.157707,67.000000,0.000010
