Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Primary Gas,neutronInelastic,2112.000000,14.462707,-0.552844,1.468701,0.000000,0.000000
Secondary Gas,ionIoni,1000060140.000000,14.459297,-0.552698,1.468059,1.000000,0.010050
Secondary Gas,ionIoni,1000060140.000000,14.460306,-0.552554,1.467471,1.000000,0.012879
Secondary Gas,ionIoni,1000060140.000000,14.462396,-0.552326,1.467150,1.000000,0.016099
Secondary Gas,ionIoni,1000060140.000000,14.462574,-0.552288,1.467114,1.000000,0.003054
Secondary Gas,ionIoni,1000070140.000000,14.462676,-0.552298,1.467140,3.000000,0.000003
Secondary Gas,hIoni,2212.000000,14.462897,-0.552849,1.468721,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.463444,-0.552865,1.468779,1.000000,0.000002
Secondary Gas,hIoni,2212.000000,14.463515,-0.552867,1.468787,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.463777,-0.552875,1.468814,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.464627,-0.552899,1.468904,1.000000,0.000298
Secondary Gas,hIoni,2212.000000,14.465919,-0.552936,1.469041,1.000000,0.000047
Secondary Gas,hIoni,2212.000000,14.466083,-0.552941,1.469058,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.466293,-0.552947,1.469081,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.466420,-0.552950,1.469094,1.000000,0.000052
Secondary Gas,hIoni,2212.000000,14.467263,-0.552974,1.469183,1.000000,0.000245
Secondary Gas,hIoni,2212.000000,14.467640,-0.552985,1.469223,1.000000,0.000256
Secondary Gas,hIoni,2212.000000,14.468161,-0.553000,1.469278,1.000000,0.000284
