Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Primary Gas,neutronInelastic,2112.000000,11.710054,0.153790,-1.747241,0.000000,0.000000
Secondary Gas,ionIoni,1000060140.000000,11.703145,0.153637,-1.746794,1.000000,0.015682
Secondary Gas,ionIoni,1000060140.000000,11.698053,0.153522,-1.746406,1.000000,0.013941
Secondary Gas,ionIoni,1000060140.000000,11.694200,0.153648,-1.746245,1.000000,0.009114
Secondary Gas,ionIoni,1000060140.000000,11.693396,0.153656,-1.746277,1.000000,0.003230
Secondary Gas,ionIoni,1000070140.000000,11.693302,0.153654,-1.746272,3.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.710256,0.153793,-1.747261,1.000000,0.000002
Secondary Gas,hIoni,2212.000000,11.712793,0.153839,-1.747522,1.000000,0.001876
Secondary Gas,hIoni,2212.000000,11.713532,0.153853,-1.747598,1.000000,0.000091
Secondary Gas,hIoni,2212.000000,11.714053,0.153862,-1.747652,1.000000,0.000041
Secondary Gas,hIoni,2212.000000,11.714760,0.153875,-1.747725,1.000000,0.000007
Secondary Gas,hIoni,2212.000000,11.715876,0.153895,-1.747840,1.000000,0.000085
Secondary Gas,hIoni,2212.000000,11.717357,0.153922,-1.747992,1.000000,0.000415
Secondary Gas,hIoni,2212.000000,11.718220,0.153937,-1.748081,1.000000,0.000425
Secondary Gas,hIoni,2212.000000,11.718289,0.153939,-1.748088,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,11.718940,0.153950,-1.748155,1.000000,0.000201
Secondary Gas,hIoni,2212.000000,11.719426,0.153959,-1.748205,1.000000,0.000040
Secondary Gas,hIoni,2212.000000,11.720992,0.153987,-1.748366,1.000000,0.000704
Secondary Gas,hIoni,2212.000000,11.722410,0.154012,-1.748511,1.000000,0.000159
Secondary Gas,hIoni,2212.000000,11.722805,0.154018,-1.748551,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.723883,0.154037,-1.748661,1.000000,0.000718
Secondary Gas,hIoni,2212.000000,11.724681,0.154050,-1.748743,1.000000,0.000022
Secondary Gas,hIoni,2212.000000,11.724742,0.154051,-1.748749,1.000000,0.000007
Secondary Gas,hIoni,2212.000000,11.726129,0.154074,-1.748890,1.000000,0.000199
Secondary Gas,hIoni,2212.000000,11.726340,0.154078,-1.748912,1.000000,0.000080
Secondary Gas,hIoni,2212.000000,11.727092,0.154090,-1.748988,1.000000,0.000490
Secondary Gas,hIoni,2212.000000,11.727649,0.154100,-1.749044,1.000000,0.000010
Secondary Gas,hIoni,2212.000000,11.727854,0.154103,-1.749065,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.728029,0.154106,-1.749083,1.000000,0.000003
