Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
Primary Gas,neutronInelastic,2112.000000,14.569867,0.061603,-0.807612,0.000000,0.000000
Secondary Gas,ionIoni,1000060140.000000,14.561318,0.061628,-0.807465,1.000000,0.013101
Secondary Gas,ionIoni,1000060140.000000,14.558872,0.061964,-0.807140,1.000000,0.006475
Secondary Gas,ionIoni,1000060140.000000,14.557111,0.062214,-0.806798,1.000000,0.009058
Secondary Gas,ionIoni,1000060140.000000,14.556726,0.062396,-0.806524,1.000000,0.013406
Secondary Gas,ionIoni,1000070140.000000,14.556827,0.062429,-0.806528,3.000000,0.000005
Secondary Gas,hIoni,2212.000000,14.570278,0.061607,-0.807614,1.000000,0.000261
Secondary Gas,hIoni,2212.000000,14.570427,0.061608,-0.807615,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.570447,0.061608,-0.807615,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.571254,0.061615,-0.807619,1.000000,0.000095
Secondary Gas,hIoni,2212.000000,14.571666,0.061619,-0.807621,1.000000,0.000003
Secondary Gas,hIoni,2212.000000,14.571690,0.061619,-0.807622,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.571917,0.061621,-0.807623,1.000000,0.000393
Secondary Gas,hIoni,2212.000000,14.575364,0.061651,-0.807641,1.000000,0.000197
Secondary Gas,hIoni,2212.000000,14.577727,0.061672,-0.807653,1.000000,0.000358
Secondary Gas,hIoni,2212.000000,14.579572,0.061688,-0.807662,1.000000,0.000093
Secondary Gas,hIoni,2212.000000,14.580225,0.061694,-0.807665,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.580859,0.061700,-0.807669,1.000000,0.000176
Secondary Gas,hIoni,2212.000000,14.580991,0.061701,-0.807669,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.584062,0.061729,-0.807685,1.000000,0.000395
Secondary Gas,hIoni,2212.000000,14.585468,0.061741,-0.807693,1.000000,0.000053
Secondary Gas,hIoni,2212.000000,14.586977,0.061755,-0.807700,1.000000,0.000003
Secondary Gas,hIoni,2212.000000,14.587832,0.061763,-0.807705,1.000000,0.000086
Secondary Gas,hIoni,2212.000000,14.588502,0.061769,-0.807709,1.000000,0.001068
Secondary Gas,hIoni,2212.000000,14.589627,0.061779,-0.807714,1.000000,0.000104
