Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
Primary Cathode,nCapture,2112.000000,15.816393,0.815633,-1.639567,0.000000,0.000000
Secondary Cathode,ionIoni,1000260570.000000,15.816393,0.815633,-1.639567,1.000000,0.000765
Secondary Cathode,conv,22.000000,15.427158,0.833919,-1.677134,1.000000,0.000000
Secondary Cathode,eIoni,-11.000000,15.427071,0.833923,-1.677144,4.000000,0.000536
Secondary Cathode,msc,-11.000000,15.427060,0.833923,-1.677145,4.000000,0.000168
Secondary Cathode,eIoni,-11.000000,15.427056,0.833923,-1.677146,4.000000,0.000000
Secondary Cathode,eIoni,-11.000000,15.427042,0.833924,-1.677147,4.000000,0.000071
Secondary Cathode,eIoni,-11.000000,15.427039,0.833924,-1.677148,4.000000,0.000000
Secondary Cathode,msc,-11.000000,15.427039,0.833924,-1.677148,4.000000,0.000003
Secondary Cathode,msc,-11.000000,15.427028,0.833925,-1.677149,4.000000,0.000104
Secondary Cathode,msc,-11.000000,15.427026,0.833925,-1.677149,4.000000,0.000008
Secondary Cathode,eIoni,-11.000000,15.427024,0.833925,-1.677149,4.000000,0.000009
Secondary Cathode,eIoni,-11.000000,15.426914,0.833930,-1.677162,4.000000,0.000594
Secondary Cathode,msc,-11.000000,15.426908,0.833930,-1.677162,4.000000,0.000024
Secondary Cathode,msc,-11.000000,15.426907,0.833930,-1.677163,4.000000,0.000006
Secondary Cathode,msc,-11.000000,15.426906,0.833930,-1.677163,4.000000,0.000007
Secondary Cathode,eIoni,-11.000000,15.426906,0.833930,-1.677163,4.000000,0.000000
Secondary Cathode,msc,-11.000000,15.426904,0.833930,-1.677163,4.000000,0.000009
Secondary Cathode,eIoni,-11.000000,15.426903,0.833930,-1.677163,4.000000,0.000003
Secondary Cathode,eIoni,-11.000000,15.426898,0.833930,-1.677164,4.000000,0.000116
Secondary Cathode,msc,-11.000000,15.426892,0.833931,-1.677164,4.000000,0.000066
Secondary Cathode,msc,-11.000000,15.426879,0.833931,-1.677166,4.000000,0.000023
Secondary Cathode,eIoni,-11.000000,15.426878,0.833931,-1.677166,4.000000,0.000004
Secondary Cathode,eIoni,-11.000000,15.426802,0.833934,-1.677174,4.000000,0.000605
Secondary Cathode,eIoni,-11.000000,15.426753,0.833936,-1.677178,4.000000,0.000117
Secondary Cathode,msc,-11.000000,15.426753,0.833936,-1.677178,4.000000,0.000001
Secondary Cathode,msc,-11.000000,15.426752,0.833936,-1.677178,4.000000,0.000003
Secondary Cathode,msc,-11.000000,15.426743,0.833937,-1.677179,4.000000,0.000005
Secondary Cathode,msc,-11.000000,15.426743,0.833937,-1.677179,4.000000,0.000000
Secondary Cathode,msc,-11.000000,15.426740,0.833937,-1.677180,4.000000,0.000083
Secondary Cathode,eIoni,-11.000000,15.426731,0.833937,-1.677180,4.000000,0.000043
Secondary Cathode,msc,-11.000000,15.426725,0.833937,-1.677181,4.000000,0.000010
Secondary Cathode,eIoni,-11.000000,15.426724,0.833937,-1.677181,4.000000,0.000030
Secondary Cathode,eIoni,-11.000000,15.426606,0.833942,-1.677193,4.000000,0.000589
Secondary Cathode,eIoni,-11.000000,15.426606,0.833942,-1.677193,4.000000,0.000004
Secondary Cathode,eIoni,-11.000000,15.426553,0.833945,-1.677198,4.000000,0.000018
Secondary Cathode,msc,-11.000000,15.426552,0.833945,-1.677198,4.000000,0.000005
Secondary Cathode,eIoni,-11.000000,15.426537,0.833945,-1.677200,4.000000,0.000193
Secondary Cathode,eIoni,-11.000000,15.426500,0.833947,-1.677203,4.000000,0.000052
Secondary Cathode,eIoni,-11.000000,15.426489,0.833947,-1.677204,4.000000,0.000116
Secondary Cathode,msc,-11.000000,15.426483,0.833948,-1.677205,4.000000,0.000028
Secondary Cathode,eIoni,-11.000000,15.426478,0.833948,-1.677205,4.000000,0.000000
Secondary Cathode,eIoni,-11.000000,15.426406,0.833951,-1.677212,4.000000,0.000276
Secondary Cathode,msc,-11.000000,15.426386,0.833952,-1.677214,4.000000,0.000054
Secondary Cathode,eIoni,-11.000000,15.426385,0.833952,-1.677214,4.000000,0.000121
Secondary Cathode,msc,-11.000000,15.426373,0.833952,-1.677215,4.000000,0.000023
