Volume, Process, Particle, Process, Radius, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Primary Cathode,nCapture,2112,15.8596,0,0
Secondary Cathode,ionIoni,1.00026e+09,15.8596,1,0.000773908
Secondary Cathode,compt,22,15.6996,1,8.431e-05
Secondary Cathode,phot,22,15.7145,13,2.548e-05
Secondary Cathode,phot,22,15.7145,13,2.565e-05
Secondary Cathode,phot,22,15.7145,56,1.283e-05
Secondary Cathode,phot,22,15.7145,59,1.274e-05
Secondary Cathode,phot,22,15.7145,56,1.274e-05
Secondary Cathode,phot,22,15.7145,55,2.565e-05
Secondary Cathode,phot,22,15.7144,13,1.283e-05
Secondary Cathode,phot,22,15.7144,67,1.274e-05
Secondary Cathode,phot,22,15.7144,70,1.291e-05
Secondary Cathode,phot,22,15.7145,13,5.71e-05
Secondary Cathode,phot,22,15.7145,76,1.291e-05
Secondary Cathode,phot,22,15.7145,75,1.274e-05
Secondary Cathode,phot,22,15.7145,75,1.274e-05
Secondary Cathode,phot,22,15.7146,74,1.274e-05
Secondary Cathode,phot,22,15.7146,74,2.565e-05
Secondary Cathode,phot,22,15.7147,95,2.565e-05
Secondary Cathode,phot,22,15.7147,95,3.873e-05
Secondary Cathode,phot,22,15.7147,102,1.291e-05
Secondary Cathode,phot,22,15.7147,105,1.492e-05
Secondary Cathode,phot,22,15.7147,107,1.274e-05
Secondary Cathode,phot,22,15.7147,109,1.274e-05
Secondary Cathode,phot,22,15.7147,101,1.274e-05
Secondary Cathode,phot,22,15.7146,74,1.291e-05
Secondary Cathode,phot,22,15.7146,74,2.566e-05
Secondary Cathode,phot,22,15.7146,116,1.283e-05
Secondary Cathode,phot,22,15.7146,116,1.291e-05
Secondary Cathode,phot,22,15.7146,116,1.283e-05
Secondary Cathode,phot,22,15.7146,115,2.548e-05
Secondary Cathode,phot,22,15.7146,129,1.274e-05
Secondary Cathode,phot,22,15.7146,129,2.044e-05
Secondary Cathode,phot,22,15.7146,133,2.565e-05
Secondary Cathode,phot,22,15.7146,136,1.274e-05
Secondary Cathode,phot,22,15.7146,136,1.274e-05
Secondary Cathode,phot,22,15.7146,128,2.566e-05
Secondary Cathode,phot,22,15.7147,145,3.301e-05
Secondary Cathode,phot,22,15.7146,74,1.291e-05
Secondary Cathode,phot,22,15.7146,74,1.274e-05
Secondary Cathode,phot,22,15.7141,73,1.274e-05
Secondary Cathode,phot,22,15.7141,157,3.839e-05
Secondary Cathode,phot,22,15.7142,73,6.421e-05
Secondary Cathode,phot,22,15.7142,163,2.565e-05
Secondary Cathode,phot,22,15.7142,163,2.565e-05
Secondary Cathode,phot,22,15.7142,162,1.274e-05
Secondary Cathode,phot,22,15.7142,162,2.565e-05
Secondary Cathode,phot,22,15.7142,176,2.548e-05
Secondary Cathode,phot,22,15.7294,13,5.113e-05
Secondary Cathode,phot,22,15.7294,183,2.932e-05
Secondary Cathode,phot,22,15.7294,188,1.274e-05
Secondary Cathode,phot,22,15.7294,183,6.37e-06
Secondary Cathode,phot,22,15.7294,48,5.883e-05
Secondary Cathode,phot,22,15.7294,194,1.274e-05
Secondary Cathode,phot,22,15.7294,194,1.291e-05
Secondary Cathode,phot,22,15.7293,193,2.565e-05
Secondary Cathode,phot,22,15.729,193,7.382e-05
Secondary Cathode,phot,22,15.729,208,6.46e-06
Secondary Cathode,phot,22,15.729,215,1.274e-05
Secondary Cathode,phot,22,15.729,208,6.46e-06
Secondary Cathode,phot,22,15.729,208,2.044e-05
Secondary Cathode,phot,22,15.729,219,2.582e-05
Secondary Cathode,phot,22,15.7293,207,6.37e-06
Secondary Cathode,phot,22,15.7293,207,0
Secondary Cathode,phot,22,15.7293,230,1.274e-05
Secondary Cathode,phot,22,15.7293,232,1.291e-05
Secondary Cathode,phot,22,15.7293,234,3.301e-05
Secondary Cathode,phot,22,15.7293,207,2.565e-05
Secondary Cathode,phot,22,15.7293,240,1.274e-05
Secondary Cathode,phot,22,15.7293,240,2.548e-05
Secondary Cathode,phot,22,15.7293,244,1.291e-05
Secondary Cathode,phot,22,15.7293,207,2.565e-05
Secondary Cathode,phot,22,15.7293,248,1.466e-05
Secondary Cathode,phot,22,15.7293,248,6.421e-05
Secondary Cathode,phot,22,15.7293,256,2.932e-05
Secondary Cathode,phot,22,15.7293,261,3.822e-05
Secondary Cathode,phot,22,15.7293,256,1.466e-05
Secondary Cathode,phot,22,15.7293,254,1.492e-05
Secondary Cathode,phot,22,15.7293,248,1.492e-05
Secondary Cathode,phot,22,15.7293,270,1.274e-05
Secondary Cathode,phot,22,15.7293,270,1.291e-05
Secondary Cathode,phot,22,15.7291,207,1.274e-05
Secondary Cathode,phot,22,15.7291,275,6.37e-06
Secondary Cathode,phot,22,15.7296,193,2.548e-05
Secondary Cathode,phot,22,15.7296,278,1.274e-05
Secondary Cathode,phot,22,15.7296,281,2.565e-05
Secondary Cathode,phot,22,15.7297,181,2.565e-05
Secondary Cathode,phot,22,15.7297,181,5.13e-05
Secondary Cathode,phot,22,15.7297,297,2.565e-05
Secondary Cathode,phot,22,15.7297,301,2.027e-05
Secondary Cathode,phot,22,15.7297,296,1.274e-05
Secondary Cathode,phot,22,15.7297,307,1.492e-05
Secondary Cathode,phot,22,15.7293,181,0.00010492
Secondary Cathode,phot,22,15.7293,313,1.87e-05
Secondary Cathode,phot,22,15.7293,313,3.741e-05
Secondary Cathode,phot,22,15.7293,312,1.291e-05
Secondary Cathode,phot,22,15.7293,312,2.582e-05
Secondary Cathode,phot,22,15.7295,311,5.883e-05
Secondary Cathode,phot,22,15.7295,343,6.37e-06
Secondary Cathode,phot,22,15.7295,343,2.027e-05
Secondary Cathode,phot,22,15.7295,342,2.565e-05
Secondary Cathode,phot,22,15.7295,311,1.274e-05
Secondary Cathode,phot,22,15.7295,311,2.548e-05
Secondary Cathode,phot,22,15.7295,356,1.274e-05
Secondary Cathode,phot,22,15.7295,356,2.565e-05
Secondary Cathode,phot,22,15.7296,311,1.274e-05
Secondary Cathode,phot,22,15.7295,311,1.274e-05
Secondary Cathode,phot,22,15.7291,311,2.565e-05
Secondary Cathode,phot,22,15.7291,365,3.839e-05
Secondary Cathode,phot,22,15.7291,365,1.929e-05
Secondary Cathode,phot,22,15.7291,374,2.565e-05
Secondary Cathode,phot,22,15.7291,374,1.274e-05
Secondary Cathode,phot,22,15.7291,373,3.839e-05
Secondary Cathode,phot,22,15.7291,383,1.274e-05
Secondary Cathode,phot,22,15.7291,373,3.856e-05
Secondary Cathode,phot,22,15.7291,388,1.274e-05
Secondary Cathode,phot,22,15.7291,392,1.274e-05
Secondary Cathode,phot,22,15.7291,392,1.492e-05
Secondary Cathode,phot,22,15.7291,365,1.274e-05
Secondary Cathode,phot,22,15.7291,397,1.291e-05
Secondary Cathode,phot,22,15.7294,311,1.274e-05
Secondary Cathode,phot,22,15.7294,400,1.274e-05
Secondary Cathode,phot,22,15.7294,311,1.291e-05
Secondary Cathode,phot,22,15.7294,311,1.274e-05
Secondary Cathode,phot,22,15.7293,311,3.839e-05
Secondary Cathode,phot,22,15.7293,406,3.839e-05
Secondary Cathode,phot,22,15.7293,310,1.274e-05
Secondary Cathode,phot,22,15.7293,415,1.274e-05
Secondary Cathode,phot,22,15.7293,310,1.274e-05
Secondary Cathode,phot,22,15.7301,181,5.113e-05
Secondary Cathode,phot,22,15.7301,421,1.274e-05
Secondary Cathode,phot,22,15.7301,425,1.291e-05
Secondary Cathode,phot,22,15.7302,181,2.565e-05
Secondary Cathode,phot,22,15.7302,428,1.291e-05
Secondary Cathode,phot,22,15.7302,428,1.274e-05
Secondary Cathode,phot,22,15.7302,433,1.291e-05
Secondary Cathode,phot,22,15.7304,181,3.839e-05
Secondary Cathode,phot,22,15.7304,438,1.291e-05
Secondary Cathode,phot,22,15.7304,438,1.274e-05
Secondary Cathode,phot,22,15.7304,437,1.274e-05
Secondary Cathode,phot,22,15.7304,437,2.565e-05
Secondary Cathode,phot,22,15.7306,181,1.274e-05
Secondary Cathode,phot,22,15.7306,450,1.466e-05
Secondary Cathode,phot,22,15.7306,181,6.421e-05
Secondary Cathode,phot,22,15.7306,455,1.274e-05
Secondary Cathode,phot,22,15.7306,460,1.274e-05
Secondary Cathode,phot,22,15.7306,455,1.283e-05
Secondary Cathode,phot,22,15.7306,463,2.565e-05
Secondary Cathode,phot,22,15.7306,453,3.822e-05
Secondary Cathode,phot,22,15.7306,469,1.492e-05
Secondary Cathode,phot,22,15.7314,181,5.113e-05
Secondary Cathode,phot,22,15.7314,475,3.335e-05
Secondary Cathode,phot,22,15.7314,479,1.291e-05
