Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Primary ,Gas,neutronInelastic,2112.000000,9.491037,0.286495,2.281513,0.000000,0.000000
Secondary ,Gas,phot,22.000000,9.547007,0.435816,2.330848,1.000000,0.000035
Secondary ,Gas,ionIoni,1000070140.000000,9.491068,0.286491,2.281509,1.000000,0.000283
Secondary ,Gas,ionIoni,1000070140.000000,9.491097,0.286487,2.281506,1.000000,0.000386
Secondary ,Gas,ionIoni,1000070140.000000,9.491114,0.286485,2.281505,1.000000,0.000132
Secondary ,Gas,ionIoni,1000070140.000000,9.491122,0.286484,2.281504,1.000000,0.000004
Secondary ,Gas,ionIoni,1000070140.000000,9.491126,0.286483,2.281503,1.000000,0.000004
Secondary ,Gas,ionIoni,1000070140.000000,9.491130,0.286483,2.281503,1.000000,0.000012
Secondary ,Gas,ionIoni,1000070140.000000,9.491160,0.286479,2.281500,1.000000,0.000245
Secondary ,Gas,ionIoni,1000070140.000000,9.491194,0.286474,2.281496,1.000000,0.000192
Secondary ,Gas,ionIoni,1000070140.000000,9.491207,0.286473,2.281495,1.000000,0.000020
Secondary ,Gas,ionIoni,1000070140.000000,9.491208,0.286472,2.281495,1.000000,0.000010
Secondary ,Gas,ionIoni,1000070140.000000,9.491225,0.286470,2.281493,1.000000,0.000042
Secondary ,Gas,ionIoni,1000070140.000000,9.491226,0.286470,2.281493,1.000000,0.000173
Secondary ,Gas,ionIoni,1000070140.000000,9.491248,0.286467,2.281490,1.000000,0.000350
Secondary ,Gas,ionIoni,1000070140.000000,9.491346,0.286454,2.281480,1.000000,0.000479
Secondary ,Gas,ionIoni,1000070140.000000,9.491358,0.286452,2.281479,1.000000,0.000013
Secondary ,Gas,ionIoni,1000070140.000000,9.491371,0.286450,2.281477,1.000000,0.000061
Secondary ,Gas,ionIoni,1000070140.000000,9.491405,0.286446,2.281474,1.000000,0.000392
Secondary ,Gas,ionIoni,1000070140.000000,9.491426,0.286443,2.281472,1.000000,0.000059
Secondary ,Gas,ionIoni,1000070140.000000,9.491430,0.286442,2.281471,1.000000,0.000001
Secondary ,Gas,ionIoni,1000070140.000000,9.491459,0.286438,2.281468,1.000000,0.000197
Secondary ,Gas,ionIoni,1000070140.000000,9.491459,0.286438,2.281468,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.491469,0.286437,2.281467,1.000000,0.000034
Secondary ,Gas,ionIoni,1000070140.000000,9.491474,0.286436,2.281466,1.000000,0.000001
Secondary ,Gas,ionIoni,1000070140.000000,9.491489,0.286435,2.281465,1.000000,0.000114
Secondary ,Gas,ionIoni,1000070140.000000,9.491534,0.286428,2.281460,1.000000,0.000414
Secondary ,Gas,ionIoni,1000070140.000000,9.491544,0.286427,2.281459,1.000000,0.000163
Secondary ,Gas,ionIoni,1000070140.000000,9.491545,0.286427,2.281459,1.000000,0.000001
Secondary ,Gas,ionIoni,1000070140.000000,9.491559,0.286425,2.281457,1.000000,0.000148
Secondary ,Gas,ionIoni,1000070140.000000,9.491563,0.286425,2.281457,1.000000,0.000021
Secondary ,Gas,ionIoni,1000070140.000000,9.491566,0.286424,2.281457,1.000000,0.000001
Secondary ,Gas,ionIoni,1000070140.000000,9.491574,0.286423,2.281456,1.000000,0.000066
Secondary ,Gas,ionIoni,1000070140.000000,9.491652,0.286413,2.281448,1.000000,0.000664
Secondary ,Gas,ionIoni,1000070140.000000,9.491658,0.286412,2.281447,1.000000,0.000002
Secondary ,Gas,ionIoni,1000070140.000000,9.491667,0.286411,2.281446,1.000000,0.000164
Secondary ,Gas,ionIoni,1000070140.000000,9.491704,0.286406,2.281442,1.000000,0.000200
Secondary ,Gas,ionIoni,1000070140.000000,9.491733,0.286402,2.281439,1.000000,0.000265
Secondary ,Gas,ionIoni,1000070140.000000,9.491803,0.286392,2.281432,1.000000,0.000213
Secondary ,Gas,ionIoni,1000070140.000000,9.491815,0.286391,2.281430,1.000000,0.000032
Secondary ,Gas,ionIoni,1000070140.000000,9.491816,0.286391,2.281430,1.000000,0.000000
