Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Primary ,Cathode,neutronInelastic,2112.000000,15.917280,0.574811,-3.060830,0.000000,0.000000
Secondary ,Cathode,ionIoni,1000260570.000000,15.917280,0.574810,-3.060830,1.000000,0.116406
Secondary ,Cathode,compt,22.000000,15.536717,0.551482,-3.040037,1.000000,0.000026
Secondary ,Cathode,compt,22.000000,15.566843,0.578850,-3.098948,1.000000,0.000009
Secondary ,Cathode,compt,22.000000,15.579604,0.580578,-3.099457,1.000000,0.000009
Secondary ,Cathode,compt,22.000000,15.178054,0.606180,2.969655,1.000000,0.000056
Secondary ,Cathode,compt,22.000000,15.171908,0.606518,2.969042,1.000000,0.000000
Secondary ,Cathode,compt,22.000000,15.223529,0.608808,3.014613,1.000000,0.000032
Secondary ,Cathode,phot,22.000000,15.319535,0.610653,3.011752,1.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.319534,0.610653,3.011753,22.000000,0.000020
Secondary ,Cathode,phot,22.000000,15.319534,0.610653,3.011752,22.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.319534,0.610653,3.011752,21.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.319884,0.610656,3.011757,20.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.319885,0.610656,3.011757,20.000000,0.000025
Secondary ,Cathode,phot,22.000000,15.319894,0.610657,3.011758,20.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.319897,0.610657,3.011757,44.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.319886,0.610657,3.011757,20.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.319889,0.610656,3.011757,47.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.319888,0.610656,3.011757,50.000000,0.000033
Secondary ,Cathode,phot,22.000000,15.319944,0.610652,3.011765,20.000000,0.000044
Secondary ,Cathode,phot,22.000000,15.319944,0.610652,3.011765,56.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.319944,0.610652,3.011765,56.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.319946,0.610652,3.011766,56.000000,0.000026
