 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.44707     
   1.7453      0.44684     
   3.4906      0.44706     
   5.2359      0.44738     
   6.9812      0.44755     
   8.7265      0.44702     
   10.472      0.44698     
   12.217      0.44737     
   13.962      0.44710     
   15.708      0.44649     
   17.453      0.44651     
   19.198      0.44706     
   20.944      0.44668     
   22.689      0.44590     
   24.434      0.44574     
   26.180      0.44638     
   27.925      0.44602     
   29.670      0.44514     
   31.416      0.44469     
   33.161      0.44516     
   34.906      0.44484     
   36.651      0.44391     
   38.397      0.44339     
   40.142      0.44327     
   41.887      0.44307     
   43.633      0.44253     
   45.378      0.44261     
   47.123      0.44313     
   48.869      0.44408     
   50.614      0.44230     
   52.359      0.44121     
   54.105      0.44151     
   55.850      0.44220     
   57.595      0.44210     
   59.340      0.44100     
   61.086      0.44030     
   62.831      0.44024     
   64.576      0.44072     
   66.322      0.44053     
   68.067      0.43934     
   69.812      0.43858     
   71.558      0.43824     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   73.303      0.43824     
   75.048      0.43791     
   76.794      0.43671     
   78.539      0.43594     
   80.284      0.43560     
   82.029      0.43569     
   83.775      0.43538     
   85.520      0.43419     
   87.265      0.43343     
   89.011      0.43311     
   90.756      0.43323     
   92.501      0.43274     
   94.247      0.43163     
   95.992      0.43096     
   97.737      0.43071     
   99.483      0.43070     
   101.23      0.42986     
   102.97      0.42902     
   104.72      0.42859     
   106.46      0.42858     
   108.21      0.42785     
   109.95      0.42698     
   111.70      0.42631     
   113.44      0.42604     
   115.19      0.42515     
   116.94      0.42421     
   118.68      0.42358     
   120.43      0.42328     
   122.17      0.42222     
   123.92      0.42098     
   125.66      0.42015     
   127.41      0.41958     
   129.15      0.41808     
   130.90      0.41694     
   132.64      0.41618     
   134.39      0.41577     
   136.13      0.41416     
   137.88      0.41341     
   139.62      0.41308     
   141.37      0.41238     
   143.12      0.41115     
   144.86      0.41033     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   146.61      0.40992     
   148.35      0.40874     
   150.10      0.40753     
   151.84      0.40679     
   153.59      0.40598     
   155.33      0.40430     
   157.08      0.40301     
   158.82      0.40218     
   160.57      0.40066     
   162.31      0.39919     
   164.06      0.39809     
   165.80      0.39678     
   167.55      0.39538     
   169.29      0.39451     
   171.04      0.39371     
   172.79      0.39206     
   174.53      0.39091     
   176.28      0.39011     
   178.02      0.38822     
   179.77      0.38678     
   181.51      0.38578     
   183.26      0.38383     
   185.00      0.38217     
   186.75      0.38087     
   188.49      0.37882     
   190.24      0.37742     
   191.98      0.37642     
   193.73      0.37453     
   195.47      0.37308     
   197.22      0.37186     
   198.97      0.36967     
   200.71      0.36800     
   202.46      0.36651     
   204.20      0.36430     
   205.95      0.36245     
   207.69      0.36057     
   209.44      0.35910     
   211.18      0.35709     
   212.93      0.35508     
   214.67      0.35341     
   216.42      0.35098     
   218.16      0.34891     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   219.91      0.34675     
   221.65      0.34472     
   223.40      0.34258     
   225.14      0.34060     
   226.89      0.33843     
   228.64      0.33583     
   230.38      0.33361     
   232.13      0.33114     
   233.87      0.32881     
   235.62      0.32642     
   237.36      0.32387     
   239.11      0.32120     
   240.85      0.31860     
   242.60      0.31629     
   244.34      0.31321     
   246.09      0.31064     
   247.83      0.30773     
   249.58      0.30476     
   251.32      0.30219     
   253.07      0.29896     
   254.81      0.29589     
   256.56      0.29309     
   258.31      0.28973     
   260.05      0.28652     
   261.80      0.28350     
   263.54      0.27997     
   265.29      0.27665     
   267.03      0.27332     
   268.78      0.26979     
   270.52      0.26642     
   272.27      0.26279     
   274.01      0.25921     
   275.76      0.25579     
   277.50      0.25221     
   279.25      0.24885     
   280.99      0.24540     
   282.74      0.24200     
   284.49      0.23907     
   286.23      0.23638     
   287.98      0.23405     
   289.72      0.23235     
   291.47      0.23152     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   293.21      0.23196     
   294.96      0.23416     
   296.70      0.23883     
   298.45      0.24708     
   300.19      0.26055     
   301.94      0.28153     
   303.68      0.31310     
   305.43      0.36407     
   307.17      0.44455     
   308.92      0.58403     
   310.66      0.88110     
   312.41     
   314.16     
