 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       67.085     
  0.87265E-001  66.982     
  0.17453       66.904     
  0.26180       66.881     
  0.34906       66.922     
  0.43633       67.026     
  0.52359       66.962     
  0.61086       66.854     
  0.69812       66.811     
  0.78539       66.832     
  0.87265       66.917     
  0.95992       67.067     
   1.0472       66.939     
   1.1344       66.842     
   1.2217       66.810     
   1.3090       66.843     
   1.3962       66.940     
   1.4835       67.102     
   1.5708       67.117     
   1.6580       66.974     
   1.7453       66.905     
   1.8326       66.898     
   1.9198       66.953     
   2.0071       67.072     
   2.0944       67.253     
   2.1816       67.285     
   2.2689       67.116     
   2.3562       67.012     
   2.4434       66.974     
   2.5307       67.009     
   2.6180       67.109     
   2.7052       67.266     
   2.7925       67.382     
   2.8798       67.162     
   2.9670       67.001     
   3.0543       66.897     
   3.1416       66.851     
   3.2288       66.863     
   3.3161       67.059     
   3.4033       67.370     
   3.4906       67.263     
   3.5779       67.131     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   3.6651       67.076     
   3.7524       67.101     
   3.8397       67.185     
   3.9269       67.329     
   4.0142       67.532     
   4.1015       67.372     
   4.1887       67.185     
   4.2760       67.053     
   4.3633       67.062     
   4.4505       67.212     
   4.5378       67.430     
   4.6251       67.716     
   4.7123       67.608     
   4.7996       67.479     
   4.8869       67.417     
   4.9741       67.443     
   5.0614       67.535     
   5.1487       67.685     
   5.2359       67.894     
   5.3232       67.768     
   5.4105       67.616     
   5.4977       67.524     
   5.5850       67.491     
   5.6722       67.518     
   5.7595       67.605     
   5.8468       67.750     
   5.9340       67.744     
   6.0213       67.667     
   6.1086       67.656     
   6.1958       67.711     
   6.2831       67.831     
   6.3704       68.016     
   6.4576       68.267     
   6.5449       68.345     
   6.6322       68.220     
   6.7194       68.161     
   6.8067       68.169     
   6.8940       68.247     
   6.9812       68.389     
   7.0685       68.588     
   7.1558       68.651     
   7.2430       68.495     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       68.397     
   7.4176       68.355     
   7.5048       68.484     
   7.5921       68.753     
   7.6794       69.091     
   7.7666       69.107     
   7.8539       69.052     
   7.9411       69.065     
   8.0284       69.163     
   8.1157       69.335     
   8.2029       69.567     
   8.2902       69.639     
   8.3775       69.534     
   8.4647       69.543     
   8.5520       69.753     
   8.6393       70.031     
   8.7265       70.377     
   8.8138       70.461     
   8.9011       70.451     
   8.9883       70.504     
   9.0756       70.621     
   9.1629       70.800     
   9.2501       71.092     
   9.3374       71.174     
   9.4247       71.371     
   9.5119       71.630     
   9.5992       71.951     
   9.6865       72.197     
   9.7737       72.231     
   9.8610       72.457     
   9.9483       72.839     
   10.036       73.289     
   10.123       73.543     
   10.210       73.710     
   10.297       73.942     
   10.385       74.267     
   10.472       74.886     
   10.559       75.160     
   10.646       75.498     
   10.734       75.907     
   10.821       76.425     
   10.908       76.824     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   10.995       77.363     
   11.083       77.972     
   11.170       78.651     
   11.257       79.272     
   11.344       79.742     
   11.432       80.451     
   11.519       81.342     
   11.606       82.247     
   11.694       82.965     
   11.781       83.758     
   11.868       84.748     
   11.955       86.021     
   12.043       87.180     
   12.130       88.382     
   12.217       89.666     
   12.304       91.028     
   12.392       92.513     
   12.479       94.451     
   12.566       96.405     
   12.653       98.449     
   12.741       100.55     
   12.828       102.75     
   12.915       105.56     
   13.003       108.46     
   13.090       111.55     
   13.177       115.27     
   13.264       119.09     
   13.352       123.72     
   13.439       128.57     
   13.526       134.43     
   13.613       140.67     
   13.701       148.27     
   13.788       156.58     
   13.875       166.00     
   13.962       177.36     
   14.050       190.25     
   14.137       205.49     
   14.224       223.80     
   14.312       245.61     
   14.399       271.79     
   14.486       302.00     
   14.573       338.00     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   14.661       381.70     
   14.748       433.71     
   14.835       495.60     
   14.922       571.00     
   15.010       660.13     
   15.097       774.06     
   15.184       921.84     
   15.271       1127.6     
   15.359       1435.3     
   15.446       1907.7     
   15.533       959.83     
   15.620       1791.7     
   15.708     
