 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       83.267     
  0.87265E-001  82.908     
  0.17453       82.623     
  0.26180       82.411     
  0.34906       82.272     
  0.43633       82.206     
  0.52359       82.213     
  0.61086       82.318     
  0.69812       82.619     
  0.78539       82.762     
  0.87265       82.520     
  0.95992       82.353     
   1.0472       82.263     
   1.1344       82.248     
   1.2217       82.308     
   1.3090       82.448     
   1.3962       82.699     
   1.4835       82.867     
   1.5708       82.719     
   1.6580       82.643     
   1.7453       82.638     
   1.8326       82.704     
   1.9198       82.744     
   2.0071       82.812     
   2.0944       82.967     
   2.1816       83.004     
   2.2689       83.023     
   2.3562       83.058     
   2.4434       82.850     
   2.5307       82.717     
   2.6180       82.660     
   2.7052       82.680     
   2.7925       82.670     
   2.8798       82.499     
   2.9670       82.394     
   3.0543       82.393     
   3.1416       82.525     
   3.2288       82.736     
   3.3161       82.962     
   3.4033       82.899     
   3.4906       82.911     
   3.5779       82.997     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   3.6651       83.158     
   3.7524       83.278     
   3.8397       83.425     
   3.9269       83.352     
   4.0142       83.349     
   4.1015       83.412     
   4.1887       83.483     
   4.2760       83.638     
   4.3633       83.727     
   4.4505       83.703     
   4.5378       83.728     
   4.6251       83.763     
   4.7123       83.877     
   4.7996       83.992     
   4.8869       83.883     
   4.9741       83.840     
   5.0614       83.890     
   5.1487       84.019     
   5.2359       84.226     
   5.3232       84.471     
   5.4105       84.365     
   5.4977       84.329     
   5.5850       84.405     
   5.6722       84.559     
   5.7595       84.792     
   5.8468       84.920     
   5.9340       84.846     
   6.0213       84.865     
   6.1086       85.005     
   6.1958       85.225     
   6.2831       85.523     
   6.3704       85.448     
   6.4576       85.429     
   6.5449       85.560     
   6.6322       85.784     
   6.7194       86.089     
   6.8067       86.004     
   6.8940       85.975     
   6.9812       86.029     
   7.0685       86.278     
   7.1558       86.611     
   7.2430       87.026     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       87.075     
   7.4176       87.059     
   7.5048       87.116     
   7.5921       87.340     
   7.6794       87.749     
   7.7666       88.069     
   7.8539       88.056     
   7.9411       88.119     
   8.0284       88.257     
   8.1157       88.558     
   8.2029       89.138     
   8.2902       89.218     
   8.3775       89.284     
   8.4647       89.430     
   8.5520       89.659     
   8.6393       89.967     
   8.7265       90.522     
   8.8138       90.652     
   8.9011       90.833     
   8.9883       91.104     
   9.0756       91.462     
   9.1629       91.907     
   9.2501       92.439     
   9.3374       93.056     
   9.4247       93.616     
   9.5119       93.957     
   9.5992       94.301     
   9.6865       94.733     
   9.7737       95.252     
   9.8610       95.857     
   9.9483       96.509     
   10.036       97.185     
   10.123       97.633     
   10.210       98.171     
   10.297       98.798     
   10.385       99.535     
   10.472       100.38     
   10.559       101.28     
   10.646       101.92     
   10.734       102.65     
   10.821       103.48     
   10.908       104.42     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   10.995       105.46     
   11.083       106.43     
   11.170       107.40     
   11.257       108.49     
   11.344       109.75     
   11.432       111.13     
   11.519       112.72     
   11.606       114.05     
   11.694       115.51     
   11.781       117.09     
   11.868       118.96     
   11.955       120.98     
   12.043       122.83     
   12.130       124.79     
   12.217       127.03     
   12.304       129.57     
   12.392       132.48     
   12.479       135.41     
   12.566       138.17     
   12.653       141.33     
   12.741       145.08     
   12.828       149.33     
   12.915       154.08     
   13.003       158.47     
   13.090       163.81     
   13.177       169.76     
   13.264       176.78     
   13.352       184.33     
   13.439       192.49     
   13.526       201.85     
   13.613       213.24     
   13.701       225.85     
   13.788       242.17     
   13.875       258.99     
   13.962       280.64     
   14.050       307.65     
   14.137       340.33     
   14.224       384.33     
   14.312       441.23     
   14.399       518.94     
   14.486       628.91     
   14.573       813.18     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   14.661       1119.3     
   14.748       1416.6     
   14.835       1562.5     
   14.922       1820.4     
   15.010       2423.4     
   15.097       2899.1     
   15.184       2809.3     
   15.271       3024.5     
   15.359       3592.1     
   15.446       4774.2     
   15.533       3112.2     
   15.620       4972.4     
   15.708     
