 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       361.57     
  0.34906E-001  360.42     
  0.69812E-001  359.60     
  0.10472       359.12     
  0.13962       358.97     
  0.17453       359.15     
  0.20944       359.79     
  0.24434       360.14     
  0.27925       359.26     
  0.31416       358.73     
  0.34906       358.51     
  0.38397       358.60     
  0.41887       359.00     
  0.45378       359.73     
  0.48869       359.97     
  0.52359       359.23     
  0.55850       358.86     
  0.59340       358.80     
  0.62831       359.06     
  0.66322       359.63     
  0.69812       359.64     
  0.73303       358.93     
  0.76794       358.52     
  0.80284       358.40     
  0.83775       358.81     
  0.87265       359.72     
  0.90756       359.21     
  0.94247       358.65     
  0.97737       358.43     
   1.0123       358.54     
   1.0472       358.99     
   1.0821       359.82     
   1.1170       359.32     
   1.1519       358.82     
   1.1868       358.65     
   1.2217       358.82     
   1.2566       359.39     
   1.2915       359.07     
   1.3264       358.88     
   1.3613       359.00     
   1.3962       359.43     
   1.4312       359.56     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   1.4661       359.15     
   1.5010       359.25     
   1.5359       359.68     
   1.5708       360.28     
   1.6057       359.38     
   1.6406       359.13     
   1.6755       359.73     
   1.7104       360.35     
   1.7453       359.54     
   1.7802       359.04     
   1.8151       359.04     
   1.8500       359.51     
   1.8849       359.00     
   1.9198       359.28     
   1.9547       359.86     
   1.9897       359.04     
   2.0246       358.89     
   2.0595       359.78     
   2.0944       360.10     
   2.1293       359.45     
   2.1642       359.15     
   2.1991       359.56     
   2.2340       358.82     
   2.2689       358.03     
   2.3038       358.67     
   2.3387       359.64     
   2.3736       360.02     
   2.4085       359.46     
   2.4434       359.23     
   2.4783       359.58     
   2.5132       360.26     
   2.5481       359.03     
   2.5831       357.91     
   2.6180       358.09     
   2.6529       359.28     
   2.6878       359.46     
   2.7227       358.60     
   2.7576       358.06     
   2.7925       357.84     
   2.8274       358.04     
   2.8623       358.15     
   2.8972       358.46     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   2.9321       359.06     
   2.9670       359.95     
   3.0019       359.15     
   3.0368       358.50     
   3.0717       359.37     
   3.1066       359.92     
   3.1416       359.11     
   3.1765       358.59     
   3.2114       358.37     
   3.2463       358.34     
   3.2812       358.61     
   3.3161       359.17     
   3.3510       360.03     
   3.3859       359.43     
   3.4208       358.84     
   3.4557       358.53     
   3.4906       358.50     
   3.5255       358.63     
   3.5604       359.04     
   3.5953       359.57     
   3.6302       359.20     
   3.6651       359.12     
   3.7001       359.37     
   3.7350       359.26     
   3.7699       358.98     
   3.8048       358.96     
   3.8397       358.99     
   3.8746       358.65     
   3.9095       358.54     
   3.9444       358.86     
   3.9793       359.01     
   4.0142       358.86     
   4.0491       358.97     
   4.0840       359.34     
   4.1189       359.28     
   4.1538       359.18     
   4.1887       359.43     
   4.2236       359.86     
   4.2585       360.00     
   4.2935       360.34     
   4.3284       360.88     
   4.3633       361.10     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   4.3982       361.47     
   4.4331       362.05     
   4.4680       362.40     
   4.5029       362.75     
   4.5378       363.35     
   4.5727       363.94     
   4.6076       364.36     
   4.6425       364.97     
   4.6774       365.71     
   4.7123       366.32     
   4.7472       367.11     
   4.7821       368.00     
   4.8170       368.91     
   4.8520       370.17     
   4.8869       371.72     
   4.9218       373.43     
   4.9567       375.24     
   4.9916       377.19     
   5.0265       379.53     
   5.0614       381.97     
   5.0963       384.63     
   5.1312       387.78     
   5.1661       391.06     
   5.2010       395.16     
   5.2359       399.67     
   5.2708       404.90     
   5.3057       410.40     
   5.3406       416.87     
   5.3755       424.39     
   5.4105       432.52     
   5.4454       441.94     
   5.4803       452.72     
   5.5152       464.89     
   5.5501       478.82     
   5.5850       494.75     
   5.6199       513.01     
   5.6548       533.99     
   5.6897       558.16     
   5.7246       586.13     
   5.7595       618.61     
   5.7944       656.54     
   5.8293       701.56     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   5.8642       755.09     
   5.8991       819.33     
   5.9340       897.45     
   5.9690       993.48     
   6.0039       1114.2     
   6.0388       895.81     
   6.0737       462.67     
   6.1086       543.64     
   6.1435       755.26     
   6.1784       829.50     
   6.2133     
   6.2482     
   6.2831     
