
 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       59.536     
  0.87265E-001  59.279     
  0.17453       59.075     
  0.26180       58.924     
  0.34906       58.824     
  0.43633       58.777     
  0.52359       58.783     
  0.61086       58.857     
  0.69812       59.073     
  0.78539       59.175     
  0.87265       59.001     
  0.95992       58.883     
   1.0472       58.818     
   1.1344       58.807     
   1.2217       58.850     
   1.3090       58.950     
   1.3962       59.130     
   1.4835       59.250     
   1.5708       59.144     
   1.6580       59.090     
   1.7453       59.086     
   1.8326       59.133     
   1.9198       59.162     
   2.0071       59.210     
   2.0944       59.322     
   2.1816       59.348     
   2.2689       59.361     
   2.3562       59.386     
   2.4434       59.237     
   2.5307       59.143     
   2.6180       59.102     
   2.7052       59.116     
   2.7925       59.109     
   2.8798       58.986     
   2.9670       58.912     
   3.0543       58.911     
   3.1416       59.005     
   3.2288       59.156     
   3.3161       59.318     
   3.4033       59.273     
   3.4906       59.281     
   3.5779       59.343     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   3.6651       59.458     
   3.7524       59.543     
   3.8397       59.649     
   3.9269       59.597     
   4.0142       59.595     
   4.1015       59.640     
   4.1887       59.691     
   4.2760       59.801     
   4.3633       59.865     
   4.4505       59.848     
   4.5378       59.866     
   4.6251       59.891     
   4.7123       59.972     
   4.7996       60.054     
   4.8869       59.976     
   4.9741       59.946     
   5.0614       59.981     
   5.1487       60.074     
   5.2359       60.222     
   5.3232       60.397     
   5.4105       60.321     
   5.4977       60.295     
   5.5850       60.349     
   5.6722       60.460     
   5.7595       60.627     
   5.8468       60.718     
   5.9340       60.665     
   6.0213       60.678     
   6.1086       60.779     
   6.1958       60.936     
   6.2831       61.149     
   6.3704       61.095     
   6.4576       61.081     
   6.5449       61.175     
   6.6322       61.336     
   6.7194       61.553     
   6.8067       61.493     
   6.8940       61.472     
   6.9812       61.510     
   7.0685       61.689     
   7.1558       61.927     
   7.2430       62.223     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       62.259     
   7.4176       62.247     
   7.5048       62.288     
   7.5921       62.448     
   7.6794       62.741     
   7.7666       62.969     
   7.8539       62.960     
   7.9411       63.005     
   8.0284       63.104     
   8.1157       63.319     
   8.2029       63.734     
   8.2902       63.791     
   8.3775       63.838     
   8.4647       63.943     
   8.5520       64.106     
   8.6393       64.326     
   8.7265       64.723     
   8.8138       64.816     
   8.9011       64.946     
   8.9883       65.139     
   9.0756       65.395     
   9.1629       65.713     
   9.2501       66.094     
   9.3374       66.535     
   9.4247       66.936     
   9.5119       67.180     
   9.5992       67.425     
   9.6865       67.734     
   9.7737       68.105     
   9.8610       68.538     
   9.9483       69.004     
   10.036       69.487     
   10.123       69.807     
   10.210       70.192     
   10.297       70.640     
   10.385       71.167     
   10.472       71.771     
   10.559       72.413     
   10.646       72.871     
   10.734       73.395     
   10.821       73.990     
   10.908       74.659     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   10.995       75.400     
   11.083       76.100     
   11.170       76.793     
   11.257       77.568     
   11.344       78.469     
   11.432       79.457     
   11.519       80.592     
   11.606       81.546     
   11.694       82.589     
   11.781       83.719     
   11.868       85.060     
   11.955       86.503     
   12.043       87.825     
   12.130       89.224     
   12.217       90.828     
   12.304       92.646     
   12.392       94.722     
   12.479       96.816     
   12.566       98.794     
   12.653       101.05     
   12.741       103.73     
   12.828       106.77     
   12.915       110.17     
   13.003       113.30     
   13.090       117.12     
   13.177       121.38     
   13.264       126.40     
   13.352       131.79     
   13.439       137.63     
   13.526       144.32     
   13.613       152.47     
   13.701       161.49     
   13.788       173.15     
   13.875       185.18     
   13.962       200.66     
   14.050       219.97     
   14.137       243.33     
   14.224       274.80     
   14.312       315.48     
   14.399       371.04     
   14.486       449.67     
   14.573       581.42     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   14.661       800.29     
   14.748       1012.9     
   14.835       1117.2     
   14.922       1301.6     
   15.010       1732.7     
   15.097       2072.8     
   15.184       2008.6     
   15.271       2162.6     
   15.359       2568.4     
   15.446       3413.5     
   15.533       2225.2     
   15.620       3555.3     
   15.708     
 
