 
 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.12749     
   1.7453      0.12718     
   3.4906      0.12703     
   5.2359      0.12703     
   6.9812      0.12718     
   8.7265      0.12741     
   10.472      0.12771     
   12.217      0.12809     
   13.962      0.12797     
   15.708      0.12746     
   17.453      0.12708     
   19.198      0.12683     
   20.944      0.12671     
   22.689      0.12680     
   24.434      0.12714     
   26.180      0.12757     
   27.925      0.12740     
   29.670      0.12681     
   31.416      0.12634     
   33.161      0.12598     
   34.906      0.12574     
   36.651      0.12562     
   38.397      0.12562     
   40.142      0.12590     
   41.887      0.12601     
   43.633      0.12542     
   45.378      0.12493     
   47.123      0.12460     
   48.869      0.12476     
   50.614      0.12506     
   52.359      0.12549     
   54.105      0.12606     
   55.850      0.12678     
   57.595      0.12650     
   59.340      0.12572     
   61.086      0.12507     
   62.831      0.12455     
   64.576      0.12416     
   66.322      0.12391     
   68.067      0.12379     
   69.812      0.12380     
   71.558      0.12394     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   73.303      0.12421     
   75.048      0.12381     
   76.794      0.12311     
   78.539      0.12254     
   80.284      0.12215     
   82.029      0.12196     
   83.775      0.12187     
   85.520      0.12188     
   87.265      0.12200     
   89.011      0.12220     
   90.756      0.12251     
   92.501      0.12218     
   94.247      0.12164     
   95.992      0.12119     
   97.737      0.12090     
   99.483      0.12075     
   101.23      0.12073     
   102.97      0.12085     
   104.72      0.12111     
   106.46      0.12150     
   108.21      0.12133     
   109.95      0.12083     
   111.70      0.12046     
   113.44      0.12021     
   115.19      0.12009     
   116.94      0.12009     
   118.68      0.12023     
   120.43      0.12048     
   122.17      0.12053     
   123.92      0.12005     
   125.66      0.11966     
   127.41      0.11935     
   129.15      0.11915     
   130.90      0.11907     
   132.64      0.11910     
   134.39      0.11925     
   136.13      0.11905     
   137.88      0.11843     
   139.62      0.11794     
   141.37      0.11760     
   143.12      0.11739     
   144.86      0.11728     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   146.61      0.11727     
   148.35      0.11726     
   150.10      0.11656     
   151.84      0.11597     
   153.59      0.11550     
   155.33      0.11515     
   157.08      0.11493     
   158.82      0.11482     
   160.57      0.11457     
   162.31      0.11387     
   164.06      0.11328     
   165.80      0.11279     
   167.55      0.11240     
   169.29      0.11213     
   171.04      0.11195     
   172.79      0.11140     
   174.53      0.11075     
   176.28      0.11040     
   178.02      0.11017     
   179.77      0.11006     
   181.51      0.11006     
   183.26      0.10972     
   185.00      0.10901     
   186.75      0.10854     
   188.49      0.10819     
   190.24      0.10794     
   191.98      0.10780     
   193.73      0.10718     
   195.47      0.10645     
   197.22      0.10582     
   198.97      0.10532     
   200.71      0.10505     
   202.46      0.10483     
   204.20      0.10399     
   205.95      0.10325     
   207.69      0.10261     
   209.44      0.10208     
   211.18      0.10163     
   212.93      0.10102     
   214.67      0.10052     
   216.42      0.10012     
   218.16      0.99834E-001
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   219.91      0.99236E-001
   221.65      0.98354E-001
   223.40      0.97744E-001
   225.14      0.97325E-001
   226.89      0.96945E-001
   228.64      0.95985E-001
   230.38      0.95127E-001
   232.13      0.94372E-001
   233.87      0.93775E-001
   235.62      0.92939E-001
   237.36      0.92293E-001
   239.11      0.91754E-001
   240.85      0.91324E-001
   242.60      0.90248E-001
   244.34      0.89229E-001
   246.09      0.88662E-001
   247.83      0.88039E-001
   249.58      0.87040E-001
   251.32      0.86170E-001
   253.07      0.85503E-001
   254.81      0.84532E-001
   256.56      0.83452E-001
   258.31      0.82679E-001
   260.05      0.81855E-001
   261.80      0.80889E-001
   263.54      0.80044E-001
   265.29      0.79097E-001
   267.03      0.78054E-001
   268.78      0.77100E-001
   270.52      0.75972E-001
   272.27      0.74926E-001
   274.01      0.74061E-001
   275.76      0.73004E-001
   277.50      0.72099E-001
   279.25      0.71085E-001
   280.99      0.70123E-001
   282.74      0.69155E-001
   284.49      0.68306E-001
   286.23      0.67465E-001
   287.98      0.66802E-001
   289.72      0.66322E-001
   291.47      0.66145E-001
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   293.21      0.66262E-001
   294.96      0.66929E-001
   296.70      0.68243E-001
   298.45      0.70584E-001
   300.19      0.74433E-001
   301.94      0.80247E-001
   303.68      0.89264E-001
   305.43      0.10370     
   307.17      0.12648     
   308.92      0.16690     
   310.66      0.25119     
   312.41      0.45065E-012
   314.16     
