 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       509.41     
  0.34906E-001  505.70     
  0.69812E-001  502.49     
  0.10472       499.78     
  0.13962       497.58     
  0.17453       495.89     
  0.20944       495.32     
  0.24434       495.15     
  0.27925       495.36     
  0.31416       495.96     
  0.34906       496.96     
  0.38397       498.35     
  0.41887       500.14     
  0.45378       502.32     
  0.48869       503.14     
  0.52359       501.00     
  0.55850       499.19     
  0.59340       497.77     
  0.62831       496.73     
  0.66322       496.09     
  0.69812       495.85     
  0.73303       496.00     
  0.76794       496.56     
  0.80284       497.53     
  0.83775       499.44     
  0.87265       502.26     
  0.90756       500.76     
  0.94247       498.55     
  0.97737       496.84     
   1.0123       495.95     
   1.0472       495.48     
   1.0821       495.41     
   1.1170       495.73     
   1.1519       496.45     
   1.1868       497.57     
   1.2217       499.09     
   1.2566       501.14     
   1.2915       500.45     
   1.3264       499.57     
   1.3613       499.10     
   1.3962       499.03     
   1.4312       499.39     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   1.4661       500.15     
   1.5010       501.34     
   1.5359       502.94     
   1.5708       503.57     
   1.6057       500.98     
   1.6406       499.93     
   1.6755       500.33     
   1.7104       501.19     
   1.7453       502.51     
   1.7802       504.30     
   1.8151       506.54     
   1.8500       506.42     
   1.8849       503.84     
   1.9198       501.65     
   1.9547       499.87     
   1.9897       498.49     
   2.0246       498.96     
   2.0595       502.68     
   2.0944       504.00     
   2.1293       502.28     
   2.1642       501.12     
   2.1991       501.50     
   2.2340       502.33     
   2.2689       503.55     
   2.3038       505.17     
   2.3387       507.17     
   2.3736       506.35     
   2.4085       503.09     
   2.4434       500.20     
   2.4783       497.69     
   2.5132       495.57     
   2.5481       493.83     
   2.5831       492.48     
   2.6180       495.97     
   2.6529       500.12     
   2.6878       500.39     
   2.7227       497.76     
   2.7576       495.64     
   2.7925       494.35     
   2.8274       495.63     
   2.8623       497.27     
   2.8972       499.25     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   2.9321       501.58     
   2.9670       499.64     
   3.0019       497.11     
   3.0368       496.22     
   3.0717       497.32     
   3.1066       498.86     
   3.1416       500.85     
   3.1765       503.28     
   3.2114       506.15     
   3.2463       506.76     
   3.2812       504.35     
   3.3161       502.34     
   3.3510       500.71     
   3.3859       499.48     
   3.4208       498.64     
   3.4557       499.53     
   3.4906       498.99     
   3.5255       498.93     
   3.5604       499.26     
   3.5953       499.99     
   3.6302       501.12     
   3.6651       502.64     
   3.7001       504.56     
   3.7350       504.67     
   3.7699       503.72     
   3.8048       503.18     
   3.8397       502.95     
   3.8746       502.94     
   3.9095       503.26     
   3.9444       503.90     
   3.9793       503.77     
   4.0142       503.69     
   4.0491       503.97     
   4.0840       504.62     
   4.1189       504.39     
   4.1538       504.13     
   4.1887       504.16     
   4.2236       504.40     
   4.2585       504.86     
   4.2935       505.65     
   4.3284       506.77     
   4.3633       506.53     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   4.3982       506.21     
   4.4331       506.16     
   4.4680       506.37     
   4.5029       507.07     
   4.5378       508.15     
   4.5727       508.78     
   4.6076       508.93     
   4.6425       509.35     
   4.6774       510.03     
   4.7123       510.96     
   4.7472       511.99     
   4.7821       512.94     
   4.8170       514.06     
   4.8520       515.42     
   4.8869       517.02     
   4.9218       519.39     
   4.9567       522.16     
   4.9916       525.45     
   5.0265       529.06     
   5.0614       532.86     
   5.0963       536.83     
   5.1312       540.98     
   5.1661       546.29     
   5.2010       552.11     
   5.2359       558.05     
   5.2708       564.49     
   5.3057       572.75     
   5.3406       581.58     
   5.3755       591.82     
   5.4105       604.00     
   5.4454       616.29     
   5.4803       631.69     
   5.5152       648.63     
   5.5501       667.95     
   5.5850       690.59     
   5.6199       716.11     
   5.6548       745.07     
   5.6897       779.95     
   5.7246       817.37     
   5.7595       864.76     
   5.7944       915.46     
   5.8293       980.14     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   5.8642       1053.0     
   5.8991       1143.0     
   5.9340       1252.8     
   5.9690       1382.7     
   6.0039       1334.6     
   6.0388       1199.4     
   6.0737       645.19     
   6.1086       754.14     
   6.1435       1041.7     
   6.1784       1139.5     
   6.2133     
   6.2482     
   6.2831     
