 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.26798     
   1.7453      0.26753     
   3.4906      0.26735     
   5.2359      0.26745     
   6.9812      0.26783     
   8.7265      0.26848     
   10.472      0.26916     
   12.217      0.26985     
   13.962      0.26961     
   15.708      0.26876     
   17.453      0.26817     
   19.198      0.26781     
   20.944      0.26771     
   22.689      0.26785     
   24.434      0.26832     
   26.180      0.26914     
   27.925      0.26883     
   29.670      0.26782     
   31.416      0.26705     
   33.161      0.26651     
   34.906      0.26620     
   36.651      0.26612     
   38.397      0.26627     
   40.142      0.26665     
   41.887      0.26650     
   43.633      0.26548     
   45.378      0.26525     
   47.123      0.26529     
   48.869      0.26560     
   50.614      0.26620     
   52.359      0.26707     
   54.105      0.26821     
   55.850      0.26964     
   57.595      0.26876     
   59.340      0.26732     
   61.086      0.26615     
   62.831      0.26526     
   64.576      0.26463     
   66.322      0.26428     
   68.067      0.26420     
   69.812      0.26440     
   71.558      0.26486     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   73.303      0.26560     
   75.048      0.26581     
   76.794      0.26466     
   78.539      0.26378     
   80.284      0.26319     
   82.029      0.26288     
   83.775      0.26285     
   85.520      0.26310     
   87.265      0.26363     
   89.011      0.26444     
   90.756      0.26519     
   92.501      0.26493     
   94.247      0.26385     
   95.992      0.26304     
   97.737      0.26250     
   99.483      0.26223     
   101.23      0.26223     
   102.97      0.26250     
   104.72      0.26304     
   106.46      0.26385     
   108.21      0.26359     
   109.95      0.26299     
   111.70      0.26237     
   113.44      0.26200     
   115.19      0.26188     
   116.94      0.26202     
   118.68      0.26241     
   120.43      0.26306     
   122.17      0.26311     
   123.92      0.26236     
   125.66      0.26190     
   127.41      0.26146     
   129.15      0.26124     
   130.90      0.26125     
   132.64      0.26149     
   134.39      0.26197     
   136.13      0.26148     
   137.88      0.26079     
   139.62      0.26037     
   141.37      0.26022     
   143.12      0.26013     
   144.86      0.26024     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   146.61      0.26056     
   148.35      0.26032     
   150.10      0.25920     
   151.84      0.25831     
   153.59      0.25766     
   155.33      0.25725     
   157.08      0.25707     
   158.82      0.25713     
   160.57      0.25648     
   162.31      0.25564     
   164.06      0.25501     
   165.80      0.25458     
   167.55      0.25437     
   169.29      0.25457     
   171.04      0.25523     
   172.79      0.25463     
   174.53      0.25429     
   176.28      0.25419     
   178.02      0.25432     
   179.77      0.25470     
   181.51      0.25532     
   183.26      0.25445     
   185.00      0.25381     
   186.75      0.25345     
   188.49      0.25334     
   190.24      0.25343     
   191.98      0.25306     
   193.73      0.25233     
   195.47      0.25182     
   197.22      0.25153     
   198.97      0.25147     
   200.71      0.25164     
   202.46      0.25096     
   204.20      0.25024     
   205.95      0.25020     
   207.69      0.25055     
   209.44      0.25084     
   211.18      0.25020     
   212.93      0.25004     
   214.67      0.25010     
   216.42      0.25038     
   218.16      0.25010     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   219.91      0.24946     
   221.65      0.24906     
   223.40      0.24906     
   225.14      0.24882     
   226.89      0.24813     
   228.64      0.24804     
   230.38      0.24850     
   232.13      0.24816     
   233.87      0.24790     
   235.62      0.24797     
   237.36      0.24826     
   239.11      0.24759     
   240.85      0.24709     
   242.60      0.24696     
   244.34      0.24658     
   246.09      0.24606     
   247.83      0.24625     
   249.58      0.24612     
   251.32      0.24567     
   253.07      0.24569     
   254.81      0.24546     
   256.56      0.24468     
   258.31      0.24408     
   260.05      0.24356     
   261.80      0.24317     
   263.54      0.24303     
   265.29      0.24197     
   267.03      0.24137     
   268.78      0.24078     
   270.52      0.23945     
   272.27      0.23827     
   274.01      0.23716     
   275.76      0.23622     
   277.50      0.23470     
   279.25      0.23242     
   280.99      0.23117     
   282.74      0.22884     
   284.49      0.22672     
   286.23      0.22395     
   287.98      0.22170     
   289.72      0.21825     
   291.47      0.21560     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   293.21      0.21253     
   294.96      0.20943     
   296.70      0.20721     
   298.45      0.20558     
   300.19      0.20676     
   301.94      0.21009     
   303.68      0.22004     
   305.43      0.24139     
   307.17      0.28499     
   308.92      0.36690     
   310.66      0.54848     
   312.41     
   314.16     
