 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       492.56     
  0.43633E-001  489.80     
  0.87265E-001  487.68     
  0.13090       487.68     
  0.17453       488.11     
  0.21816       488.98     
  0.26180       490.27     
  0.30543       492.00     
  0.34906       493.37     
  0.39269       491.46     
  0.43633       490.02     
  0.47996       489.06     
  0.52359       488.57     
  0.56722       488.55     
  0.61086       489.30     
  0.65449       490.49     
  0.69812       491.90     
  0.74176       489.89     
  0.78539       488.28     
  0.82902       487.08     
  0.87265       486.27     
  0.91629       485.88     
  0.95992       485.88     
   1.0036       487.03     
   1.0472       489.55     
   1.0908       490.05     
   1.1344       487.93     
   1.1781       486.30     
   1.2217       485.16     
   1.2653       484.51     
   1.3090       484.36     
   1.3526       484.70     
   1.3962       485.53     
   1.4399       486.86     
   1.4835       488.67     
   1.5271       491.41     
   1.5708       490.15     
   1.6144       487.37     
   1.6580       486.72     
   1.7017       486.50     
   1.7453       486.73     
   1.7889       487.40     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   1.8326       488.51     
   1.8762       490.06     
   1.9198       492.06     
   1.9635       494.49     
   2.0071       497.36     
   2.0507       495.03     
   2.0944       492.79     
   2.1380       491.02     
   2.1816       489.74     
   2.2253       488.93     
   2.2689       488.61     
   2.3125       489.47     
   2.3562       490.75     
   2.3998       491.03     
   2.4434       488.52     
   2.4871       486.37     
   2.5307       484.61     
   2.5743       483.22     
   2.6180       482.24     
   2.6616       484.77     
   2.7052       487.84     
   2.7489       489.45     
   2.7925       488.28     
   2.8361       487.86     
   2.8798       487.90     
   2.9234       488.40     
   2.9670       489.37     
   3.0107       490.79     
   3.0543       492.67     
   3.0979       495.01     
   3.1416       494.12     
   3.1852       493.02     
   3.2288       492.47     
   3.2725       492.28     
   3.3161       492.49     
   3.3597       493.11     
   3.4033       494.14     
   3.4470       495.57     
   3.4906       495.01     
   3.5342       494.09     
   3.5779       493.72     
   3.6215       493.59     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   3.6651       493.39     
   3.7088       493.57     
   3.7524       494.12     
   3.7960       494.65     
   3.8397       493.80     
   3.8833       493.45     
   3.9269       493.60     
   3.9706       493.54     
   4.0142       492.96     
   4.0578       492.75     
   4.1015       492.89     
   4.1451       492.91     
   4.1887       493.34     
   4.2324       494.26     
   4.2760       493.82     
   4.3196       492.75     
   4.3633       492.05     
   4.4069       491.77     
   4.4505       493.04     
   4.4942       494.83     
   4.5378       494.21     
   4.5814       493.13     
   4.6251       492.44     
   4.6687       492.13     
   4.7123       492.82     
   4.7560       493.73     
   4.7996       490.19     
   4.8432       487.09     
   4.8869       484.41     
   4.9305       486.89     
   4.9741       487.40     
   5.0178       487.57     
   5.0614       488.99     
   5.1050       490.80     
   5.1487       491.30     
   5.1923       489.26     
   5.2359       487.56     
   5.2796       486.26     
   5.3232       487.73     
   5.3668       484.61     
   5.4105       485.52     
   5.4541       487.19     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   5.4977       489.18     
   5.5414       488.99     
   5.5850       487.34     
   5.6286       485.98     
   5.6722       487.10     
   5.7159       485.59     
   5.7595       485.42     
   5.8031       486.57     
   5.8468       488.01     
   5.8904       487.25     
   5.9340       485.80     
   5.9777       484.62     
   6.0213       485.95     
   6.0649       485.39     
   6.1086       484.76     
   6.1522       484.35     
   6.1958       484.27     
   6.2395       484.60     
   6.2831       485.16     
   6.3267       485.94     
   6.3704       485.41     
   6.4140       486.48     
   6.4576       487.74     
   6.5013       488.06     
   6.5449       488.73     
   6.5885       490.73     
   6.6322       492.49     
   6.6758       494.34     
   6.7194       497.30     
   6.7631       500.90     
   6.8067       504.68     
   6.8503       510.04     
   6.8940       516.10     
   6.9376       523.53     
   6.9812       532.46     
   7.0249       543.69     
   7.0685       557.96     
   7.1121       572.79     
   7.1558       591.66     
   7.1994       616.08     
   7.2430       646.19     
   7.2867       678.72     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       724.98     
   7.3739       776.67     
   7.4176       841.39     
   7.4612       932.21     
   7.5048       1026.0     
   7.5485       1026.4     
   7.5921       989.71     
   7.6357       514.90     
   7.6794       619.92     
   7.7230       901.29     
   7.7666       1005.1     
   7.8102     
   7.8539     
