 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.78025     
  0.87265      0.77693     
   1.7453      0.77420     
   2.6180      0.77206     
   3.4906      0.77051     
   4.3633      0.76956     
   5.2359      0.76920     
   6.1086      0.76845     
   6.9812      0.76835     
   7.8539      0.76910     
   8.7265      0.77070     
   9.5992      0.77314     
   10.472      0.77642     
   11.344      0.77585     
   12.217      0.77442     
   13.090      0.77356     
   13.962      0.77328     
   14.835      0.77359     
   15.708      0.77149     
   16.580      0.76892     
   17.453      0.76715     
   18.326      0.76618     
   19.198      0.76602     
   20.071      0.76666     
   20.944      0.76810     
   21.816      0.76686     
   22.689      0.76615     
   23.562      0.76597     
   24.434      0.76346     
   25.307      0.76062     
   26.180      0.75845     
   27.052      0.75697     
   27.925      0.75618     
   28.798      0.75609     
   29.670      0.75669     
   30.543      0.75799     
   31.416      0.75978     
   32.288      0.75961     
   33.161      0.75818     
   34.033      0.75396     
   34.906      0.75034     
   35.779      0.74732     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   36.651      0.74491     
   37.524      0.74311     
   38.397      0.74193     
   39.269      0.74137     
   40.142      0.74143     
   41.015      0.74211     
   41.887      0.74340     
   42.760      0.74380     
   43.633      0.74281     
   44.505      0.74266     
   45.378      0.74336     
   46.251      0.74492     
   47.123      0.74733     
   47.996      0.75060     
   48.869      0.75471     
   49.741      0.75966     
   50.614      0.76545     
   51.487      0.77207     
   52.359      0.76645     
   53.232      0.75870     
   54.105      0.75197     
   54.977      0.74627     
   55.850      0.74161     
   56.722      0.74132     
   57.595      0.74368     
   58.468      0.74662     
   59.340      0.75013     
   60.213      0.75423     
   61.086      0.74853     
   61.958      0.74318     
   62.831      0.73837     
   63.704      0.73462     
   64.576      0.73680     
   65.449      0.73980     
   66.322      0.74362     
   67.194      0.74825     
   68.067      0.74653     
   68.940      0.74139     
   69.812      0.73696     
   70.685      0.73323     
   71.558      0.73021     
   72.430      0.72791     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   73.303      0.72891     
   74.176      0.72357     
   75.048      0.72312     
   75.921      0.72330     
   76.794      0.72412     
   77.666      0.72558     
   78.539      0.72768     
   79.411      0.72726     
   80.284      0.72261     
   81.157      0.71857     
   82.029      0.71515     
   82.902      0.71235     
   83.775      0.71450     
   84.647      0.71539     
   85.520      0.71018     
   86.393      0.70832     
   87.265      0.70862     
   88.138      0.70952     
   89.011      0.71103     
   89.883      0.71058     
   90.756      0.70569     
   91.629      0.70140     
   92.501      0.69771     
   93.374      0.69462     
   94.247      0.69572     
   95.119      0.69454     
   95.992      0.69036     
   96.865      0.69035     
   97.737      0.69095     
   98.610      0.69214     
   99.483      0.69394     
   100.36      0.69330     
   101.23      0.68846     
   102.10      0.68418     
   102.97      0.68047     
   103.85      0.67763     
   104.72      0.67735     
   105.59      0.67573     
   106.46      0.67247     
   107.34      0.66982     
   108.21      0.66779     
   109.08      0.66637     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   109.95      0.66478     
   110.83      0.66068     
   111.70      0.65804     
   112.57      0.65757     
   113.44      0.65760     
   114.32      0.65628     
   115.19      0.65410     
   116.06      0.65237     
   116.94      0.65116     
   117.81      0.64968     
   118.68      0.64803     
   119.55      0.64697     
   120.43      0.64621     
   121.30      0.64438     
   122.17      0.64301     
   123.04      0.64170     
   123.92      0.64020     
   124.79      0.63904     
   125.66      0.63903     
   126.53      0.63898     
   127.41      0.63939     
   128.28      0.64013     
   129.15      0.64068     
   130.03      0.64167     
   130.90      0.64328     
   131.77      0.64554     
   132.64      0.64866     
   133.52      0.65262     
   134.39      0.65689     
   135.26      0.66342     
   136.13      0.67008     
   137.01      0.67909     
   137.88      0.69021     
   138.75      0.70228     
   139.62      0.71886     
   140.50      0.73569     
   141.37      0.75987     
   142.24      0.78739     
   143.12      0.81847     
   143.99      0.86419     
   144.86      0.91416     
   145.73      0.97757     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   146.61       1.0671     
   147.48       1.1822     
   148.35       1.3351     
   149.22       1.5277     
   150.10       1.7996     
   150.97       2.1945     
   151.84       2.7627     
   152.71       3.5889     
   153.59       4.7773     
   154.46     
   155.33     
   156.20     
   157.08     
