 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.55788     
  0.87265      0.55550     
   1.7453      0.55355     
   2.6180      0.55202     
   3.4906      0.55091     
   4.3633      0.55023     
   5.2359      0.54998     
   6.1086      0.54944     
   6.9812      0.54937     
   7.8539      0.54991     
   8.7265      0.55105     
   9.5992      0.55279     
   10.472      0.55514     
   11.344      0.55474     
   12.217      0.55371     
   13.090      0.55310     
   13.962      0.55290     
   14.835      0.55312     
   15.708      0.55161     
   16.580      0.54978     
   17.453      0.54851     
   18.326      0.54782     
   19.198      0.54770     
   20.071      0.54816     
   20.944      0.54919     
   21.816      0.54831     
   22.689      0.54780     
   23.562      0.54767     
   24.434      0.54588     
   25.307      0.54384     
   26.180      0.54229     
   27.052      0.54123     
   27.925      0.54067     
   28.798      0.54060     
   29.670      0.54103     
   30.543      0.54196     
   31.416      0.54324     
   32.288      0.54312     
   33.161      0.54210     
   34.033      0.53908     
   34.906      0.53649     
   35.779      0.53433     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   36.651      0.53261     
   37.524      0.53133     
   38.397      0.53048     
   39.269      0.53008     
   40.142      0.53012     
   41.015      0.53061     
   41.887      0.53153     
   42.760      0.53182     
   43.633      0.53111     
   44.505      0.53100     
   45.378      0.53150     
   46.251      0.53262     
   47.123      0.53434     
   47.996      0.53668     
   48.869      0.53962     
   49.741      0.54316     
   50.614      0.54730     
   51.487      0.55203     
   52.359      0.54801     
   53.232      0.54247     
   54.105      0.53766     
   54.977      0.53359     
   55.850      0.53025     
   56.722      0.53004     
   57.595      0.53173     
   58.468      0.53383     
   59.340      0.53634     
   60.213      0.53927     
   61.086      0.53520     
   61.958      0.53137     
   62.831      0.52793     
   63.704      0.52525     
   64.576      0.52681     
   65.449      0.52896     
   66.322      0.53169     
   67.194      0.53500     
   68.067      0.53377     
   68.940      0.53010     
   69.812      0.52692     
   70.685      0.52426     
   71.558      0.52210     
   72.430      0.52045     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   73.303      0.52117     
   74.176      0.51735     
   75.048      0.51703     
   75.921      0.51716     
   76.794      0.51774     
   77.666      0.51879     
   78.539      0.52029     
   79.411      0.51999     
   80.284      0.51666     
   81.157      0.51378     
   82.029      0.51133     
   82.902      0.50933     
   83.775      0.51086     
   84.647      0.51150     
   85.520      0.50778     
   86.393      0.50645     
   87.265      0.50666     
   88.138      0.50731     
   89.011      0.50839     
   89.883      0.50806     
   90.756      0.50457     
   91.629      0.50150     
   92.501      0.49886     
   93.374      0.49665     
   94.247      0.49744     
   95.119      0.49659     
   95.992      0.49361     
   96.865      0.49360     
   97.737      0.49403     
   98.610      0.49488     
   99.483      0.49617     
   100.36      0.49571     
   101.23      0.49225     
   102.10      0.48919     
   102.97      0.48654     
   103.85      0.48450     
   104.72      0.48430     
   105.59      0.48315     
   106.46      0.48081     
   107.34      0.47892     
   108.21      0.47747     
   109.08      0.47646     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   109.95      0.47532     
   110.83      0.47239     
   111.70      0.47050     
   112.57      0.47016     
   113.44      0.47019     
   114.32      0.46925     
   115.19      0.46769     
   116.06      0.46645     
   116.94      0.46558     
   117.81      0.46453     
   118.68      0.46335     
   119.55      0.46259     
   120.43      0.46205     
   121.30      0.46074     
   122.17      0.45976     
   123.04      0.45882     
   123.92      0.45776     
   124.79      0.45693     
   125.66      0.45692     
   126.53      0.45689     
   127.41      0.45718     
   128.28      0.45771     
   129.15      0.45810     
   130.03      0.45881     
   130.90      0.45996     
   131.77      0.46158     
   132.64      0.46381     
   133.52      0.46665     
   134.39      0.46970     
   135.26      0.47438     
   136.13      0.47914     
   137.01      0.48558     
   137.88      0.49354     
   138.75      0.50217     
   139.62      0.51403     
   140.50      0.52606     
   141.37      0.54336     
   142.24      0.56304     
   143.12      0.58527     
   143.99      0.61797     
   144.86      0.65370     
   145.73      0.69905     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   146.61      0.76309     
   147.48      0.84539     
   148.35      0.95477     
   149.22       1.0925     
   150.10       1.2869     
   150.97       1.5693     
   151.84       1.9757     
   152.71       2.5665     
   153.59       3.4164     
   154.46     
   155.33     
   156.20     
   157.08     
