 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.25452     
   1.7453      0.25408     
   3.4906      0.25390     
   5.2359      0.25399     
   6.9812      0.25435     
   8.7265      0.25498     
   10.472      0.25563     
   12.217      0.25628     
   13.962      0.25604     
   15.708      0.25519     
   17.453      0.25459     
   19.198      0.25422     
   20.944      0.25409     
   22.689      0.25419     
   24.434      0.25462     
   26.180      0.25539     
   27.925      0.25505     
   29.670      0.25404     
   31.416      0.25324     
   33.161      0.25267     
   34.906      0.25232     
   36.651      0.25220     
   38.397      0.25229     
   40.142      0.25261     
   41.887      0.25241     
   43.633      0.25137     
   45.378      0.25107     
   47.123      0.25104     
   48.869      0.25127     
   50.614      0.25177     
   52.359      0.25254     
   54.105      0.25357     
   55.850      0.25487     
   57.595      0.25393     
   59.340      0.25246     
   61.086      0.25124     
   62.831      0.25029     
   64.576      0.24959     
   66.322      0.24916     
   68.067      0.24899     
   69.812      0.24908     
   71.558      0.24943     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   73.303      0.25006     
   75.048      0.25010     
   76.794      0.24888     
   78.539      0.24792     
   80.284      0.24724     
   82.029      0.24683     
   83.775      0.24668     
   85.520      0.24681     
   87.265      0.24720     
   89.011      0.24786     
   90.756      0.24835     
   92.501      0.24787     
   94.247      0.24663     
   95.992      0.24565     
   97.737      0.24492     
   99.483      0.24445     
   101.23      0.24424     
   102.97      0.24429     
   104.72      0.24459     
   106.46      0.24516     
   108.21      0.24517     
   109.95      0.24466     
   111.70      0.24407     
   113.44      0.24371     
   115.19      0.24360     
   116.94      0.24372     
   118.68      0.24409     
   120.43      0.24469     
   122.17      0.24328     
   123.92      0.24212     
   125.66      0.24125     
   127.41      0.24059     
   129.15      0.24013     
   130.90      0.23989     
   132.64      0.23986     
   134.39      0.24005     
   136.13      0.23906     
   137.88      0.23805     
   139.62      0.23730     
   141.37      0.23681     
   143.12      0.23643     
   144.86      0.23622     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   146.61      0.23621     
   148.35      0.23535     
   150.10      0.23392     
   151.84      0.23271     
   153.59      0.23173     
   155.33      0.23097     
   157.08      0.23045     
   158.82      0.23020     
   160.57      0.22903     
   162.31      0.22772     
   164.06      0.22661     
   165.80      0.22570     
   167.55      0.22526     
   169.29      0.22536     
   171.04      0.22540     
   172.79      0.22416     
   174.53      0.22325     
   176.28      0.22257     
   178.02      0.22212     
   179.77      0.22189     
   181.51      0.22189     
   183.26      0.22057     
   185.00      0.21918     
   186.75      0.21815     
   188.49      0.21749     
   190.24      0.21702     
   191.98      0.21676     
   193.73      0.21526     
   195.47      0.21378     
   197.22      0.21253     
   198.97      0.21149     
   200.71      0.21081     
   202.46      0.20986     
   204.20      0.20825     
   205.95      0.20698     
   207.69      0.20643     
   209.44      0.20612     
   211.18      0.20474     
   212.93      0.20318     
   214.67      0.20220     
   216.42      0.20141     
   218.16      0.20083     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   219.91      0.19935     
   221.65      0.19769     
   223.40      0.19624     
   225.14      0.19534     
   226.89      0.19394     
   228.64      0.19217     
   230.38      0.19090     
   232.13      0.19007     
   233.87      0.18858     
   235.62      0.18678     
   237.36      0.18564     
   239.11      0.18462     
   240.85      0.18266     
   242.60      0.18091     
   244.34      0.17935     
   246.09      0.17786     
   247.83      0.17640     
   249.58      0.17516     
   251.32      0.17351     
   253.07      0.17143     
   254.81      0.16956     
   256.56      0.16780     
   258.31      0.16609     
   260.05      0.16460     
   261.80      0.16249     
   263.54      0.16040     
   265.29      0.15867     
   267.03      0.15663     
   268.78      0.15492     
   270.52      0.15280     
   272.27      0.15052     
   274.01      0.14887     
   275.76      0.14656     
   277.50      0.14479     
   279.25      0.14257     
   280.99      0.14068     
   282.74      0.13897     
   284.49      0.13706     
   286.23      0.13566     
   287.98      0.13415     
   289.72      0.13335     
   291.47      0.13279     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   293.21      0.13313     
   294.96      0.13433     
   296.70      0.13703     
   298.45      0.14185     
   300.19      0.14903     
   301.94      0.16174     
   303.68      0.17958     
   305.43      0.20864     
   307.17      0.25511     
   308.92      0.33592     
   310.66      0.50571     
   312.41      0.94245E-012
   314.16     
