 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       493.61     
  0.43633E-001  490.84     
  0.87265E-001  488.69     
  0.13090       488.68     
  0.17453       489.10     
  0.21816       489.96     
  0.26180       491.26     
  0.30543       492.98     
  0.34906       494.67     
  0.39269       492.71     
  0.43633       491.23     
  0.47996       490.21     
  0.52359       489.68     
  0.56722       489.61     
  0.61086       490.24     
  0.65449       491.36     
  0.69812       492.87     
  0.74176       490.91     
  0.78539       489.11     
  0.82902       487.70     
  0.87265       486.69     
  0.91629       486.07     
  0.95992       487.14     
   1.0036       489.21     
   1.0472       491.80     
   1.0908       492.13     
   1.1344       490.86     
   1.1781       489.33     
   1.2217       488.27     
   1.2653       487.69     
   1.3090       487.58     
   1.3526       487.94     
   1.3962       488.77     
   1.4399       490.07     
   1.4835       492.05     
   1.5271       494.91     
   1.5708       493.93     
   1.6144       490.69     
   1.6580       488.37     
   1.7017       488.16     
   1.7453       488.37     
   1.7889       489.00     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   1.8326       490.05     
   1.8762       491.53     
   1.9198       493.42     
   1.9635       495.73     
   2.0071       498.47     
   2.0507       496.08     
   2.0944       493.72     
   2.1380       491.82     
   2.1816       490.37     
   2.2253       489.38     
   2.2689       488.85     
   2.3125       488.77     
   2.3562       489.75     
   2.3998       490.31     
   2.4434       487.72     
   2.4871       485.48     
   2.5307       483.60     
   2.5743       482.76     
   2.6180       484.35     
   2.6616       486.46     
   2.7052       489.10     
   2.7489       492.26     
   2.7925       491.53     
   2.8361       490.65     
   2.8798       490.53     
   2.9234       490.86     
   2.9670       491.63     
   3.0107       492.85     
   3.0543       494.51     
   3.0979       496.61     
   3.1416       495.44     
   3.1852       494.22     
   3.2288       493.59     
   3.2725       493.45     
   3.3161       493.70     
   3.3597       494.34     
   3.4033       495.37     
   3.4470       496.79     
   3.4906       495.72     
   3.5342       494.82     
   3.5779       494.45     
   3.6215       494.51     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   3.6651       494.25     
   3.7088       494.34     
   3.7524       494.79     
   3.7960       494.77     
   3.8397       494.05     
   3.8833       493.82     
   3.9269       494.07     
   3.9706       494.11     
   4.0142       493.73     
   4.0578       493.70     
   4.1015       493.88     
   4.1451       493.78     
   4.1887       494.16     
   4.2324       495.01     
   4.2760       494.88     
   4.3196       493.90     
   4.3633       493.26     
   4.4069       493.18     
   4.4505       493.94     
   4.4942       495.20     
   4.5378       495.13     
   4.5814       493.67     
   4.6251       492.58     
   4.6687       491.87     
   4.7123       493.08     
   4.7560       494.61     
   4.7996       491.33     
   4.8432       488.47     
   4.8869       486.05     
   4.9305       486.28     
   4.9741       486.75     
   5.0178       488.08     
   5.0614       489.78     
   5.1050       491.87     
   5.1487       492.47     
   5.1923       490.33     
   5.2359       488.53     
   5.2796       487.75     
   5.3232       489.21     
   5.3668       486.00     
   5.4105       486.58     
   5.4541       488.36     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   5.4977       490.46     
   5.5414       489.97     
   5.5850       488.30     
   5.6286       486.92     
   5.6722       488.12     
   5.7159       486.37     
   5.7595       486.50     
   5.8031       487.70     
   5.8468       489.19     
   5.8904       488.40     
   5.9340       486.86     
   5.9777       485.59     
   6.0213       486.89     
   6.0649       486.40     
   6.1086       485.78     
   6.1522       485.38     
   6.1958       485.29     
   6.2395       485.64     
   6.2831       486.21     
   6.3267       487.00     
   6.3704       486.42     
   6.4140       487.23     
   6.4576       488.41     
   6.5013       489.35     
   6.5449       489.61     
   6.5885       491.76     
   6.6322       493.72     
   6.6758       495.69     
   6.7194       498.10     
   6.7631       501.87     
   6.8067       505.86     
   6.8503       511.01     
   6.8940       517.16     
   6.9376       524.35     
   6.9812       533.70     
   7.0249       544.70     
   7.0685       558.65     
   7.1121       573.19     
   7.1558       593.93     
   7.1994       617.77     
   7.2430       646.90     
   7.2867       680.32     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       726.81     
   7.3739       779.11     
   7.4176       840.12     
   7.4612       934.48     
   7.5048       1032.8     
   7.5485       1046.0     
   7.5921       997.61     
   7.6357       515.95     
   7.6794       621.13     
   7.7230       902.98     
   7.7666       1006.9     
   7.8102     
   7.8539     
