 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.17831     
   1.7453      0.17788     
   3.4906      0.17766     
   5.2359      0.17766     
   6.9812      0.17788     
   8.7265      0.17820     
   10.472      0.17861     
   12.217      0.17915     
   13.962      0.17897     
   15.708      0.17826     
   17.453      0.17773     
   19.198      0.17738     
   20.944      0.17721     
   22.689      0.17734     
   24.434      0.17781     
   26.180      0.17841     
   27.925      0.17818     
   29.670      0.17735     
   31.416      0.17669     
   33.161      0.17620     
   34.906      0.17587     
   36.651      0.17570     
   38.397      0.17569     
   40.142      0.17609     
   41.887      0.17624     
   43.633      0.17542     
   45.378      0.17473     
   47.123      0.17427     
   48.869      0.17449     
   50.614      0.17490     
   52.359      0.17551     
   54.105      0.17631     
   55.850      0.17731     
   57.595      0.17693     
   59.340      0.17583     
   61.086      0.17492     
   62.831      0.17419     
   64.576      0.17365     
   66.322      0.17330     
   68.067      0.17313     
   69.812      0.17314     
   71.558      0.17334     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   73.303      0.17372     
   75.048      0.17316     
   76.794      0.17217     
   78.539      0.17138     
   80.284      0.17084     
   82.029      0.17058     
   83.775      0.17045     
   85.520      0.17047     
   87.265      0.17062     
   89.011      0.17092     
   90.756      0.17135     
   92.501      0.17089     
   94.247      0.17013     
   95.992      0.16950     
   97.737      0.16909     
   99.483      0.16888     
   101.23      0.16885     
   102.97      0.16902     
   104.72      0.16938     
   106.46      0.16993     
   108.21      0.16969     
   109.95      0.16900     
   111.70      0.16847     
   113.44      0.16813     
   115.19      0.16796     
   116.94      0.16796     
   118.68      0.16815     
   120.43      0.16851     
   122.17      0.16858     
   123.92      0.16791     
   125.66      0.16736     
   127.41      0.16693     
   129.15      0.16665     
   130.90      0.16653     
   132.64      0.16658     
   134.39      0.16678     
   136.13      0.16650     
   137.88      0.16564     
   139.62      0.16496     
   141.37      0.16448     
   143.12      0.16418     
   144.86      0.16402     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   146.61      0.16401     
   148.35      0.16401     
   150.10      0.16302     
   151.84      0.16219     
   153.59      0.16154     
   155.33      0.16104     
   157.08      0.16073     
   158.82      0.16058     
   160.57      0.16024     
   162.31      0.15926     
   164.06      0.15843     
   165.80      0.15775     
   167.55      0.15721     
   169.29      0.15682     
   171.04      0.15658     
   172.79      0.15580     
   174.53      0.15490     
   176.28      0.15441     
   178.02      0.15408     
   179.77      0.15392     
   181.51      0.15393     
   183.26      0.15345     
   185.00      0.15246     
   186.75      0.15180     
   188.49      0.15131     
   190.24      0.15097     
   191.98      0.15077     
   193.73      0.14991     
   195.47      0.14887     
   197.22      0.14800     
   198.97      0.14731     
   200.71      0.14692     
   202.46      0.14662     
   204.20      0.14544     
   205.95      0.14441     
   207.69      0.14351     
   209.44      0.14276     
   211.18      0.14214     
   212.93      0.14129     
   214.67      0.14058     
   216.42      0.14003     
   218.16      0.13963     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   219.91      0.13879     
   221.65      0.13756     
   223.40      0.13670     
   225.14      0.13612     
   226.89      0.13559     
   228.64      0.13425     
   230.38      0.13304     
   232.13      0.13199     
   233.87      0.13115     
   235.62      0.12998     
   237.36      0.12908     
   239.11      0.12833     
   240.85      0.12773     
   242.60      0.12622     
   244.34      0.12480     
   246.09      0.12400     
   247.83      0.12313     
   249.58      0.12173     
   251.32      0.12052     
   253.07      0.11958     
   254.81      0.11823     
   256.56      0.11672     
   258.31      0.11563     
   260.05      0.11448     
   261.80      0.11313     
   263.54      0.11195     
   265.29      0.11063     
   267.03      0.10917     
   268.78      0.10783     
   270.52      0.10625     
   272.27      0.10479     
   274.01      0.10358     
   275.76      0.10210     
   277.50      0.10084     
   279.25      0.99419E-001
   280.99      0.98074E-001
   282.74      0.96721E-001
   284.49      0.95533E-001
   286.23      0.94356E-001
   287.98      0.93429E-001
   289.72      0.92758E-001
   291.47      0.92510E-001
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   293.21      0.92673E-001
   294.96      0.93606E-001
   296.70      0.95445E-001
   298.45      0.98719E-001
   300.19      0.10410     
   301.94      0.11223     
   303.68      0.12484     
   305.43      0.14503     
   307.17      0.17690     
   308.92      0.23343     
   310.66      0.35131     
   312.41      0.13591E-011
   314.16     
