 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       365.77     
  0.34906E-001  362.94     
  0.69812E-001  360.48     
  0.10472       358.37     
  0.13962       356.63     
  0.17453       355.25     
  0.20944       354.69     
  0.24434       354.40     
  0.27925       354.39     
  0.31416       354.66     
  0.34906       355.22     
  0.38397       356.06     
  0.41887       357.19     
  0.45378       358.61     
  0.48869       360.30     
  0.52359       360.71     
  0.55850       359.22     
  0.59340       358.04     
  0.62831       357.15     
  0.66322       356.54     
  0.69812       356.23     
  0.73303       356.22     
  0.76794       356.51     
  0.80284       357.10     
  0.83775       358.34     
  0.87265       360.14     
  0.90756       359.05     
  0.94247       357.45     
  0.97737       356.32     
   1.0123       355.72     
   1.0472       355.40     
   1.0821       355.38     
   1.1170       355.63     
   1.1519       356.18     
   1.1868       357.02     
   1.2217       358.15     
   1.2566       359.48     
   1.2915       358.51     
   1.3264       357.93     
   1.3613       357.64     
   1.3962       357.64     
   1.4312       357.95     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   1.4661       358.55     
   1.5010       359.46     
   1.5359       360.67     
   1.5708       359.58     
   1.6057       358.01     
   1.6406       358.18     
   1.6755       358.67     
   1.7104       359.50     
   1.7453       360.66     
   1.7802       362.15     
   1.8151       362.65     
   1.8500       360.83     
   1.8849       359.30     
   1.9198       358.06     
   1.9547       357.10     
   1.9897       357.41     
   2.0246       360.02     
   2.0595       360.83     
   2.0944       359.54     
   2.1293       358.66     
   2.1642       358.90     
   2.1991       359.43     
   2.2340       360.24     
   2.2689       361.33     
   2.3038       362.33     
   2.3387       360.19     
   2.3736       358.33     
   2.4085       356.74     
   2.4434       355.43     
   2.4783       354.39     
   2.5132       353.64     
   2.5481       353.31     
   2.5831       356.42     
   2.6180       358.93     
   2.6529       356.98     
   2.6878       355.15     
   2.7227       354.31     
   2.7576       354.77     
   2.7925       355.49     
   2.8274       356.48     
   2.8623       357.72     
   2.8972       359.23     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   2.9321       361.00     
   2.9670       360.83     
   3.0019       358.84     
   3.0368       357.07     
   3.0717       356.50     
   3.1066       357.76     
   3.1416       359.35     
   3.1765       361.28     
   3.2114       363.54     
   3.2463       362.08     
   3.2812       360.46     
   3.3161       359.14     
   3.3510       358.13     
   3.3859       357.42     
   3.4208       357.27     
   3.4557       358.59     
   3.4906       358.13     
   3.5255       356.74     
   3.5604       355.55     
   3.5953       355.67     
   3.6302       356.68     
   3.6651       357.99     
   3.7001       359.62     
   3.7350       361.55     
   3.7699       361.01     
   3.8048       360.72     
   3.8397       360.32     
   3.8746       360.11     
   3.9095       360.14     
   3.9444       360.43     
   3.9793       360.96     
   4.0142       361.46     
   4.0491       361.34     
   4.0840       361.51     
   4.1189       361.64     
   4.1538       361.25     
   4.1887       361.08     
   4.2236       361.12     
   4.2585       361.38     
   4.2935       361.70     
   4.3284       362.20     
   4.3633       362.57     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   4.3982       362.33     
   4.4331       362.28     
   4.4680       362.44     
   4.5029       362.80     
   4.5378       363.31     
   4.5727       363.99     
   4.6076       364.12     
   4.6425       364.45     
   4.6774       364.97     
   4.7123       365.67     
   4.7472       366.57     
   4.7821       367.21     
   4.8170       367.94     
   4.8520       368.85     
   4.8869       370.30     
   4.9218       372.15     
   4.9567       374.13     
   4.9916       376.23     
   5.0265       378.80     
   5.0614       381.72     
   5.0963       384.70     
   5.1312       387.82     
   5.1661       391.06     
   5.2010       395.09     
   5.2359       399.86     
   5.2708       404.78     
   5.3057       409.73     
   5.3406       416.44     
   5.3755       423.94     
   5.4105       431.89     
   5.4454       441.99     
   5.4803       452.13     
   5.5152       464.58     
   5.5501       478.43     
   5.5850       494.19     
   5.6199       512.90     
   5.6548       533.37     
   5.6897       558.34     
   5.7246       585.45     
   5.7595       619.19     
   5.7944       654.95     
   5.8293       702.16     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   5.8642       753.52     
   5.8991       818.90     
   5.9340       896.77     
   5.9690       990.70     
   6.0039       960.09     
   6.0388       859.45     
   6.0737       462.02     
   6.1086       540.04     
   6.1435       745.92     
   6.1784       815.90     
   6.2133     
   6.2482     
   6.2831     
