
 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.54110     
  0.87265      0.53874     
   1.7453      0.53681     
   2.6180      0.53529     
   3.4906      0.53419     
   4.3633      0.53350     
   5.2359      0.53324     
   6.1086      0.53269     
   6.9812      0.53260     
   7.8539      0.53312     
   8.7265      0.53423     
   9.5992      0.53595     
   10.472      0.53826     
   11.344      0.53779     
   12.217      0.53675     
   13.090      0.53612     
   13.962      0.53590     
   14.835      0.53609     
   15.708      0.53449     
   16.580      0.53260     
   17.453      0.53128     
   18.326      0.53053     
   19.198      0.53035     
   20.071      0.53074     
   20.944      0.53164     
   21.816      0.53098     
   22.689      0.53068     
   23.562      0.53075     
   24.434      0.52849     
   25.307      0.52644     
   26.180      0.52487     
   27.052      0.52378     
   27.925      0.52319     
   28.798      0.52308     
   29.670      0.52347     
   30.543      0.52435     
   31.416      0.52542     
   32.288      0.52505     
   33.161      0.52377     
   34.033      0.52070     
   34.906      0.51806     
   35.779      0.51584     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   36.651      0.51406     
   37.524      0.51272     
   38.397      0.51181     
   39.269      0.51135     
   40.142      0.51133     
   41.015      0.51176     
   41.887      0.51262     
   42.760      0.51235     
   43.633      0.51156     
   44.505      0.51137     
   45.378      0.51180     
   46.251      0.51283     
   47.123      0.51446     
   47.996      0.51671     
   48.869      0.51956     
   49.741      0.52301     
   50.614      0.52706     
   51.487      0.53169     
   52.359      0.52638     
   53.232      0.52073     
   54.105      0.51583     
   54.977      0.51169     
   55.850      0.50831     
   56.722      0.50933     
   57.595      0.51090     
   58.468      0.51289     
   59.340      0.51530     
   60.213      0.51773     
   61.086      0.51330     
   61.958      0.50926     
   62.831      0.50561     
   63.704      0.50237     
   64.576      0.50285     
   65.449      0.50503     
   66.322      0.50781     
   67.194      0.51120     
   68.067      0.50950     
   68.940      0.50543     
   69.812      0.50190     
   70.685      0.49891     
   71.558      0.49647     
   72.430      0.49458     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   73.303      0.49307     
   74.176      0.49173     
   75.048      0.49089     
   75.921      0.49054     
   76.794      0.49070     
   77.666      0.49136     
   78.539      0.49252     
   79.411      0.49420     
   80.284      0.49133     
   81.157      0.48767     
   82.029      0.48451     
   82.902      0.48187     
   83.775      0.47975     
   84.647      0.47815     
   85.520      0.47675     
   86.393      0.47569     
   87.265      0.47514     
   88.138      0.47510     
   89.011      0.47557     
   89.883      0.47654     
   90.756      0.47653     
   91.629      0.47218     
   92.501      0.46835     
   93.374      0.46506     
   94.247      0.46230     
   95.119      0.46030     
   95.992      0.46095     
   96.865      0.45688     
   97.737      0.45538     
   98.610      0.45495     
   99.483      0.45508     
   100.36      0.45576     
   101.23      0.45700     
   102.10      0.45364     
   102.97      0.44886     
   103.85      0.44464     
   104.72      0.44097     
   105.59      0.43787     
   106.46      0.43708     
   107.34      0.43498     
   108.21      0.43241     
   109.08      0.43036     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   109.95      0.42882     
   110.83      0.42780     
   111.70      0.42731     
   112.57      0.42392     
   113.44      0.42079     
   114.32      0.41845     
   115.19      0.41674     
   116.06      0.41566     
   116.94      0.41199     
   117.81      0.40870     
   118.68      0.40596     
   119.55      0.40377     
   120.43      0.40042     
   121.30      0.39672     
   122.17      0.39366     
   123.04      0.39184     
   123.92      0.38957     
   124.79      0.38686     
   125.66      0.38484     
   126.53      0.38352     
   127.41      0.38059     
   128.28      0.37803     
   129.15      0.37619     
   130.03      0.37408     
   130.90      0.37166     
   131.77      0.36999     
   132.64      0.36833     
   133.52      0.36653     
   134.39      0.36575     
   135.26      0.36513     
   136.13      0.36541     
   137.01      0.36679     
   137.88      0.36794     
   138.75      0.37078     
   139.62      0.37407     
   140.50      0.37904     
   141.37      0.38555     
   142.24      0.39398     
   143.12      0.40467     
   143.99      0.41824     
   144.86      0.43499     
   145.73      0.45745     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   146.61      0.48452     
   147.48      0.51858     
   148.35      0.56242     
   149.22      0.61259     
   150.10      0.68982     
   150.97      0.76945     
   151.84      0.90472     
   152.71       1.0636     
   153.59       1.3588     
   154.46     
   155.33      0.19206E-001
   156.20      0.31013E-001
   157.08     
 
