 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       30.824     
  0.17453       30.499     
  0.34906       30.207     
  0.52359       29.949     
  0.69812       29.776     
  0.87265       29.670     
   1.0472       29.588     
   1.2217       29.532     
   1.3962       29.500     
   1.5708       29.494     
   1.7453       29.514     
   1.9198       29.559     
   2.0944       29.630     
   2.2689       29.727     
   2.4434       29.850     
   2.6180       29.998     
   2.7925       30.172     
   2.9670       30.371     
   3.1416       30.493     
   3.3161       30.362     
   3.4906       30.253     
   3.6651       30.168     
   3.8397       30.106     
   4.0142       29.992     
   4.1887       29.905     
   4.3633       29.846     
   4.5378       29.816     
   4.7123       29.813     
   4.8869       29.840     
   5.0614       29.895     
   5.2359       29.980     
   5.4105       30.093     
   5.5850       30.234     
   5.7595       30.289     
   5.9340       30.187     
   6.1086       30.052     
   6.2831       29.918     
   6.4576       29.809     
   6.6322       29.725     
   6.8067       29.666     
   6.9812       29.632     
   7.1558       29.624     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       29.641     
   7.5048       29.684     
   7.6794       29.753     
   7.8539       29.938     
   8.0284       29.924     
   8.2029       29.803     
   8.3775       29.715     
   8.5520       29.658     
   8.7265       29.634     
   8.9011       29.642     
   9.0756       29.682     
   9.2501       29.754     
   9.4247       29.857     
   9.5992       29.992     
   9.7737       30.157     
   9.9483       30.279     
   10.123       30.394     
   10.297       30.251     
   10.472       30.138     
   10.646       30.054     
   10.821       30.000     
   10.995       29.975     
   11.170       29.981     
   11.344       30.015     
   11.519       30.079     
   11.694       30.172     
   11.868       30.264     
   12.043       30.370     
   12.217       30.520     
   12.392       30.546     
   12.566       30.438     
   12.741       30.357     
   12.915       30.304     
   13.090       30.278     
   13.264       30.280     
   13.439       30.309     
   13.613       30.365     
   13.788       30.366     
   13.962       30.372     
   14.137       30.418     
   14.312       30.503     
   14.486       30.628     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   14.661       30.603     
   14.835       30.559     
   15.010       30.539     
   15.184       30.543     
   15.359       30.573     
   15.533       30.499     
   15.708       30.390     
   15.882       30.316     
   16.057       30.276     
   16.231       30.270     
   16.406       30.299     
   16.580       30.363     
   16.755       30.345     
   16.929       30.343     
   17.104       30.222     
   17.279       30.083     
   17.453       29.975     
   17.628       29.896     
   17.802       29.847     
   17.977       29.828     
   18.151       29.839     
   18.326       29.916     
   18.500       29.910     
   18.675       29.884     
   18.849       29.895     
   19.024       29.944     
   19.198       30.029     
   19.373       30.152     
   19.547       30.310     
   19.722       30.426     
   19.897       30.471     
   20.071       30.424     
   20.246       30.404     
   20.420       30.418     
   20.595       30.467     
   20.769       30.551     
   20.944       30.576     
   21.118       30.571     
   21.293       30.617     
   21.467       30.549     
   21.642       30.517     
   21.816       30.520     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   21.991       30.558     
   22.165       30.538     
   22.340       30.577     
   22.514       30.638     
   22.689       30.543     
   22.864       30.487     
   23.038       30.470     
   23.213       30.463     
   23.387       30.519     
   23.562       30.541     
   23.736       30.435     
   23.911       30.377     
   24.085       30.364     
   24.260       30.421     
   24.434       30.499     
   24.609       30.424     
   24.783       30.408     
   24.958       30.422     
   25.132       30.484     
   25.307       30.507     
   25.481       30.551     
   25.656       30.642     
   25.831       30.777     
   26.005       30.879     
   26.180       31.014     
   26.354       31.233     
   26.529       31.494     
   26.703       31.736     
   26.878       32.107     
   27.052       32.564     
   27.227       33.013     
   27.401       33.648     
   27.576       34.361     
   27.750       35.166     
   27.925       36.206     
   28.099       37.372     
   28.274       38.740     
   28.449       40.432     
   28.623       42.390     
   28.798       44.629     
   28.972       47.419     
   29.147       50.430     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   29.321       54.421     
   29.496       58.791     
   29.670       64.506     
   29.845       71.270     
   30.019       79.844     
   30.194       91.501     
   30.368       105.51     
   30.543     
   30.717     
   30.892       2367.7     
   31.066       2981.2     
   31.241       3988.1     
   31.416     
