 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       491.71     
  0.43633E-001  489.07     
  0.87265E-001  487.67     
  0.13090       488.06     
  0.17453       488.90     
  0.21816       490.20     
  0.26180       491.96     
  0.30543       494.18     
  0.34906       494.50     
  0.39269       492.04     
  0.43633       490.11     
  0.47996       488.70     
  0.52359       488.26     
  0.56722       488.51     
  0.61086       489.18     
  0.65449       490.26     
  0.69812       491.75     
  0.74176       493.65     
  0.78539       492.76     
  0.82902       490.99     
  0.87265       489.66     
  0.91629       488.76     
  0.95992       488.31     
   1.0036       488.29     
   1.0472       488.71     
   1.0908       489.56     
   1.1344       490.31     
   1.1781       488.63     
   1.2217       486.63     
   1.2653       485.00     
   1.3090       483.75     
   1.3526       482.88     
   1.3962       482.39     
   1.4399       482.65     
   1.4835       484.16     
   1.5271       486.18     
   1.5708       488.72     
   1.6144       491.19     
   1.6580       487.84     
   1.7017       486.61     
   1.7453       485.83     
   1.7889       485.50     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   1.8326       485.63     
   1.8762       486.23     
   1.9198       487.28     
   1.9635       488.79     
   2.0071       490.76     
   2.0507       493.19     
   2.0944       496.07     
   2.1380       495.38     
   2.1816       493.11     
   2.2253       491.34     
   2.2689       490.06     
   2.3125       489.28     
   2.3562       489.11     
   2.3998       489.94     
   2.4434       491.13     
   2.4871       492.67     
   2.5307       490.02     
   2.5743       487.63     
   2.6180       485.61     
   2.6616       483.98     
   2.7052       482.73     
   2.7489       484.90     
   2.7925       488.31     
   2.8361       489.47     
   2.8798       488.22     
   2.9234       487.96     
   2.9670       488.14     
   3.0107       488.77     
   3.0543       489.86     
   3.0979       491.38     
   3.1416       493.36     
   3.1852       494.13     
   3.2288       493.20     
   3.2725       492.85     
   3.3161       492.81     
   3.3597       492.81     
   3.4033       493.20     
   3.4470       493.97     
   3.4906       495.13     
   3.5342       494.80     
   3.5779       493.66     
   3.6215       493.03     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   3.6651       492.91     
   3.7088       492.75     
   3.7524       492.73     
   3.7960       493.07     
   3.8397       493.19     
   3.8833       492.47     
   3.9269       492.21     
   3.9706       492.43     
   4.0142       493.10     
   4.0578       492.44     
   4.1015       492.13     
   4.1451       492.15     
   4.1887       491.97     
   4.2324       492.24     
   4.2760       492.98     
   4.3196       493.63     
   4.3633       492.54     
   4.4069       491.80     
   4.4505       491.56     
   4.4942       492.26     
   4.5378       493.43     
   4.5814       494.08     
   4.6251       492.47     
   4.6687       491.22     
   4.7123       490.34     
   4.7560       491.86     
   4.7996       492.93     
   4.8432       490.16     
   4.8869       487.80     
   4.9305       485.86     
   4.9741       484.33     
   5.0178       485.04     
   5.0614       486.31     
   5.1050       487.94     
   5.1487       489.93     
   5.1923       489.21     
   5.2359       487.54     
   5.2796       487.51     
   5.3232       489.28     
   5.3668       487.57     
   5.4105       485.19     
   5.4541       485.53     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   5.4977       487.39     
   5.5414       487.97     
   5.5850       486.48     
   5.6286       486.18     
   5.6722       487.49     
   5.7159       486.70     
   5.7595       485.17     
   5.8031       486.31     
   5.8468       487.73     
   5.8904       487.23     
   5.9340       485.80     
   5.9777       484.64     
   6.0213       485.88     
   6.0649       485.28     
   6.1086       484.62     
   6.1522       484.19     
   6.1958       484.14     
   6.2395       484.64     
   6.2831       485.36     
   6.3267       486.30     
   6.3704       485.25     
   6.4140       486.30     
   6.4576       487.54     
   6.5013       487.92     
   6.5449       488.73     
   6.5885       490.74     
   6.6322       492.54     
   6.6758       494.48     
   6.7194       497.08     
   6.7631       500.82     
   6.8067       504.75     
   6.8503       509.94     
   6.8940       516.15     
   6.9376       523.20     
   6.9812       532.55     
   7.0249       543.22     
   7.0685       557.56     
   7.1121       571.97     
   7.1558       592.77     
   7.1994       615.92     
   7.2430       645.40     
   7.2867       679.14     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       725.65     
   7.3739       776.12     
   7.4176       840.75     
   7.4612       933.87     
   7.5048       1029.4     
   7.5485       1054.2     
   7.5921       1002.4     
   7.6357       514.83     
   7.6794       619.86     
   7.7230       901.19     
   7.7666       1005.0     
   7.8102     
   7.8539     
