 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000      0.26778     
   1.7453      0.26732     
   3.4906      0.26715     
   5.2359      0.26725     
   6.9812      0.26762     
   8.7265      0.26827     
   10.472      0.26895     
   12.217      0.26964     
   13.962      0.26940     
   15.708      0.26856     
   17.453      0.26797     
   19.198      0.26762     
   20.944      0.26752     
   22.689      0.26766     
   24.434      0.26815     
   26.180      0.26897     
   27.925      0.26843     
   29.670      0.26745     
   31.416      0.26670     
   33.161      0.26618     
   34.906      0.26589     
   36.651      0.26582     
   38.397      0.26598     
   40.142      0.26637     
   41.887      0.26606     
   43.633      0.26548     
   45.378      0.26529     
   47.123      0.26536     
   48.869      0.26570     
   50.614      0.26632     
   52.359      0.26721     
   54.105      0.26838     
   55.850      0.26981     
   57.595      0.26877     
   59.340      0.26741     
   61.086      0.26632     
   62.831      0.26550     
   64.576      0.26494     
   66.322      0.26466     
   68.067      0.26464     
   69.812      0.26488     
   71.558      0.26539     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   73.303      0.26618     
   75.048      0.26581     
   76.794      0.26454     
   78.539      0.26356     
   80.284      0.26286     
   82.029      0.26244     
   83.775      0.26230     
   85.520      0.26244     
   87.265      0.26287     
   89.011      0.26357     
   90.756      0.26430     
   92.501      0.26337     
   94.247      0.26243     
   95.992      0.26177     
   97.737      0.26138     
   99.483      0.26127     
   101.23      0.26143     
   102.97      0.26187     
   104.72      0.26259     
   106.46      0.26358     
   108.21      0.26355     
   109.95      0.26301     
   111.70      0.26262     
   113.44      0.26248     
   115.19      0.26260     
   116.94      0.26297     
   118.68      0.26360     
   120.43      0.26386     
   122.17      0.26300     
   123.92      0.26246     
   125.66      0.26192     
   127.41      0.26162     
   129.15      0.26154     
   130.90      0.26171     
   132.64      0.26211     
   134.39      0.26233     
   136.13      0.26144     
   137.88      0.26084     
   139.62      0.26051     
   141.37      0.26035     
   143.12      0.26041     
   144.86      0.26068     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   146.61      0.26099     
   148.35      0.26003     
   150.10      0.25933     
   151.84      0.25887     
   153.59      0.25866     
   155.33      0.25856     
   157.08      0.25849     
   158.82      0.25862     
   160.57      0.25794     
   162.31      0.25720     
   164.06      0.25670     
   165.80      0.25642     
   167.55      0.25637     
   169.29      0.25646     
   171.04      0.25608     
   172.79      0.25516     
   174.53      0.25444     
   176.28      0.25393     
   178.02      0.25393     
   179.77      0.25461     
   181.51      0.25498     
   183.26      0.25449     
   185.00      0.25426     
   186.75      0.25427     
   188.49      0.25451     
   190.24      0.25498     
   191.98      0.25486     
   193.73      0.25432     
   195.47      0.25405     
   197.22      0.25406     
   198.97      0.25427     
   200.71      0.25458     
   202.46      0.25384     
   204.20      0.25333     
   205.95      0.25303     
   207.69      0.25299     
   209.44      0.25314     
   211.18      0.25242     
   212.93      0.25191     
   214.67      0.25244     
   216.42      0.25320     
   218.16      0.25323     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   219.91      0.25291     
   221.65      0.25321     
   223.40      0.25371     
   225.14      0.25397     
   226.89      0.25355     
   228.64      0.25334     
   230.38      0.25333     
   232.13      0.25358     
   233.87      0.25395     
   235.62      0.25454     
   237.36      0.25534     
   239.11      0.25527     
   240.85      0.25526     
   242.60      0.25546     
   244.34      0.25590     
   246.09      0.25653     
   247.83      0.25738     
   249.58      0.25798     
   251.32      0.25818     
   253.07      0.25906     
   254.81      0.25963     
   256.56      0.26020     
   258.31      0.26105     
   260.05      0.26185     
   261.80      0.26293     
   263.54      0.26381     
   265.29      0.26476     
   267.03      0.26594     
   268.78      0.26705     
   270.52      0.26819     
   272.27      0.26966     
   274.01      0.27101     
   275.76      0.27255     
   277.50      0.27398     
   279.25      0.27576     
   280.99      0.27771     
   282.74      0.27970     
   284.49      0.28194     
   286.23      0.28439     
   287.98      0.28719     
   289.72      0.29053     
   291.47      0.29418     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   293.21      0.29867     
   294.96      0.30464     
   296.70      0.31154     
   298.45      0.32185     
   300.19      0.33511     
   301.94      0.35458     
   303.68      0.38566     
   305.43      0.43703     
   307.17      0.52665     
   308.92      0.69663     
   310.66       1.0513     
   312.41     
   314.16     
