 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 12, 2020 
 ==================================================================

 Disk File Name = SR_OUTPUT.txt

 Ion = Helium       [2] , Mass = 4.0026 amu

 Density =  1.7600E-03 g/cm3 = 2.9001E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    090.74    099.19   
      H      1    007.41    000.20   
      C      6    001.85    000.61   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Helium       [2] , Mass = 4.0026 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.088E-02  4.988E-02   18.14 um    21.94 um    16.28 um  
   1.10 keV   5.337E-02  4.992E-02   19.73 um    23.53 um    17.44 um  
   1.20 keV   5.574E-02  4.990E-02   21.31 um    25.02 um    18.63 um  
   1.30 keV   5.801E-02  4.983E-02   22.90 um    26.52 um    19.78 um  
   1.40 keV   6.020E-02  4.972E-02   24.49 um    28.00 um    20.90 um  
   1.50 keV   6.232E-02  4.957E-02   26.08 um    29.45 um    22.01 um  
   1.60 keV   6.436E-02  4.940E-02   27.67 um    30.88 um    23.11 um  
   1.70 keV   6.634E-02  4.920E-02   29.26 um    32.30 um    24.19 um  
   1.80 keV   6.827E-02  4.899E-02   30.86 um    33.69 um    25.26 um  
   2.00 keV   7.196E-02  4.852E-02   34.06 um    36.39 um    27.38 um  
   2.25 keV   7.632E-02  4.790E-02   38.09 um    39.69 um    29.97 um  
   2.50 keV   8.045E-02  4.724E-02   42.12 um    42.92 um    32.49 um  
   2.75 keV   8.438E-02  4.657E-02   46.17 um    46.07 um    34.95 um  
   3.00 keV   8.813E-02  4.589E-02   50.24 um    49.14 um    37.37 um  
   3.25 keV   9.173E-02  4.522E-02   54.31 um    52.14 um    39.75 um  
